año	edad	sexo	cantidad
2010	0-4	Femenino	1697972
2010	0-4	Masculino	1639680
2010	5-9	Femenino	1717752
2010	5-9	Masculino	1663467
2010	10-14	Femenino	1779372
2010	10-14	Masculino	1724074
2010	15-19	Femenino	1785061
2010	15-19	Masculino	1757006
2010	20-24	Femenino	1648456
2010	20-24	Masculino	1651693
2010	25-29	Femenino	1552106
2010	25-29	Masculino	1578403
2010	30-34	Femenino	1523342
2010	30-34	Masculino	1575371
2010	35-39	Femenino	1311528
2010	35-39	Masculino	1366907
2010	40-44	Femenino	1125887
2010	40-44	Masculino	1184888
2010	45-49	Femenino	1067468
2010	45-49	Masculino	1128882
2010	50-54	Femenino	986196
2010	50-54	Masculino	1056797
2010	55-59	Femenino	893570
2010	55-59	Masculino	975380
2010	60-64	Femenino	760914
2010	60-64	Masculino	860276
2010	65-69	Femenino	588569
2010	65-69	Masculino	704492
2010	70-74	Femenino	438438
2010	70-74	Masculino	577459
2010	75-79	Femenino	321481
2010	75-79	Masculino	480178
2010	80-84	Femenino	200744
2010	80-84	Masculino	365172
2010	85-89	Femenino	92848
2010	85-89	Masculino	205489
2010	90-94	Femenino	26574
2010	90-94	Masculino	76234
2010	95-99	Femenino	4704
2010	95-99	Masculino	18779
2010	100+	Femenino	784
2010	100+	Masculino	2703
2022	0-4	Femenino	1404211
2022	0-4	Masculino	1442339
2022	5-9	Femenino	1773600
2022	5-9	Masculino	1825647
2022	10-14	Femenino	1788414
2022	10-14	Masculino	1845146
2022	15-19	Femenino	1768387
2022	15-19	Masculino	1800681
2022	20-24	Femenino	1779791
2022	20-24	Masculino	1757472
2022	25-29	Femenino	1824075
2022	25-29	Masculino	1755496
2022	30-34	Femenino	1787492
2022	30-34	Masculino	1706782
2022	35-39	Femenino	1692147
2022	35-39	Masculino	1616211
2022	40-44	Femenino	1713874
2022	40-44	Masculino	1617796
2022	45-49	Femenino	1488369
2022	45-49	Masculino	1386629
2022	50-54	Femenino	1281024
2022	50-54	Masculino	1177301
2022	55-59	Femenino	1158048
2022	55-59	Masculino	1044857
2022	60-64	Femenino	1057693
2022	60-64	Masculino	929041
2022	65-69	Femenino	946014
2022	65-69	Masculino	796143
2022	70-74	Femenino	799212
2022	70-74	Masculino	627993
2022	75-79	Femenino	611035
2022	75-79	Masculino	424945
2022	80-84	Femenino	416290
2022	80-84	Masculino	246155
2022	85-89	Femenino	251111
2022	85-89	Masculino	120259
2022	90-94	Femenino	123092
2022	90-94	Masculino	47507
2022	95-99	Femenino	35500
2022	95-99	Masculino	12508
2022	100+	Femenino	4884
2022	100+	Masculino	1409
