pais,anio,tipo,modifica_otra_ley,¿Criminaliza la expresión?,elimina_criminalizacion,impone_sancion_civil,elimina_sancion_civil,impone_barreras_adicionales_expresion,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,objetivo_legitimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,objetivo_legitimo_2,objetivo_legitimo_3
ARGENTINA,1997,LEY,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,PROPIEDAD INTELECTUAL,SI,SI,SI,SI,,
ARGENTINA,1998,LEY,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,PROPIEDAD INTELECTUAL,SI,SI,SI,SI,,
ARGENTINA,1999,LEY,SI,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2000,LEY,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,Limita,DATOS PERSONALES,SI,SI,SI,SI,,
ARGENTINA,2001,LEY,NO,NO,NO,SI,NO,NO,NO,NO,NO,,Promueve,LIBERTAD DE EXPRESIÓN,,,,,,
ARGENTINA,2001,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,SEGURIDAD NACIONAL,NO,SI,NO,NO,,
ARGENTINA,2002,LEY,NO,NO,NO,SI,NO,NO,SI,NO,SI,,Limita,RESPONSABILIDAD DE INTERMEDIARIOS,SI,SI,SI,SI,,
ARGENTINA,2002,LEY,SI,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,LIBERTAD ELECTORAL,SI,SI,SI,SI,,
ARGENTINA,2005,LEY,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,Promueve,LIBERTAD DE EXPRESIÓN,,,,,,
ARGENTINA,2007,LEY,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,Limita,SEGURIDAD NACIONAL,NO,NO,NO,NO,,
ARGENTINA,2008,LEY,SI,SI,NO,NO,NO,SI,NO,NO,NO,,Limita,DELITOS INFORMÁTICOS,SI,SI,SI,SI,,
ARGENTINA,2009,LEY,SI,NO,SI,SI,NO,SI,NO,NO,NO,SI,Limita,REPUTACIÓN Y HONOR,NO,SI,SI,NO,,
ARGENTINA,2009,LEY,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,DERECHOS DE AUTOR,SI,SI,SI,SI,,
ARGENTINA,2009,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,,Limita/Promueve,LIBERTAD ELECTORAL,SI,SI,SI,SI,,
ARGENTINA,2011,LEY,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,Limita,SEGURIDAD NACIONAL,NO,NO,NO,NO,,
ARGENTINA,2013,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,IGUALDAD Y NO DISCRIMINACIÓN,,,,,,
ARGENTINA,2013,LEY,SI,SI,NO,NO,NO,SI,SI,SI,NO,NO,Limita,PROTECCIÓN DE MENORES,NO,SI,SI,NO,,
ARGENTINA,2013,LEY,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,LIBERTAD DE EXPRESIÓN,,,,,,
ARGENTINA,2014,LEY,SI,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,REPUTACIÓN Y HONOR,SI,SI,SI,SI,,
ARGENTINA,2014,LEY,SI,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,PRIVACIDAD,NO,SI,SI,NO,,
ARGENTINA,2014,LEY,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,Promueve,NEUTRALIDAD DE LA RED,,,,,,
ARGENTINA,2015,LEY,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,SEGURIDAD NACIONAL,NO,SI,NO,NO,,
ARGENTINA,2016,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,ACCESO A LA INFORMACIÓN,,,,,,
ARGENTINA,2016,LEY,SI,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,LIBERTAD ELECTORAL,,,,,,
ARGENTINA,2018,LEY,SI,SI,NO,NO,NO,SI,SI,NO,NO,,Limita,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
ARGENTINA,2018,LEY,SI,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,LIBERTAD DE PRENSA,,,,,,
CHILE,1874,LEY,NO,SI,NO,SI,SI,SI,NO,NO,NO,,LIMITA,HONOR Y REPUTACIÓN,SI,SI,NO,NO,,
CHILE,1999,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,PROMUEVE,LIBERTAD DE CULTO,SI,SI,SI,SI,,
CHILE,1999,LEY,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,LIMITA/PROMUEVE,PRIVACIDAD,SI,SI,NO,NO,Datos personales,
CHILE,2001,LEY,Si,NO,SI,NO,SI,NO,NO,NO,NO,SI,PROMUEVE,PROMOCIÓN DE LA CULTURA,SI,SI,SI,SI,,
CHILE,2001,LEY,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,PROMUEVE,LIBERTAD DE EXPRESIÓN,SI,SI,SI,SI,,
CHILE,2004,LEY,SI,NO,NO,Si,NO,SI,NO,NO,NO,,LIMITA/PROMUEVE,SEGURIDAD NACIONAL,SI,SI,SI,NO,,
CHILE,2005,LEY,SI,NO,NO,SI,SI,NO,NO,NO,,,LIMITA/PROMUEVE,DESACATO,SI,SI,SI,SI,,
CHILE,2008,LEY,SI,,,,,,,,,SI,PROMUEVE,ACCESO A LA INFORMACIÓN,SI,SI,SI,SI,,
CHILE,2009,LEY,NO,,,,,,,,,SI,LIMITA,SEGURIDAD NACIONAL,SI,SI,SI,SI,Crímines de Lesa Humanidad,Discurso de odio
CHILE,2010,LEY,NO,SI,NO,SI,NO,SI,,,,SI,LIMITA/PROMUEVE,TELECOMUNICACIONES Y CONVERGENCIA,SI,SI,NO,NO,,
CHILE,2010,LEY,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,PROMUEVE,NEUTRALIDAD DE LA RED,SI,SI,SI,SI,,
CHILE,2010,LEY,SI,NO,NO,SI,SI,NO,SI,NO,NO,SI,PROMUEVE,DERECHOS DE AUTOR,SI,SI,SI,SI,,
CHILE,2011,LEY,SI,SI,NO,SI,NO,SI,SI,SI,NO,SI,LIMITA/PROMUEVE,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
CHILE,2012,LEY,SI,NO,NO,SI,NO,SI,NO,NO,NO,SI,LIMITA/PROMUEVE,IGUALDAD Y NO DISCRIMINACIÓN,SI,SI,SI,SI,,
CHILE,2014,LEY,SI,,,,,,,,,NO,LIMITA/PROMUEVE,REGULACIÓN DE MEDIOS,SI,SI,SI,SI,,
CHILE,2018,LEY,SI,,,,,,NO,NO,NO,,PROMUEVE,REGULACIÓN DE MEDIOS,SI,SI,SI,SI,,
CHILE,2018,LEY,SI,NO,NO,SI,NO,SI,NO,NO,NO,SI,LIMITA,DATOS PERSONALES,SI,SI,SI,SI,,
COLOMBIA,1997,LEY,SI,SI,NO,NO,NO,NO,SI,NO,NO,,LIMITA,PROTECCIÓN DE MENORES,SI,SI,SI,SI,,
COLOMBIA,1997,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,PROMUEVE,DISCAPACIDAD,,,,,Igualdad y no discriminación,
COLOMBIA,1997,LEY,SI,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,SEGURIDAD NACIONAL,SI,NO,NO,NO,,
COLOMBIA,1998,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PROPIEDAD INTELECTUAL,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,SI,NO,NO,NO,NO,NO,NO,NO,,LIMITA,,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,SI,NO,NO,NO,NO,NO,NO,NO,,LIMITA,REPUTACIÓN Y HONOR,SI,SI,NO,NO,,
COLOMBIA,1999,LEY,NO,SI,NO,NO,NO,NO,NO,NO,NO,,LIMITA,SEGURIDAD NACIONAL,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,SI,NO,NO,NO,NO,NO,NO,NO,,LIMITA,SEGURIDAD NACIONAL,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,SEGURIDAD NACIONAL,SI,NO,NO,NO,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,ADMINISTRACIÓN DE JUSTICIA,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,ADMINISTRACIÓN DE JUSTICIA,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,ADMINISTRACIÓN DE JUSTICIA,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,ADMINISTRACIÓN DE JUSTICIA,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,ADMINISTRACIÓN DE JUSTICIA,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,SI,NO,NO,NO,,LIMITA,PRIVACIDAD,SI,SI,SI,SI,,
COLOMBIA,1999,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,,LIMITA,DERECHOS DE AUTOR,SI,SI,NO,NO,,
COLOMBIA,2000,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,,LIMITA,DERECHOS DE AUTOR,SI,SI,NO,NO,,
COLOMBIA,2000,LEY,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PROMUEVE,LIBERTAD DE EXPRESIÓN,,,,,,
