"","","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Energía Solar","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas de Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol",""
"","Producción Primaria","3,532.00","11,505.00","3,737.00","89,299.00","17,336.00","351.00","185.00","72.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",""
"","Importación","91,063.00","36,584.00","62,329.00","0.00","0.00","0.00","0.00","0.00","52,040.00","3,918.00","6,406.00","0.00","9,138.00","176.00","5,002.00","817.00","0.00","2,116.00","1,392.00","0.00","380.00","0.00","0.00","0.00","0.00","0.00",""
"","Exportación","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4,373.00","1,535.00","2,716.00","0.00","20.00","0.00","0.00","0.00","0.00","0.00","648.00","0.00","0.00","0.00","0.00","0.00","0.00","1,698.00",""
"","Var.Stock + Perdidas + Error Est.","-2,195.00","2,510.00","-427.00","521.00","0.00","0.00","0.00","0.00","-4,170.00","-293.00","-1,712.00","-9.00","-2,942.00","-14.00","1,555.00","-119.00","4.00","-387.00","-420.00","3,009.00","-280.00","-0.00","0.00","468.00","23.00","0.00",""
"","Pérdidas","0.00","586.00","0.00","0.00","153.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,372.00","185.00","0.00","0.00","468.00","22.00","0.00",""
"","Variación de Stock","-2,195.00","399.00","1,186.00","521.00","0.00","0.00","0.00","0.00","852.00","317.00","-310.00","36.00","50.00","-6.00","874.00","-118.00","0.00","-639.00","0.00","0.00","-341.00","0.00","0.00","0.00","-0.00","0.00",""
"","Error Estadístico","0.00","1,524.00","-1,613.00","0.00","-153.00","0.00","0.00","0.00","-5,021.00","-610.00","-1,402.00","-45.00","-2,992.00","-8.00","681.00","-1.00","4.00","252.00","-420.00","1,638.00","-124.00","-0.00","0.00","-0.00","0.00","0.00",""
"","Oferta Total","96,791.00","45,579.00","66,493.00","88,778.00","17,336.00","351.00","185.00","72.00","51,837.00","2,676.00","5,402.00","9.00","12,059.00","190.00","3,447.00","936.00","-4.00","2,503.00","1,164.00","-3,009.00","660.00","0.00","0.00","-468.00","-23.00","-1,698.00",""
"C.TRANSFO.","Centrales Eléctricas: Autoproductores","","-820.00","0.00","-35,365.00","-154.00","-19.00","","0.00","-4,988.00","-1,527.00","0.00","0.00","-2.00","0.00","0.00","0.00","-73.00","0.00","0.00","4,951.00","","","","","","","-37,997.00"
"","Centrales Eléctricas: Servicio Publico","","-25,951.00","-59,796.00","-1,707.00","-17,182.00","-332.00","","0.00","-7,847.00","-789.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3,462.00","0.00","55,016.00","","","","","","","-62,049.00"
