"-","ITEM","Petróleo Crudo","Gas Natura","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de Motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol","Total"
"","Producción Primaria","2,491.00","14,773.00","2,583.00","54,464.00","17,785.00","290.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","92,486.00"
"","Importación","92,348.00","36,963.00","57,189.00","0.00","0.00","0.00","0.00","48,661.00","6,703.00","6,821.00","0.00","9,215.00","0.00","3,746.00","658.00","0.00","2,037.00","0.00","629.00","236.00","0.00","0.00","0.00","0.00","0.00","265,207.00"
"","Exportación","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2,980.00","736.00","1,400.00","0.00","2.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2,998.00","8,124.00"
"","Var.Stock + Perdidas + Error Est.","-851.00","1,550.00","2,288.00","0.00","150.00","0.00","0.00","-1,637.00","-412.00","1,206.00","-492.00","2,191.00","10.00","1,975.00","-3.00","-577.00","-487.00","0.00","4,471.00","123.00","18.00","0.00","282.00","26.00","-101.00","9,732.00"
"","Pérdidas","0.00","591.00","0.00","0.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","3,449.00","0.00","56.00","0.00","282.00","5.00","0.00","4,535.00"
"","Variación de Stock","-631.00","2.00","3,729.00","0.00","0.00","0.00","0.00","-558.00","210.00","-235.00","2.00","-73.00","-3.00","-318.00","-20.00","0.00","63.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.00","-0.00","2,169.00"
"","Error Estadístico","-221.00","957.00","-1,441.00","0.00","0.00","0.00","0.00","-1,079.00","-622.00","1,442.00","-494.00","2,261.00","13.00","2,293.00","18.00","-577.00","-550.00","0.00","1,022.00","123.00","-38.00","0.00","0.00","22.00","-101.00","3,028.00"
"","Oferta Total","95,691.00","50,185.00","57,485.00","54,464.00","17,635.00","290.00","100.00","47,317.00","6,380.00","4,214.00","492.00","7,022.00","-19.00","1,770.00","660.00","577.00","2,524.00","0.00","-3,841.00","113.00","-18.00","0.00","-282.00","-26.00","-2,897.00","339,836.00"
"C.TRANSFO.","Centrales Eléctricas: Autoproductores","0.00","-609.00","0.00","-6,197.00","-12.00","-5.00","0.00","-943.00","-414.00","-0.12","0.00","-0.00","0.00","0.00","0.00","-61.00","0.00","0.00","4,632.00","0.00","0.00","0.00","0.00","0.00","0.00","-3,609.00"
"","Centrales Eléctricas: Servicio Publico","0.00","-29,710.00","-50,381.00","0.00","-17,624.00","-285.00","0.00","-9,314.00","-954.00","0.00","0.00","-6.00","0.00","0.00","0.00","0.00","-3,090.00","0.00","51,300.00","0.00","0.00","0.00","0.00","0.00","0.00","-60,064.00"
"","Siderurgia: Altos Hornos","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1,507.00","0.00","0.00","1,489.00","0.00","0.00","-18.00"
"","Siderurgia: Hornos de Coque","0.00","0.00","-4,878.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3,954.00","1,067.00","177.00","0.00","0.00","0.00","319.00"
