"-","ITEM","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de Motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol","Total"
"","Producción Primaria","1,957.00","17,886.00","0.00","3,708.00","51,280.00","22,283.00","68.00","69.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Importación","103,619.00","8,264.00","4,957.00","38,157.00","0.00","0.00","0.00","0.00","45,612.00","4,963.00","6,255.00","0.00","9,827.00","0.00","1,935.00","35.00","0.00","2,940.00","0.00","1,159.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Exportación","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5,169.00","847.00","6,748.00","0.00","382.00","0.00","0.00","302.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4,433.00"
"","Var.Stock + Perdidas + Cierre","-911.00","2,118.00","0.00","1,918.00","0.00","633.00","0.00","0.00","-4,715.00","966.00","-1,033.00","-667.00","2,096.00","14.00","1,039.00","55.00","-3.00","501.00","0.00","4,292.00","-162.00","6.00","19.00","180.00","14.00","218.00"
"","Oferta Total","106,488.00","24,032.00","4,957.00","39,946.00","51,280.00","21,650.00","68.00","69.00","45,158.00","3,150.00","539.00","667.00","7,349.00","-14.00","896.00","-322.00","3.00","2,439.00","0.00","-3,132.00","162.00","-6.00","-19.00","-180.00","-14.00","-4,651.00"
"C.TRANSFO.","Centrales Eléctricas: Autoproductores","0.00","-535.00","0.00","0.00","-5,880.00","-323.00","0.00","0.00","-410.00","-1,198.00","0.00","0.00","-10.00","0.00","0.00","0.00","-189.00","0.00","0.00","3,197.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Centrales Eléctricas: Servicio Publico","0.00","-8,057.00","0.00","-33,506.00","0.00","-21,327.00","-68.00","0.00","-19,684.00","-1,372.00","0.00","0.00","-120.00","0.00","0.00","0.00","0.00","-5,032.00","0.00","48,136.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Siderurgia: Altos Hornos","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1,090.00","0.00","0.00","1,060.00","0.00","0.00"
"","Siderurgia: Hornos de Coque","0.00","0.00","0.00","-4,255.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3,104.00","984.00","183.00","0.00","0.00","0.00"
"","Plantas de Gas","0.00","5,500.00","-4,957.00","0.00","0.00","0.00","0.00","-69.00","0.00","0.00","0.00","0.00","-804.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","249.00","0.00"
"","Liquefacción de Gas","0.00","-8,533.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5,098.00"
"","Refinería Petróleo - Gas Natural","-106,488.00","-5,093.00","0.00","0.00","0.00","0.00","0.00","0.00","37,513.00","18,924.00","27,380.00","679.00","9,097.00","71.00","6,858.00","1,379.00","3,599.00","4,501.00","1,956.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Consumo Final","0.00","7,315.00","0.00","2,185.00","45,400.00","-0.00","0.00","0.00","62,577.00","19,504.00","27,919.00","1,346.00","15,511.00","56.00","7,754.00","1,058.00","3,414.00","1,908.00","1,956.00","48,201.00","2,176.00","978.00","164.00","880.00","236.00","447.00"
"CONSUMO FINAL","Sector Energético: Auto Consumo","0.00","11.00","0.00","0.00","0.00","0.00","0.00","0.00","28.00","851.00","0.00","0.00","1,330.00","0.00","0.00","1,058.00","3,410.00","0.00","0.00","1,869.00","0.00","268.00","164.00","714.00","2.00","0.00"
"","Sector Industrial y Minero","0.00","1,518.00","0.00","2,158.00","15,747.00","0.00","0.00","0.00","22,031.00","7,493.00","0.00","405.00","3,305.00","0.00","0.00","0.00","3.00","1,908.00","0.00","31,469.00","2,176.00","709.00","0.00","166.00","0.00","447.00"
"","Cobre","0.00","438.00","0.00","0.00","0.00","0.00","0.00","0.00","10,693.00","1,662.00","0.00","81.00","49.00","0.00","0.00","0.00","0.00","0.00","0.00","15,948.00","54.00","0.00","0.00","0.00","0.00","0.00"
"","Salitre","0.00","136.00","0.00","0.00","0.00","0.00","0.00","0.00","316.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","330.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Hierro","0.00","0.00","0.00","355.00","0.00","0.00","0.00","0.00","60.00","29.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","377.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Papel y Celulosa","0.00","545.00","0.00","48.00","12,161.00","0.00","0.00","0.00","106.00","2,426.00","0.00","0.00","142.00","0.00","0.00","0.00","0.00","0.00","0.00","4,465.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Siderurgia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.00","428.00","0.00","0.00","103.00","0.00","0.00","0.00","0.00","0.00","0.00","441.00","2,014.00","709.00","0.00","166.00","0.00","0.00"
"","Petroquímica","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","7.00","0.00","0.00","0.00","3.00","0.00","0.00","379.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Cemento","0.00","8.00","0.00","518.00","0.00","0.00","0.00","0.00","102.00","123.00","0.00","0.00","7.00","0.00","0.00","0.00","0.00","1,908.00","0.00","437.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Azúcar","0.00","0.00","0.00","419.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","31.00","18.00","0.00","0.00","0.00","0.00","0.00"
"","Pesca","0.00","59.00","0.00","59.00","0.00","0.00","0.00","0.00","653.00","860.00","0.00","0.00","59.00","0.00","0.00","0.00","0.00","0.00","0.00","140.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Industrias Varias","0.00","219.00","0.00","758.00","3,586.00","0.00","0.00","0.00","6,625.00","1,431.00","0.00","266.00","2,908.00","0.00","0.00","0.00","0.00","0.00","0.00","7,663.00","59.00","0.00","0.00","0.00","0.00","447.00"
"","Minas Varias","0.00","111.00","0.00","0.00","0.00","0.00","0.00","0.00","3,465.00","535.00","0.00","58.00","27.00","0.00","0.00","0.00","0.00","0.00","0.00","1,259.00","31.00","0.00","0.00","0.00","0.00","0.00"
"","Sector Transporte","0.00","223.00","0.00","0.00","0.00","0.00","0.00","0.00","39,034.00","10,679.00","27,919.00","69.00","69.00","56.00","7,754.00","0.00","0.00","0.00","0.00","363.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Caminero","0.00","223.00","0.00","0.00","0.00","0.00","0.00","0.00","35,166.00","25.00","27,879.00","67.00","69.00","0.00","2.00","0.00","0.00","0.00","0.00","318.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Ferroviario","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","467.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","45.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Marítimo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3,394.00","10,654.00","39.00","2.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Aéreo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.00","0.00","0.00","0.00","0.00","56.00","7,750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"","Sector Comercial, Público y Residencial","0.00","5,562.00","0.00","27.00","29,653.00","0.00","0.00","0.00","1,484.00","481.00","0.00","872.00","10,807.00","0.00","0.00","0.00","0.00","0.00","0.00","14,500.00","0.00","0.00","0.00","0.00","234.00","0.00"
"","Comercial","0.00","1,276.00","0.00","0.00","0.00","0.00","0.00","0.00","1,341.00","433.00","0.00","10.00","1,387.00","0.00","0.00","0.00","0.00","0.00","0.00","5,492.00","0.00","0.00","0.00","0.00","102.00","0.00"
"","Público","0.00","188.00","0.00","27.00","0.00","0.00","0.00","0.00","79.00","48.00","0.00","21.00","94.00","0.00","0.00","0.00","0.00","0.00","0.00","1,352.00","0.00","0.00","0.00","0.00","20.00","0.00"
"","Residencial","0.00","4,099.00","0.00","0.00","29,653.00","0.00","0.00","0.00","64.00","0.00","0.00","841.00","9,326.00","0.00","0.00","0.00","0.00","0.00","0.00","7,655.00","0.00","0.00","0.00","0.00","113.00","0.00"
"","Cons. No Energético - Industrial","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,956.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
