"-","ITEM","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Petróleo Diesel","Petróleo Combustible","Gasolina de Motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol","Total"
"","Producción Primaria","1,397.00","18,855.00","2,765.00","51,170.00","21,496.00","33.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","95,716.00"
"","Importación","108,806.00","7,287.00","43,400.00","0.00","0.00","0.00","54,810.00","6,150.00","4,804.00","0.00","10,898.00","0.00","3,820.00","0.00","0.00","2,799.00","0.00","993.00","444.00","0.00","0.00","0.00","0.00","0.00","244,210.00"
"","Exportación","0.00","0.00","0.00","0.00","0.00","0.00","5,851.00","0.00","6,748.00","0.00","606.00","0.00","0.00","327.00","0.00","0.00","0.00","0.00","87.00","0.00","0.00","0.00","0.00","5,120.00","18,740.00"
"","Var.Stock + Perdidas + Cierre","-216.00","2,367.00","2,469.00","0.00","631.00","0.00","708.00","-2,889.00","-2,699.00","-17.00","2,366.00","2.00","-5.00","-21.00","-3.00","986.00","0.00","4,369.00","72.00","0.00","14.00","249.00","28.00","252.00","8,665.00"
"","Oferta Total","110,420.00","23,776.00","43,695.00","51,170.00","20,865.00","33.00","48,251.00","9,039.00","755.00","17.00","7,926.00","-2.00","3,825.00","-306.00","3.00","1,813.00","0.00","-3,377.00","284.00","0.00","-14.00","-249.00","-28.00","-5,372.00","312,522.00"
"C.TRANSFO.","Centrales Eléctricas: Autoproductores","0.00","-564.00","-48.00","-5,177.00","-362.00","0.00","-375.00","-1,184.00","0.00","0.00","-10.00","0.00","0.00","0.00","-171.00","0.00","0.00","3,449.00","0.00","0.00","0.00","0.00","0.00","0.00","-4,442.00"
"","Centrales Eléctricas: Servicio Publico","0.00","-4,709.00","-34,794.00","-215.00","-20,503.00","-33.00","-25,828.00","-1,910.00","0.00","0.00","-28.00","0.00","0.00","0.00","0.00","-4,823.00","0.00","47,897.00","0.00","0.00","0.00","0.00","0.00","0.00","-44,948.00"
"","Siderurgia: Altos Hornos","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1,250.00","0.00","0.00","1,250.00","0.00","0.00","0.00"
"","Siderurgia: Hornos de Coque","0.00","0.00","-4,860.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3,423.00","1,092.00","190.00","0.00","0.00","0.00","-155.00"
"","Plantas de Gas","0.00","662.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-956.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","283.00","0.00","-10.00"
