"Tipo_cliente","Nombre_region","Nombre_comuna","SumaDeEnergía (kWh)","Energía Promedio por Cliente (KWh)","Clientes Promedio"
"Residencial","Antofagasta","Antofagasta","275,938,772.00","2,769.00","99,664.00"
"Residencial","Antofagasta","Calama","132,113,266.00","3,041.00","43,439.00"
"Residencial","Antofagasta","Mejillones","8,444,135.00","2,945.00","2,868.00"
"Residencial","Antofagasta","Sierra Gorda","1,702,160.00","3,978.00","428.00"
"Residencial","Antofagasta","Taltal","7,571,210.00","2,086.00","3,629.00"
"Residencial","Antofagasta","Tocopilla","17,760,276.00","2,135.00","8,318.00"
"Residencial","Arica y Parinacota","Arica","161,076,555.00","2,412.00","66,773.00"
"Residencial","Arica y Parinacota","Camarones","174,929.00","4,337.00","40.00"
"Residencial","Atacama","Alto del Carmen","2,551,377.00","1,158.00","2,202.00"
"Residencial","Atacama","Caldera","12,991,112.00","1,725.00","7,529.00"
"Residencial","Atacama","Chañaral","8,611,514.00","1,826.00","4,717.00"
"Residencial","Atacama","Copiapó","113,134,499.00","2,337.00","48,416.00"
"Residencial","Atacama","Diego de Almagro","5,595,902.00","1,830.00","3,057.00"
"Residencial","Atacama","Freirina","3,137,760.00","1,451.00","2,163.00"
"Residencial","Atacama","Huasco","5,744,254.00","1,709.00","3,361.00"
"Residencial","Atacama","Tierra Amarilla","6,910,933.00","2,460.00","2,810.00"
"Residencial","Atacama","Vallenar","33,085,076.00","1,987.00","16,651.00"
"Residencial","Coquimbo","Andacollo","5,931,311.00","1,707.00","3,474.00"
"Residencial","Coquimbo","Canela","3,948,322.00","1,344.00","2,937.00"
"Residencial","Coquimbo","Combarbalá","6,586,708.00","1,084.00","6,078.00"
"Residencial","Coquimbo","Coquimbo","138,926,768.00","1,931.00","71,951.00"
"Residencial","Coquimbo","Illapel","17,418,787.00","1,620.00","10,752.00"
"Residencial","Coquimbo","La Higuera","2,936,625.00","1,764.00","1,665.00"
"Residencial","Coquimbo","La Serena","145,662,450.00","1,968.00","73,998.00"
"Residencial","Coquimbo","Los Vilos","14,859,154.00","1,532.00","9,700.00"
"Residencial","Coquimbo","Monte Patria","15,059,509.00","1,391.00","10,828.00"
"Residencial","Coquimbo","Ovalle","57,349,743.00","1,579.00","36,327.00"
"Residencial","Coquimbo","Paiguano","2,891,366.00","1,553.00","1,862.00"
"Residencial","Coquimbo","Punitaqui","4,599,051.00","1,178.00","3,904.00"
"Residencial","Coquimbo","Río Hurtado","1,877,219.00","951.00","1,974.00"
"Residencial","Coquimbo","Salamanca","13,886,002.00","1,495.00","9,289.00"
"Residencial","Coquimbo","Vicuña","14,247,160.00","1,491.00","9,557.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Aisén","13,913,877.00","1,742.00","7,986.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Chile Chico","2,725,629.00","1,256.00","2,171.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Cisnes","1,498,530.00","1,504.00","996.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Cochrane","1,622,167.00","1,290.00","1,258.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Coihaique","38,000,705.00","1,820.00","20,875.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Lago Verde","182,801.00","1,027.00","178.00"
"Residencial","Región Aisén del Gral. Carlos Ibáñez del Campo","Río Ibáñez","1,159,163.00","933.00","1,242.00"
"Residencial","Región de la Araucanía","Angol","30,839,075.00","1,672.00","18,440.00"
"Residencial","Región de la Araucanía","Carahue","7,173,798.00","862.00","8,325.00"
"Residencial","Región de la Araucanía","Cholchol","2,649,396.00","811.00","3,267.00"
"Residencial","Región de la Araucanía","Collipulli","10,759,238.00","1,271.00","8,467.00"
"Residencial","Región de la Araucanía","Cunco","6,680,184.00","1,027.00","6,503.00"
"Residencial","Región de la Araucanía","Curacautín","7,736,147.00","1,063.00","7,277.00"
"Residencial","Región de la Araucanía","Curarrehue","2,254,534.00","1,939.00","1,162.00"
"Residencial","Región de la Araucanía","Ercilla","2,062,012.00","836.00","2,467.00"
"Residencial","Región de la Araucanía","Freire","9,532,833.00","1,117.00","8,534.00"
"Residencial","Región de la Araucanía","Galvarino","3,202,160.00","797.00","4,017.00"
"Residencial","Región de la Araucanía","Gorbea","6,843,504.00","1,306.00","5,242.00"
"Residencial","Región de la Araucanía","Lautaro","16,823,135.00","1,339.00","12,567.00"
"Residencial","Región de la Araucanía","Loncoche","11,267,142.00","1,329.00","8,476.00"
"Residencial","Región de la Araucanía","Lonquimay","3,073,829.00","857.00","3,587.00"
"Residencial","Región de la Araucanía","Los Sauces","2,576,583.00","942.00","2,734.00"
"Residencial","Región de la Araucanía","Lumaco","2,853,668.00","1,027.00","2,778.00"
"Residencial","Región de la Araucanía","Melipeuco","2,215,301.00","987.00","2,244.00"
"Residencial","Región de la Araucanía","Nueva Imperial","11,341,566.00","1,026.00","11,059.00"
"Residencial","Región de la Araucanía","Padre las Casas","31,528,714.00","1,822.00","17,300.00"
"Residencial","Región de la Araucanía","Perquenco","2,377,193.00","1,049.00","2,267.00"
"Residencial","Región de la Araucanía","Pitrufquén","11,442,256.00","1,401.00","8,167.00"
"Residencial","Región de la Araucanía","Pucón","22,321,669.00","2,312.00","9,655.00"
"Residencial","Región de la Araucanía","Purén","4,150,294.00","961.00","4,317.00"
"Residencial","Región de la Araucanía","Renaico","4,184,734.00","1,238.00","3,379.00"
"Residencial","Región de la Araucanía","Saavedra","3,236,818.00","691.00","4,686.00"
"Residencial","Región de la Araucanía","Temuco","207,221,578.00","2,249.00","92,141.00"
"Residencial","Región de la Araucanía","Teodoro Schmidt","4,457,232.00","808.00","5,514.00"
"Residencial","Región de la Araucanía","Toltén","3,620,967.00","969.00","3,737.00"
"Residencial","Región de la Araucanía","Traiguén","8,061,063.00","1,243.00","6,487.00"
"Residencial","Región de la Araucanía","Victoria","17,076,248.00","1,474.00","11,589.00"
"Residencial","Región de la Araucanía","Vilcún","9,751,631.00","1,107.00","8,806.00"
"Residencial","Región de la Araucanía","Villarrica","33,354,206.00","1,773.00","18,810.00"
"Residencial","Región de Los Lagos","Ancud","24,578,199.00","1,593.00","15,429.00"
"Residencial","Región de Los Lagos","Calbuco","14,558,843.00","1,419.00","10,257.00"
"Residencial","Región de Los Lagos","Castro","31,326,947.00","1,851.00","16,925.00"
"Residencial","Región de Los Lagos","Chaitén","1,197,935.00","2,068.00","579.00"
"Residencial","Región de Los Lagos","Chonchi","6,926,174.00","1,421.00","4,874.00"
"Residencial","Región de Los Lagos","Cochamó","1,603,399.00","1,072.00","1,496.00"
"Residencial","Región de Los Lagos","Curaco de Vélez","1,680,465.00","1,068.00","1,574.00"
"Residencial","Región de Los Lagos","Dalcahue","7,426,453.00","1,643.00","4,520.00"
"Residencial","Región de Los Lagos","Fresia","6,097,538.00","1,509.00","4,040.00"
"Residencial","Región de Los Lagos","Frutillar","13,016,664.00","2,050.00","6,351.00"
"Residencial","Región de Los Lagos","Futaleufú","1,344,597.00","1,399.00","961.00"
"Residencial","Región de Los Lagos","Hualaihué","4,117,740.00","1,350.00","3,049.00"
"Residencial","Región de Los Lagos","Llanquihue","11,446,020.00","2,325.00","4,924.00"
"Residencial","Región de Los Lagos","Los Muermos","9,918,820.00","1,778.00","5,580.00"
"Residencial","Región de Los Lagos","Maullín","6,832,237.00","1,268.00","5,387.00"
"Residencial","Región de Los Lagos","Osorno","119,225,321.00","2,130.00","55,977.00"
"Residencial","Región de Los Lagos","Palena","1,250,905.00","1,202.00","1,041.00"
"Residencial","Región de Los Lagos","Puerto Montt","165,464,082.00","2,082.00","79,471.00"
"Residencial","Región de Los Lagos","Puerto Octay","5,678,138.00","2,387.00","2,379.00"
"Residencial","Región de Los Lagos","Puerto Varas","38,246,737.00","2,891.00","13,231.00"
"Residencial","Región de Los Lagos","Puqueldón","1,449,494.00","953.00","1,521.00"
"Residencial","Región de Los Lagos","Purranque","11,481,441.00","1,835.00","6,256.00"
"Residencial","Región de Los Lagos","Puyehue","6,894,351.00","2,080.00","3,314.00"
"Residencial","Región de Los Lagos","Queilén","2,151,293.00","1,009.00","2,132.00"
"Residencial","Región de Los Lagos","Quellón","13,899,637.00","1,774.00","7,834.00"
"Residencial","Región de Los Lagos","Quemchi","3,475,533.00","1,116.00","3,114.00"
"Residencial","Región de Los Lagos","Quinchao","2,620,072.00","1,283.00","2,043.00"
"Residencial","Región de Los Lagos","Río Negro","7,488,844.00","1,790.00","4,184.00"
"Residencial","Región de Los Lagos","San Juan de la Costa","2,258,090.00","659.00","3,429.00"
"Residencial","Región de Los Lagos","San Pablo","4,795,754.00","1,449.00","3,309.00"
"Residencial","Región de Los Ríos","Corral","2,424,186.00","1,237.00","1,960.00"
"Residencial","Región de Los Ríos","Futrono","8,279,350.00","1,756.00","4,716.00"
"Residencial","Región de Los Ríos","La Unión","21,941,848.00","1,799.00","12,200.00"
"Residencial","Región de Los Ríos","Lago Ranco","4,580,954.00","1,376.00","3,329.00"
"Residencial","Región de Los Ríos","Lanco","8,080,111.00","1,395.00","5,791.00"
"Residencial","Región de Los Ríos","Los Lagos","10,619,745.00","1,821.00","5,832.00"
"Residencial","Región de Los Ríos","Máfil","3,704,808.00","1,657.00","2,236.00"
"Residencial","Región de Los Ríos","Mariquina","9,223,736.00","1,394.00","6,618.00"
"Residencial","Región de Los Ríos","Paillaco","10,623,506.00","1,734.00","6,125.00"
"Residencial","Región de Los Ríos","Panguipulli","16,391,436.00","1,369.00","11,972.00"
"Residencial","Región de Los Ríos","Río Bueno","19,529,984.00","1,822.00","10,717.00"
"Residencial","Región de Los Ríos","Valdivia","111,741,787.00","2,159.00","51,767.00"
"Residencial","Región de Magallanes y de la Antártica Chilena","Cabo de Hornos (Ex Navarino)","1,437,264.00","2,380.00","604.00"
"Residencial","Región de Magallanes y de la Antártica Chilena","Natales","14,347,857.00","1,863.00","7,700.00"
"Residencial","Región de Magallanes y de la Antártica Chilena","Porvenir","4,583,328.00","2,587.00","1,772.00"
"Residencial","Región de Magallanes y de la Antártica Chilena","Punta Arenas","107,682,502.00","2,471.00","43,574.00"
"Residencial","Región del Biobío","Alto Biobío","630,238.00","1,288.00","489.00"
"Residencial","Región del Biobío","Antuco","1,752,172.00","1,064.00","1,647.00"
"Residencial","Región del Biobío","Arauco","18,511,122.00","1,469.00","12,597.00"
"Residencial","Región del Biobío","Bulnes","12,191,860.00","1,623.00","7,512.00"
"Residencial","Región del Biobío","Cabrero","14,615,231.00","1,505.00","9,711.00"
"Residencial","Región del Biobío","Cañete","14,925,317.00","1,304.00","11,443.00"
"Residencial","Región del Biobío","Chiguayante","54,639,435.00","2,266.00","24,115.00"
"Residencial","Región del Biobío","Chillán","125,527,229.00","2,061.00","60,904.00"
"Residencial","Región del Biobío","Chillán Viejo","16,905,786.00","1,822.00","9,278.00"
"Residencial","Región del Biobío","Cobquecura","2,153,093.00","917.00","2,348.00"
"Residencial","Región del Biobío","Coelemu","7,379,530.00","1,334.00","5,531.00"
"Residencial","Región del Biobío","Coihueco","12,217,191.00","1,523.00","8,021.00"
"Residencial","Región del Biobío","Concepción","194,127,984.00","2,514.00","77,208.00"
"Residencial","Región del Biobío","Contulmo","2,161,702.00","1,045.00","2,068.00"
"Residencial","Región del Biobío","Coronel","69,974,809.00","1,977.00","35,386.00"
"Residencial","Región del Biobío","Curanilahue","15,466,755.00","1,457.00","10,617.00"
"Residencial","Región del Biobío","El Carmen","4,594,075.00","1,073.00","4,283.00"
"Residencial","Región del Biobío","Florida","4,748,801.00","1,156.00","4,107.00"
"Residencial","Región del Biobío","Hualpén","60,338,029.00","2,131.00","28,315.00"
"Residencial","Región del Biobío","Hualqui","10,849,364.00","1,476.00","7,351.00"
"Residencial","Región del Biobío","Laja","10,982,867.00","1,335.00","8,227.00"
"Residencial","Región del Biobío","Lebu","11,712,590.00","1,348.00","8,686.00"
"Residencial","Región del Biobío","Los Álamos","8,143,325.00","1,221.00","6,669.00"
"Residencial","Región del Biobío","Los Ángeles","129,156,036.00","2,095.00","61,639.00"
"Residencial","Región del Biobío","Lota","24,229,806.00","1,549.00","15,638.00"
"Residencial","Región del Biobío","Mulchén","12,923,820.00","1,407.00","9,188.00"
"Residencial","Región del Biobío","Nacimiento","11,700,580.00","1,349.00","8,672.00"
"Residencial","Región del Biobío","Negrete","4,037,068.00","1,362.00","2,963.00"
"Residencial","Región del Biobío","Ninhue","1,802,744.00","861.00","2,093.00"
"Residencial","Región del Biobío","Ñiquén","4,604,024.00","1,104.00","4,169.00"
"Residencial","Región del Biobío","Pemuco","4,240,267.00","1,504.00","2,818.00"
"Residencial","Región del Biobío","Penco","30,773,289.00","2,451.00","12,556.00"
"Residencial","Región del Biobío","Pinto","6,951,513.00","1,432.00","4,855.00"
"Residencial","Región del Biobío","Portezuelo","2,008,274.00","1,082.00","1,856.00"
"Residencial","Región del Biobío","Quilaco","1,514,044.00","957.00","1,583.00"
"Residencial","Región del Biobío","Quilleco","4,004,807.00","1,180.00","3,393.00"
"Residencial","Región del Biobío","Quillón","10,711,266.00","1,270.00","8,437.00"
"Residencial","Región del Biobío","Quirihue","4,937,658.00","1,059.00","4,662.00"
"Residencial","Región del Biobío","Ránquil","2,883,821.00","1,263.00","2,284.00"
"Residencial","Región del Biobío","San Carlos","28,115,558.00","1,535.00","18,314.00"
"Residencial","Región del Biobío","San Fabián","1,870,231.00","1,168.00","1,601.00"
"Residencial","Región del Biobío","San Ignacio","6,369,576.00","1,111.00","5,735.00"
