year	combustible	region	m3
2006	GASOLINA_81	CL-TA	438
2006	GASOLINA_81	CL-AN	0
2006	GASOLINA_81	CL-AT	0
2006	GASOLINA_81	CL-CO	0
2006	GASOLINA_81	CL-AR	0
2006	GASOLINA_81	CL-RM	0
2006	GASOLINA_81	CL-VS	0
2006	GASOLINA_81	CL-LI	0
2006	GASOLINA_81	CL-ML	0
2006	GASOLINA_81	CL-BI	0
2006	GASOLINA_81	CL-LL	0
2006	GASOLINA_81	CL-AI	0
2006	GASOLINA_81	CL-MA	0
2006	GASOLINA_81	CL-LR	0
2006	GASOLINA_81	CL-AP	0
2006	GASOLINA_93	CL-TA	0
2006	GASOLINA_93	CL-AN	0
2006	GASOLINA_93	CL-AT	0
2006	GASOLINA_93	CL-CO	0
2006	GASOLINA_93	CL-AR	0
2006	GASOLINA_93	CL-RM	0
2006	GASOLINA_93	CL-VS	0
2006	GASOLINA_93	CL-LI	0
2006	GASOLINA_93	CL-ML	0
2006	GASOLINA_93	CL-BI	0
2006	GASOLINA_93	CL-LL	0
2006	GASOLINA_93	CL-AI	0
2006	GASOLINA_93	CL-MA	0
2006	GASOLINA_93	CL-LR	0
2006	GASOLINA_93	CL-AP	0
2006	GASOLINA_93_SP	CL-TA	35861
2006	GASOLINA_93_SP	CL-AN	53148
2006	GASOLINA_93_SP	CL-AT	24951
2006	GASOLINA_93_SP	CL-CO	59381
2006	GASOLINA_93_SP	CL-AR	60034
2006	GASOLINA_93_SP	CL-RM	597272
2006	GASOLINA_93_SP	CL-VS	133763
2006	GASOLINA_93_SP	CL-LI	62745
2006	GASOLINA_93_SP	CL-ML	68295
2006	GASOLINA_93_SP	CL-BI	135069
2006	GASOLINA_93_SP	CL-LL	93421
2006	GASOLINA_93_SP	CL-AI	9814
2006	GASOLINA_93_SP	CL-MA	19703
2006	GASOLINA_93_SP	CL-LR	0
2006	GASOLINA_93_SP	CL-AP	0
2006	GASOLINA_95_SP	CL-TA	11268
2006	GASOLINA_95_SP	CL-AN	19623
2006	GASOLINA_95_SP	CL-AT	14667
2006	GASOLINA_95_SP	CL-CO	31692
2006	GASOLINA_95_SP	CL-AR	39344
2006	GASOLINA_95_SP	CL-RM	301424
2006	GASOLINA_95_SP	CL-VS	80890
2006	GASOLINA_95_SP	CL-LI	46679
2006	GASOLINA_95_SP	CL-ML	43115
2006	GASOLINA_95_SP	CL-BI	82595
2006	GASOLINA_95_SP	CL-LL	55375
2006	GASOLINA_95_SP	CL-AI	1550
2006	GASOLINA_95_SP	CL-MA	1727
2006	GASOLINA_95_SP	CL-LR	0
2006	GASOLINA_95_SP	CL-AP	0
2006	GASOLINA_97_SP	CL-TA	28825
2006	GASOLINA_97_SP	CL-AN	33195
2006	GASOLINA_97_SP	CL-AT	13887
2006	GASOLINA_97_SP	CL-CO	33372
2006	GASOLINA_97_SP	CL-AR	22002
2006	GASOLINA_97_SP	CL-RM	440908
2006	GASOLINA_97_SP	CL-VS	79063
2006	GASOLINA_97_SP	CL-LI	35002
2006	GASOLINA_97_SP	CL-ML	25427
2006	GASOLINA_97_SP	CL-BI	56645
2006	GASOLINA_97_SP	CL-LL	31727
2006	GASOLINA_97_SP	CL-AI	3630
2006	GASOLINA_97_SP	CL-MA	4570
2006	GASOLINA_97_SP	CL-LR	0
2006	GASOLINA_97_SP	CL-AP	0
2006	GASOLINA_AVIACION_1000130	CL-TA	622
2006	GASOLINA_AVIACION_1000130	CL-AN	116
2006	GASOLINA_AVIACION_1000130	CL-AT	37
2006	GASOLINA_AVIACION_1000130	CL-CO	0
2006	GASOLINA_AVIACION_1000130	CL-AR	178
2006	GASOLINA_AVIACION_1000130	CL-RM	1748
2006	GASOLINA_AVIACION_1000130	CL-VS	1187
2006	GASOLINA_AVIACION_1000130	CL-LI	189
2006	GASOLINA_AVIACION_1000130	CL-ML	260
2006	GASOLINA_AVIACION_1000130	CL-BI	289
2006	GASOLINA_AVIACION_1000130	CL-LL	865
2006	GASOLINA_AVIACION_1000130	CL-AI	291
2006	GASOLINA_AVIACION_1000130	CL-MA	101
2006	GASOLINA_AVIACION_1000130	CL-LR	0
2006	GASOLINA_AVIACION_1000130	CL-AP	0
2006	KEROSENE_AVIACION	CL-TA	44735
2006	KEROSENE_AVIACION	CL-AN	40785
2006	KEROSENE_AVIACION	CL-AT	2723
2006	KEROSENE_AVIACION	CL-CO	5209
2006	KEROSENE_AVIACION	CL-AR	9363
2006	KEROSENE_AVIACION	CL-RM	508095
2006	KEROSENE_AVIACION	CL-VS	26088
2006	KEROSENE_AVIACION	CL-LI	185
2006	KEROSENE_AVIACION	CL-ML	71
2006	KEROSENE_AVIACION	CL-BI	14686
2006	KEROSENE_AVIACION	CL-LL	35426
2006	KEROSENE_AVIACION	CL-AI	1458
2006	KEROSENE_AVIACION	CL-MA	21368
2006	KEROSENE_AVIACION	CL-LR	0
2006	KEROSENE_AVIACION	CL-AP	0
2006	KEROSENE_DOMESTICO	CL-TA	474
2006	KEROSENE_DOMESTICO	CL-AN	10729
2006	KEROSENE_DOMESTICO	CL-AT	134
2006	KEROSENE_DOMESTICO	CL-CO	526
2006	KEROSENE_DOMESTICO	CL-AR	2538
2006	KEROSENE_DOMESTICO	CL-RM	59039
2006	KEROSENE_DOMESTICO	CL-VS	4096
2006	KEROSENE_DOMESTICO	CL-LI	6333
2006	KEROSENE_DOMESTICO	CL-ML	5825
2006	KEROSENE_DOMESTICO	CL-BI	10397
2006	KEROSENE_DOMESTICO	CL-LL	3789
2006	KEROSENE_DOMESTICO	CL-AI	799
2006	KEROSENE_DOMESTICO	CL-MA	0
2006	KEROSENE_DOMESTICO	CL-LR	0
2006	KEROSENE_DOMESTICO	CL-AP	0
2006	P_COMBUSTIBLE_180	CL-TA	15221
2006	P_COMBUSTIBLE_180	CL-AN	42164
2006	P_COMBUSTIBLE_180	CL-AT	113388
2006	P_COMBUSTIBLE_180	CL-CO	358
2006	P_COMBUSTIBLE_180	CL-AR	0
2006	P_COMBUSTIBLE_180	CL-RM	15
2006	P_COMBUSTIBLE_180	CL-VS	1053196
2006	P_COMBUSTIBLE_180	CL-LI	0
2006	P_COMBUSTIBLE_180	CL-ML	0
2006	P_COMBUSTIBLE_180	CL-BI	147131
2006	P_COMBUSTIBLE_180	CL-LL	7063
2006	P_COMBUSTIBLE_180	CL-AI	0
2006	P_COMBUSTIBLE_180	CL-MA	0
2006	P_COMBUSTIBLE_180	CL-LR	0
2006	P_COMBUSTIBLE_180	CL-AP	0
2006	P_COMBUSTIBLE_5	CL-TA	0
2006	P_COMBUSTIBLE_5	CL-AN	5
2006	P_COMBUSTIBLE_5	CL-AT	0
2006	P_COMBUSTIBLE_5	CL-CO	3691
2006	P_COMBUSTIBLE_5	CL-AR	6878
2006	P_COMBUSTIBLE_5	CL-RM	21510
2006	P_COMBUSTIBLE_5	CL-VS	9228
2006	P_COMBUSTIBLE_5	CL-LI	16495
2006	P_COMBUSTIBLE_5	CL-ML	3552
2006	P_COMBUSTIBLE_5	CL-BI	11199
2006	P_COMBUSTIBLE_5	CL-LL	15405
2006	P_COMBUSTIBLE_5	CL-AI	0
2006	P_COMBUSTIBLE_5	CL-MA	0
2006	P_COMBUSTIBLE_5	CL-LR	0
2006	P_COMBUSTIBLE_5	CL-AP	0
