combustible,nombre_final
gasolina_81,Gasolina 81
gasolina_93,Gasolina 93 (con plomo)
gasolina_93_sp,Gasolina 93
gasolina_95_sp,Gasolina 95
gasolina_97_sp,Gasolina 97
gasolina_aviacion_1000130,Gasolina de Aviación
kerosene_aviacion,Kerosene de Aviación
kerosene_domestico,Kerosene Doméstico
p_combustible_180,Petróleo Combustible 180
p_combustible_5,Petróleo Combustible 5
p_combustible_6,Petróleo Combustible 6
p_diesel,Petróleo Diesel
p_diesel_a1,Petróleo Diesel A1
p_diesel_b,Petróleo Diesel B
p_diesel_invernal,Petróleo Diesel Invernal
p_diesel_b1,Petróleo Diesel B1
p_diesel_b2,Petróleo Diesel B2
