anio	combustible	region	m3
2006	GASOLINA_97_SP	I	28825
2006	GASOLINA_97_SP	II	33195
2006	GASOLINA_97_SP	III	13887
2006	KEROSENE_AVIACION	I	44735
2006	KEROSENE_AVIACION	II	40785
2006	KEROSENE_AVIACION	III	2723
2006	P_COMBUSTIBLE_180	I	15221
2006	P_COMBUSTIBLE_180	II	42164
2006	P_COMBUSTIBLE_180	III	113388
2007	GASOLINA_97_SP	I	28395
2007	GASOLINA_97_SP	II	36605
2007	GASOLINA_97_SP	III	15024
2007	KEROSENE_AVIACION	I	50019
2007	KEROSENE_AVIACION	II	44745
2007	KEROSENE_AVIACION	III	5744
2007	P_COMBUSTIBLE_180	I	26046
2007	P_COMBUSTIBLE_180	II	29645
2007	P_COMBUSTIBLE_180	III	258630
