periodo	combustible	valor
1990	Gas Licuado	1112
1991	Gas Licuado	1189
1992	Gas Licuado	1319
1993	Gas Licuado	1445
1994	Gas Licuado	1478
1995	Gas Licuado	1622
1996	Gas Licuado	1760
1997	Gas Licuado	1845
1998	Gas Licuado	1996
1999	Gas Licuado	2047
2000	Gas Licuado	1891
2001	Gas Licuado	1811
2002	Gas Licuado	1762
2003	Gas Licuado	1802
2004	Gas Licuado	1849
2005	Gas Licuado	1791
2006	Gas Licuado	1841
2007	Gas Licuado	2114
2008	Gas Licuado	2610
2009	Gas Licuado	2129
2010	Gas Licuado	2606
2011	Gas Licuado	2523
2012	Gas Licuado	3129
2013	Gas Licuado	2412
2014	Gas Licuado	2229
1990	Gasolinas	1882
1991	Gasolinas	1948
1992	Gasolinas	2147
1993	Gasolinas	2265
1994	Gasolinas	2544
1995	Gasolinas	2752
1996	Gasolinas	2946
1997	Gasolinas	3064
1998	Gasolinas	3188
1999	Gasolinas	3252
2000	Gasolinas	3261
2001	Gasolinas	2982
2002	Gasolinas	2965
2003	Gasolinas	2879
2004	Gasolinas	2893
2005	Gasolinas	2886
2006	Gasolinas	2935
2007	Gasolinas	3121
2008	Gasolinas	3147
2009	Gasolinas	3475
2010	Gasolinas	3774
2011	Gasolinas	3521
2012	Gasolinas	3737
2013	Gasolinas	4011
2014	Gasolinas	4039
1990	Kerosene D.	218
1991	Kerosene D.	271
1992	Kerosene D.	323
1993	Kerosene D.	343
1994	Kerosene D.	336
1995	Kerosene D.	335
1996	Kerosene D.	395
1997	Kerosene D.	394
1998	Kerosene D.	358
1999	Kerosene D.	312
2000	Kerosene D.	258
2001	Kerosene D.	221
2002	Kerosene D.	204
2003	Kerosene D.	149
2004	Kerosene D.	132
2005	Kerosene D.	116
2006	Kerosene D.	106
2007	Kerosene D.	144
2008	Kerosene D.	98
2009	Kerosene D.	152
2010	Kerosene D.	190
2011	Kerosene D.	151
2012	Kerosene D.	125
2013	Kerosene D.	140
2014	Kerosene D.	130
1990	Diesel	2698
1991	Diesel	2752
1992	Diesel	2819
1993	Diesel	3177
1994	Diesel	3469
1995	Diesel	3828
1996	Diesel	4199
1997	Diesel	4690
1998	Diesel	4663
1999	Diesel	5084
2000	Diesel	4780
2001	Diesel	4867
2002	Diesel	5031
2003	Diesel	5030
2004	Diesel	5406
2005	Diesel	5938
2006	Diesel	6236
2007	Diesel	9485
2008	Diesel	9806
2009	Diesel	9096
2010	Diesel	8199
2011	Diesel	8940
2012	Diesel	9069
2013	Diesel	8945
2014	Diesel	9062
1990	P. Combustibles	1476
1991	P. Combustibles	1494
1992	P. Combustibles	1668
1993	P. Combustibles	1820
1994	P. Combustibles	1934
1995	P. Combustibles	2146
1996	P. Combustibles	2123
1997	P. Combustibles	2174
1998	P. Combustibles	1957
1999	P. Combustibles	1771
2000	P. Combustibles	1897
2001	P. Combustibles	1613
2002	P. Combustibles	1457
2003	P. Combustibles	1698
2004	P. Combustibles	1739
2005	P. Combustibles	2038
2006	P. Combustibles	2103
2007	P. Combustibles	2704
2008	P. Combustibles	2956
2009	P. Combustibles	2269
2010	P. Combustibles	1747
2011	P. Combustibles	1920
2012	P. Combustibles	1447
2013	P. Combustibles	1509
2014	P. Combustibles	1070
