operacion	year	producto	pais	pais3	ton_punto
E	2002	Diesel	Argentina	ARG	3920.33077
E	2002	Diesel	Bolivia	BOL	16443.67286
E	2002	Diesel	España	ESP	253.5
E	2002	Diesel	Japón	JPN	0.002
E	2002	Diesel	Perú	PER	65786.373
E	2002	Diesel	Territorios Británicos en América	FLK	291.525
E	2002	Fuel Oil 6	Estados Unidos	USA	57405.65
E	2002	Fuel Oil 6	Panamá	PAN	16356.41248
E	2002	Gas Natural	Territorios Británicos en América	FLK	7.75
E	2002	GLP	Ecuador	ECU	32205
E	2002	GLP	Perú	PER	1500
E	2002	Kerosene	Bolivia	BOL	2643.08098
E	2002	Kerosene	Perú	PER	2374.92
E	2003	Diesel	Argentina	ARG	66965.11372
E	2003	Diesel	Bolivia	BOL	67968.011
E	2003	Diesel	Colombia	COL	21038.347
E	2003	Diesel	Ecuador	ECU	13408.308
E	2003	Diesel	España	ESP	245.05
E	2003	Diesel	Estados Unidos	USA	76514.605
E	2003	Diesel	Guatemala	GTM	17893
E	2003	Diesel	Japón	JPN	211.25
E	2003	Diesel	Panamá	PAN	29397.91
E	2003	Diesel	Perú	PER	97337.025
E	2003	Diesel	Territorios Británicos en América	FLK	591.5
E	2003	Fuel Oil 6	Estados Unidos	USA	356479.66
E	2003	Fuel Oil 6	Panamá	PAN	79771.004
E	2003	Fuel Oil 6	Perú	PER	639
E	2003	Gas Natural	Argentina	ARG	198.9069
E	2003	Gas Natural	Territorios Británicos en América	FLK	35.043
E	2003	GLP	Brasil	BRA	9441.497
E	2003	GLP	Ecuador	ECU	123316.8
E	2003	GLP	Perú	PER	18211.875
E	2003	IFO	Perú	PER	261.267
E	2003	Kerosene	Bolivia	BOL	331.926
E	2003	Kerosene	Panamá	PAN	1769.594
E	2003	Kerosene	Perú	PER	3832.851
E	2004	Diesel	Argentina	ARG	43356.2124800001
E	2004	Diesel	Bolivia	BOL	32948.092
E	2004	Diesel	Corea del Sur	KOR	442
E	2004	Diesel	Estados Unidos	USA	41162.017
E	2004	Diesel	Japón	JPN	84.5
E	2004	Diesel	Perú	PER	25165.818
E	2004	Diesel	Rusia	RUS	146.142
E	2004	Diesel	Uruguay	URY	169
E	2004	Fuel Oil 6	Estados Unidos	USA	336863.592
E	2004	Fuel Oil 6	Panamá	PAN	145216.609
E	2004	Fuel Oil 6	Perú	PER	4254.502
E	2004	Fuel Oil 6	Venezuela	VEN	1.8
E	2004	Gas Natural	Argentina	ARG	174.7067
E	2004	Gas Natural	Territorios Británicos en América	FLK	9.972
E	2004	GLP	Argentina	ARG	132
E	2004	GLP	Ecuador	ECU	127223.3
E	2004	GLP	El Salvador	SLV	5205.192
E	2004	GLP	Estados Unidos	USA	11426.843
E	2004	GLP	Panamá	PAN	1490.473
E	2004	GLP	Paraguay	PRY	16.173
E	2004	GLP	Perú	PER	5248.76
E	2004	GLP	República Dominicana	DOM	4802.429
E	2004	GLP	Territorios Británicos en América	FLK	19.119
E	2004	IFO	Perú	PER	4.9545
E	2005	Diesel	Argentina	ARG	47573.00083
E	2005	Diesel	Bolivia	BOL	76668.0378
E	2005	Diesel	Estados Unidos	USA	22283.825
E	2005	Diesel	Perú	PER	81605.21
E	2005	Fuel Oil 6	Argentina	ARG	101489.799
E	2005	Fuel Oil 6	Estados Unidos	USA	487891.379
E	2005	Fuel Oil 6	Perú	PER	1356
E	2005	Gas Natural	Alemania	DEU	0.006
E	2005	GLP	Argentina	ARG	110.9
E	2005	GLP	Bolivia	BOL	0.007
E	2005	GLP	Ecuador	ECU	112489.861
E	2005	GLP	El Salvador	SLV	2199.2
E	2005	GLP	Estados Unidos	USA	9821.509
E	2005	GLP	Perú	PER	1500
E	2005	GLP	Territorios Británicos en América	FLK	33.802
E	2005	IFO	Estados Unidos	USA	35412.521
E	2005	IFO	Perú	PER	437.129
E	2006	Carbón	Brasil	BRA	25.008
E	2006	Diesel	Argentina	ARG	86345.91135
E	2006	Diesel	Bolivia	BOL	83078.04627
E	2006	Diesel	Corea del Sur	KOR	426
E	2006	Diesel	Estados Unidos	USA	39760.686
E	2006	Diesel	Paraguay	PRY	3.654
E	2006	Diesel	Perú	PER	245684.656
E	2006	Diesel	Territorios Británicos en América	FLK	0.01
E	2006	Fuel Oil 6	Argentina	ARG	53186.588
E	2006	Fuel Oil 6	Estados Unidos	USA	402533.559
E	2006	Fuel Oil 6	Guatemala	GTM	48597.7
E	2006	Fuel Oil 6	Panamá	PAN	45353.906
E	2006	Fuel Oil 6	Sin descripción		85995.215
E	2006	Gasolina	Perú	PER	2.80038
E	2006	GLP	Brasil	BRA	8.295
E	2006	GLP	Ecuador	ECU	107646.871
E	2006	GLP	El Salvador	SLV	9532.345
E	2006	GLP	España	ESP	31.701
E	2006	GLP	Estados Unidos	USA	103.4
E	2006	GLP	Japón	JPN	8916.31
E	2006	GLP	Perú	PER	1779.3
E	2006	GLP	Territorios Británicos en América	FLK	23.56
E	2006	IFO	Estados Unidos	USA	11116.2
E	2006	IFO	Perú	PER	3.17347
E	2006	Kerosene	Argentina	ARG	405.9
E	2006	Kerosene	Corea del Sur	KOR	3.86
E	2007	Carbón	Argentina	ARG	196.24
E	2007	Diesel	Argentina	ARG	44068.23863
E	2007	Diesel	Bolivia	BOL	65983.21619
E	2007	Diesel	Perú	PER	117369.659
E	2007	Fuel Oil 6	Estados Unidos	USA	157120.291
E	2007	Gas Natural	Bolivia	BOL	7.63
E	2007	GLP	Argentina	ARG	4.433
E	2007	GLP	Ecuador	ECU	106815.666
E	2007	GLP	El Salvador	SLV	7768.5
E	2007	GLP	Ghana	GHA	0.509
E	2007	GLP	Perú	PER	1.57824
E	2007	GLP	Territorios Británicos en América	FLK	29.184
E	2007	GLP	Uruguay	URY	106.235
E	2007	Kerosene	Argentina	ARG	333.4
E	2008	Carbón	Argentina	ARG	28
E	2008	Carbón	Estados Unidos	USA	0.00177
E	2008	Diesel	Argentina	ARG	71726.59756
E	2008	Diesel	Bolivia	BOL	123145.20571
E	2008	Diesel	Colombia	COL	33281.5
E	2008	Diesel	Perú	PER	107156.559
E	2008	GLP	Argentina	ARG	0.02
E	2008	GLP	Benin	BEN	21.238
E	2008	GLP	Bolivia	BOL	0.112
E	2008	GLP	Corea del Sur	KOR	1.058
E	2008	GLP	Ecuador	ECU	56272.506
E	2008	GLP	Perú	PER	1.3585
E	2008	GLP	Territorios Británicos en América	FLK	36.425
E	2008	IFO	Bolivia	BOL	4680.10676
E	2008	IFO	Suiza	CHE	0.00035
E	2009	Carbón	China	CHN	44997.31
E	2009	Carbón	Japón	JPN	42840.2
E	2009	Diesel	Alemania	DEU	0.0262
E	2009	Diesel	Argentina	ARG	2863
E	2009	Diesel	Bolivia	BOL	79993.55825
E	2009	Diesel	Estados Unidos	USA	0.001
E	2009	Diesel	Perú	PER	141861.46
E	2009	Diesel	Territorios Británicos en América	FLK	0.012
E	2009	Fuel Oil 6	Estados Unidos	USA	29326.281
E	2009	Fuel Oil 6	Panamá	PAN	35828.2
E	2009	Gasolina	Bolivia	BOL	1551.23
E	2009	GLP	Argentina	ARG	0.075
E	2009	GLP	Benin	BEN	8.434
E	2009	GLP	Ecuador	ECU	29217.142
E	2009	GLP	Territorios Británicos en América	FLK	30.20951
E	2009	GLP	Uruguay	URY	5892.196
E	2009	IFO	Estados Unidos	USA	17035.245
E	2010	Carbón	China	CHN	43011.71
E	2010	Carbón	Italia	ITA	22350.29
E	2010	Diesel	Argentina	ARG	3627.804
E	2010	Diesel	Bolivia	BOL	39724.4788
E	2010	Diesel	Perú	PER	45121.168
E	2010	Gasolina	Bolivia	BOL	3618.24
E	2010	GLP	Argentina	ARG	1058.26
E	2010	GLP	Brasil	BRA	14.361
E	2010	GLP	Ecuador	ECU	17029.339
E	2010	GLP	Territorios Británicos en América	FLK	24.04
E	2010	IFO	Brasil	BRA	40
E	2010	IFO	Colombia	COL	9.955
E	2011	Carbón	Argentina	ARG	1870.122
E	2011	Carbón	Bélgica	BEL	41301.01
E	2011	Carbón	Holanda	NLD	42334.4
E	2011	Carbón	Japón	JPN	42496.53
E	2011	Diesel	Argentina	ARG	3695
E	2011	Diesel	Bolivia	BOL	38034.55993
E	2011	Diesel	Perú	PER	55155.154
E	2011	Fuel Oil 6	Ecuador	ECU	39557.5
E	2011	Gasolina	Bolivia	BOL	686.63
E	2011	Gasolina	Perú	PER	47.85
E	2011	GLP	Argentina	ARG	0.45
E	2011	IFO	Ecuador	ECU	17700.8
E	2011	IFO	Estados Unidos	USA	17464.8
E	2012	Carbón	Holanda	NLD	44996.58
E	2012	Carbón	India	IND	45002.53
E	2012	Diesel	Argentina	ARG	3315.588
E	2012	Diesel	Bolivia	BOL	63966.80662
E	2012	Fuel Oil 6	Malasia	MYS	90179.76
E	2012	Fuel Oil 6	Panamá	PAN	53408.89
E	2012	Gasolina	Bolivia	BOL	44336.10188
E	2012	Gasolina	Perú	PER	6827.38
E	2012	GLP	Brasil	BRA	183.9538
E	2012	GLP	Corea del Sur	KOR	8.76
E	2012	GLP	Ecuador	ECU	1792.758
E	2012	GLP	Territorios Británicos en América	FLK	6.5
E	2012	IFO	Panamá	PAN	8783.636
E	2013	Carbón	China	CHN	147656.7
E	2013	Carbón	Holanda	NLD	78353.3
E	2013	Carbón	India	IND	1031786.87
E	2013	Carbón	Inglaterra	GBR	78014.13
E	2013	Carbón	Polonia	POL	79304.87
E	2013	Diesel	Argentina	ARG	1063.822
E	2013	Diesel	Bolivia	BOL	75102.76679
E	2013	Diesel	Panamá	PAN	1478.602
E	2013	Diesel	Paraguay	PRY	1477.56
E	2013	Diesel	Perú	PER	15076.3
E	2013	Fuel Oil 6	Sin descripción		66283.123
E	2013	Fuel Oil 6	Singapur	SGP	71169.221
E	2013	Gasolina	Bolivia	BOL	38796.56342
E	2013	Gasolina	Paraguay	PRY	786.753
E	2013	GLP	Bolivia	BOL	0.02371
E	2013	GLP	Brasil	BRA	30637.949
E	2013	GLP	Estados Unidos	USA	0.04044
E	2013	GLP	Ghana	GHA	3487.394
E	2013	GLP	Guinea Ecuatorial	GNQ	8653.704
E	2013	GLP	República Dominicana	DOM	8965.281
E	2013	GLP	Territorios Británicos en América	FLK	5.4
E	2013	IFO	Estados Unidos	USA	0.00238
E	2013	IFO	Sin descripción		30742.753
E	2013	IFO	Singapur	SGP	22875.783
E	2013	Kerosene	Bolivia	BOL	16.8
E	2013	Kerosene	Perú	PER	5599.888
E	2014	Carbón	España	ESP	193410.26
E	2014	Carbón	Holanda	NLD	226516.88
E	2014	Carbón	India	IND	1220526.618
E	2014	Carbón	Polonia	POL	108964.695
E	2014	Diesel	Bolivia	BOL	73059.61728
E	2014	Diesel	Estados Unidos	USA	0.00012
E	2014	Diesel	Perú	PER	579.244
E	2014	Fuel Oil 6	Panamá	PAN	69885.294
E	2014	Fuel Oil 6	Sin descripción		19839.359
E	2014	Gasolina	Bolivia	BOL	43180.35858
E	2014	GLP	Brasil	BRA	18601.839
E	2014	GLP	Francia	FRA	10573.62
E	2014	GLP	Uruguay	URY	5982.692
