id	Provincia	Distribuidas total	Primera Dosis	Segunda Dosis	Apl única	Aplicadas total	poblacion_2021_est	Primera_p	Segunda_p
42	La Pampa	442742	243651	210895	2073	456619	361394	0.67	0.47
74	San Luis	614544	338431	281640	3598	623669	514610	0.66	0.46
94	Tierra del Fuego	218248	113948	92255	0	206203	177697	0.64	0.45
02	CABA	4070166	2275384	1840796	23420	4139600	3078836	0.74	0.45
82	Santa Fe	4292660	2373950	1829571	600	4204121	3563390	0.67	0.44
14	Córdoba	4533904	2477459	1884761	1635	4363855	3798261	0.65	0.43
70	San Juan	944810	502906	377683	41	880630	789489	0.64	0.43
62	Río Negro	934908	501092	374622	20	875734	757052	0.66	0.43
50	Mendoza	2362217	1221147	900802	83	2122032	2010363	0.61	0.42
46	La Rioja	482497	267445	196834	76	464355	398648	0.67	0.42
86	Santiago del Estero	1255792	665188	483469	551	1149208	988245	0.67	0.42
90	Tucumán	2033025	1026938	734489	0	1761427	1714487	0.60	0.42
06	Buenos Aires	21212520	11297364	8026951	781	19325096	17709598	0.64	0.42
58	Neuquén	811309	448779	315256	2233	766268	672461	0.67	0.41
78	Santa Cruz	448866	208148	144412	315	352875	374756	0.56	0.41
26	Chubut	735908	369568	249495	0	619063	629181	0.59	0.40
30	Entre Ríos	1665263	869961	578113	411	1448485	1398510	0.62	0.40
34	Formosa	745953	427413	271984	0	699397	610019	0.70	0.39
54	Misiones	1487805	650316	399518	99	1049933	1274992	0.51	0.38
22	Chaco	1425457	703443	428446	0	1131889	1216247	0.58	0.38
38	Jujuy	922697	504226	306781	0	811007	779212	0.65	0.38
66	Salta	1682871	808621	488928	0	1297549	1441988	0.56	0.38
18	Corrientes	1368795	703573	418140	0	1121713	1130320	0.62	0.37
10	Catamarca	541772	295118	169035	84	464237	418991	0.70	0.36
