location	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26	2020-04-27	2020-04-28	2020-04-29	2020-04-30	2020-05-01	2020-05-02	2020-05-03	2020-05-04	2020-05-05	2020-05-06	2020-05-07	2020-05-08	2020-05-09	2020-05-10	2020-05-11	2020-05-12	2020-05-13	2020-05-14	2020-05-15	2020-05-16	2020-05-17	2020-05-18	2020-05-19	2020-05-20	2020-05-21	2020-05-22	2020-05-23	2020-05-24	2020-05-25	2020-05-26	2020-05-27	2020-05-28	2020-05-29	2020-05-30	2020-05-31	2020-06-01	2020-06-02	2020-06-03	2020-06-04	2020-06-05	2020-06-06	2020-06-07	2020-06-08	2020-06-09	2020-06-10	2020-06-11	2020-06-12	2020-06-13	2020-06-14	2020-06-15	2020-06-16	2020-06-17	2020-06-18	2020-06-19	2020-06-20	2020-06-21	2020-06-22	2020-06-23	2020-06-24	2020-06-25	2020-06-26	2020-06-27	2020-06-28	2020-06-29	2020-06-30	2020-07-01	2020-07-02	2020-07-03	2020-07-04	2020-07-05	2020-07-06	2020-07-07	2020-07-08	2020-07-09	2020-07-10	2020-07-11	2020-07-12	2020-07-13	2020-07-14	2020-07-15	2020-07-16	2020-07-17
Argentina	0.1814	0.1969	0.2102	0.2168	0.2323	0.2412	0.2544	0.2699	0.2921	0.2965	0.3142	0.3341	0.3518	0.3651	0.3695	0.4093	0.4115	0.4359	0.458	0.4735	0.4823	0.4978	0.5244	0.5443	0.5753	0.5841	0.604	0.624	0.6483	0.6638	0.6638	0.6748	0.7058	0.7279	0.781	0.7877	0.8032	0.8098	0.8452	0.8696	0.8917	0.9204	0.9581	0.9846	1.0001	1.0333	1.0709	1.1063	1.124	1.1505	1.1683	1.1926	1.2302	1.259	1.2899	1.301	1.3984	1.4338	1.4692	1.5333	1.5864	1.6263	1.6926	1.7369	1.8033	1.8431	1.8896	1.9427	2.0201	2.0555	2.1661	2.1949	2.2369	2.3077	2.321	2.4007	2.487	2.5821	2.6706	2.6927	2.8321	2.8919	2.9892	3.0644	3.1795	3.2149	3.2968	3.3698	3.5446	3.6596	3.7769	3.8698	4.0048	4.0225	4.2106	4.2615	4.5358	4.673
Bolivia	0.1713	0.2056	0.2313	0.2399	0.2399	0.2484	0.2656	0.2656	0.2741	0.2827	0.2913	0.317	0.3427	0.3684	0.3769	0.3941	0.4283	0.454	0.4712	0.5054	0.5311	0.5654	0.6082	0.6511	0.7025	0.7367	0.7796	0.8738	0.9081	0.9766	1.0109	1.0451	1.0965	1.2165	1.3021	1.4049	1.4135	1.4478	1.4906	1.6191	1.7048	1.8419	1.9704	2.056	2.1417	2.2359	2.3473	2.3987	2.5101	2.57	2.6557	2.6814	2.9384	3.2211	3.4267	3.5552	3.658	3.8893	3.9835	4.0692	4.172	4.3862	4.5661	4.7888	5.0116	5.2343	5.4142	5.6455	5.8168	5.971	6.1252	6.3394	6.6221	7.0247	7.2475	7.5045	7.8214	8.0014	8.3098	8.6867	9.175	9.6205	10.2887	10.8883	11.3081	11.805	12.2847	12.6445	13.1071	13.5098	14.0323	14.5806	15.0261	15.4801	15.9856	16.2597	16.6366	16.9964
Brazil	0.4968	0.5288	0.5754	0.6248	0.7207	0.8167	0.9052	1.0072	1.1042	1.1583	1.2114	1.2895	1.3671	1.5586	1.7266	1.8894	1.9783	2.1373	2.3603	2.5715	2.7762	2.9775	3.1756	3.305	3.4442	3.7265	4.0158	4.3028	4.6561	4.9995	5.2329	5.4192	5.8337	6.186	6.5831	6.9708	7.3546	7.5828	7.8999	8.4546	8.8723	9.4312	9.9022	10.3562	10.6634	11.043	11.5318	12.0428	12.5866	13.1154	13.5651	13.791	14.0841	14.6778	15.3124	16.0054	16.4782	16.9035	17.1505	17.4699	18.0684	18.6677	19.2506	19.6783	20.0979	20.3858	20.6808	21.2839	21.8809	22.4634	23.0307	23.5115	23.8131	24.1208	24.7672	25.3247	25.8615	26.3272	26.849	27.1087	27.4342	28.0364	28.5247	29.1137	29.7206	30.2339	30.5171	30.8088	31.3988	31.9741	32.5481	33.1192	33.6231	33.9199	34.2648	34.8764	35.4564	36.0784
Canada	1.5076	1.7302	1.8997	2.0667	2.3926	2.6761	3.1609	3.4683	3.8869	4.1863	4.4778	4.8593	5.2302	5.6859	6.0993	6.5312	6.7829	7.1724	7.5751	7.9381	8.4362	8.9846	9.4483	9.7557	10.2114	10.7122	11.2129	11.6792	12.1058	12.4344	12.906	13.2292	13.6956	14.0533	14.4984	14.7368	15.0468	15.3197	15.4787	15.6642	15.9768	16.3001	16.5597	16.8379	17.0208	17.3414	17.5904	17.9243	18.221	18.4913	18.7403	19.3285	19.4107	19.5935	19.8664	20.2347	20.4095	20.595	20.6665	20.7593	20.9236	21.0905	21.1806	21.3263	21.48	21.5833	21.6601	21.7608	21.8694	21.9913	22.1132	22.2828	22.3358	22.3517	22.3994	22.4788	22.5318	22.5424	22.5636	22.5795	22.6961	22.7623	22.7623	22.8975	22.9531	22.9823	23.0088	23.0326	23.0803	23.1492	23.181	23.2075	23.2446	23.2711	23.2896	23.3108	23.3426	23.3876
Chile	0.34	0.3819	0.4185	0.429	0.4813	0.4917	0.5493	0.6068	0.6591	0.6957	0.7271	0.769	0.837	0.8788	0.9102	0.9468	0.9887	1.0358	1.0829	1.1299	1.1875	1.2241	1.2921	1.3601	1.4124	1.4386	1.47	1.4909	1.538	1.5903	1.6321	1.6897	1.7524	1.81	1.8728	2.0611	2.2023	2.354	2.5005	2.6627	2.8458	3.0812	3.2956	3.5206	3.756	3.9809	4.2163	4.3994	4.6557	4.9382	5.2155	5.5136	5.8223	6.2146	6.6697	7.0935	7.5747	8.0612	11.4562	11.8434	11.9427	12.9471	13.8521	15.0134	16.2218	17.3832	17.5872	17.697	18.9107	20.0929	21.4111	22.4678	23.4304	23.5507	23.5664	24.7486	25.6484	26.5115	27.971	28.8185	29.1637	29.7549	30.0949	30.9685	31.6538	32.3914	32.9982	33.3957	33.6573	34.3844	34.9546	35.4725	35.9956	36.5083	36.7437	36.9791	37.5911	38.1352
Colombia	0.1572	0.1965	0.2142	0.2201	0.2496	0.2575	0.283	0.3007	0.3262	0.3518	0.3714	0.3852	0.4049	0.4225	0.4422	0.4579	0.4776	0.4972	0.5287	0.5464	0.5758	0.6171	0.6368	0.6682	0.7036	0.7429	0.7802	0.7999	0.8411	0.8746	0.9099	0.9414	0.9689	1.0003	1.0318	1.0731	1.1045	1.1281	1.1635	1.2047	1.2381	1.2814	1.3403	1.3855	1.4288	1.474	1.5251	1.5781	1.6155	1.6764	1.7491	1.8454	1.9044	1.983	2.0537	2.1363	2.2503	2.3682	2.4743	2.5706	2.6964	2.8163	2.8163	3.0364	3.1288	3.2762	3.3921	3.5395	3.6633	3.8323	4.019	4.1782	4.3964	4.5398	4.7246	4.8956	5.2159	5.5245	5.776	6.1042	6.3342	6.5523	6.8196	7.1556	7.4229	7.7472	7.987	8.2739	8.5667	8.8969	9.2644	9.6791	10.0604	10.4298	10.7207	11.0548	11.4262	11.8488
Dominican Republic	1.1615	1.2445	1.5948	1.6317	1.687	1.7423	1.8068	1.8437	2.0004	2.0834	2.1663	2.2585	2.3968	2.4429	2.4613	2.5166	2.5627	2.5627	2.6365	2.701	2.7747	2.8854	3.0052	3.0697	3.1896	3.2633	3.3371	3.4385	3.503	3.5491	3.5767	3.6228	3.7058	3.7703	3.8902	3.9086	3.9086	3.9455	4.0008	4.0653	4.1114	4.1298	4.2036	4.222	4.222	4.2405	4.3142	4.3695	4.4709	4.4986	4.5907	4.6276	4.6276	4.7475	4.7567	4.7936	4.8396	4.941	4.9595	4.9687	5.0148	5.0701	5.1715	5.236	5.319	5.4573	5.5771	5.6693	5.8352	5.8537	5.9643	6.038	6.1026	6.1671	6.2224	6.3699	6.4344	6.5635	6.6188	6.6925	6.7571	6.8861	6.9507	7.0521	7.1442	7.2456	7.3194	7.4116	7.5683	7.642	7.7619	7.9647	8.1122	8.2689	8.3242	8.3887	8.5639	8.6745
Ecuador	1.6834	1.7854	1.8874	2.0121	2.0121	2.1992	2.2842	2.3862	2.5846	2.6866	2.8737	2.9473	3.0437	3.1741	3.2647	3.2647	3.2647	3.7579	4.9368	5.0048	5.1012	6.025	7.7708	8.8647	8.893	8.893	9.1707	9.3748	9.6582	9.7319	12.0557	12.1578	13.1893	13.229	13.2517	14.7027	15.2355	15.5075	15.8646	16.0913	16.369	16.6581	17.3213	17.548	17.616	18.1544	18.1544	18.5625	18.7779	18.8969	18.8969	19.033	19.237	19.4864	19.7585	19.7585	20.0305	20.45	20.5237	20.6427	20.9147	21.0848	21.0848	21.6969	21.9576	22.0823	22.2694	22.5018	22.7115	23.1649	23.556	23.7997	23.9358	23.9358	24.2248	24.4232	24.6159	24.973	25.075	25.1034	25.5171	25.6588	25.9365	26.2936	26.6394	27.0305	27.0985	27.3252	27.6199	27.773	27.994	28.2434	28.5155	28.6061	28.6968	29.0766	29.2353	29.513
Guatemala	0.0167	0.0167	0.0279	0.0279	0.0279	0.0279	0.0391	0.0391	0.0391	0.0391	0.0391	0.0447	0.0558	0.0614	0.0614	0.0726	0.0837	0.0837	0.0893	0.0893	0.0893	0.0893	0.0949	0.0949	0.1061	0.1061	0.1172	0.1284	0.134	0.134	0.1451	0.1451	0.1507	0.1619	0.1619	0.1675	0.1842	0.1954	0.2121	0.24	0.2512	0.2679	0.2847	0.307	0.3237	0.3293	0.3516	0.3796	0.4465	0.5024	0.5693	0.6028	0.6475	0.6866	0.7982	0.8819	1.2057	1.2838	1.4066	1.4903	1.6131	1.7638	1.8643	1.9592	2.0485	2.1434	2.2271	2.3332	2.4113	2.5062	2.696	2.869	2.9639	3.0532	3.2486	3.3546	3.4774	3.7509	3.9407	4.0579	4.164	4.3147	4.5603	4.7054	4.9119	5.1352	5.2859	5.4757	5.6041	5.8776	6.0953	6.3576	6.5418	6.8041	6.9437	7.2674	7.5353	7.8368
Honduras	0.2423	0.2524	0.2524	0.2625	0.313	0.3534	0.4139	0.4644	0.4644	0.4644	0.4644	0.4644	0.4745	0.4745	0.4745	0.5957	0.6159	0.6159	0.6664	0.7168	0.7572	0.7572	0.7673	0.8279	0.8279	0.939	0.9995	1.0601	1.0803	1.0904	1.0904	1.1712	1.2217	1.2418	1.3428	1.3529	1.3933	1.4337	1.4741	1.4842	1.5245	1.575	1.6861	1.7568	1.8173	1.8375	1.8981	1.9587	1.9789	2.0092	2.0294	2.1404	2.1909	2.2717	2.3625	2.4534	2.5039	2.5241	2.6048	2.6452	2.7361	2.9279	2.9683	3.0895	3.1299	3.15	3.251	3.3318	3.3924	3.463	3.5236	3.6145	3.665	3.988	4.089	4.2102	4.301	4.7554	4.8361	4.8361	4.8967	5.0179	5.4722	5.9669	6.1083	6.3506	6.4515	6.6232	6.8352	7.0068	7.1078	7.5722	7.7843	7.8145	7.966	8.1477	8.3295	8.4304
