Economy	Bloomberg Resilience Score	People Covered by Vaccines	Lockdown Severity	Flight Capacity	Vaccinated Travel Routes	1-Month Cases Per 100000	1-Month Case Fatality Rate	Total Deaths Per 1 Million	Positive Test Rate	Community Mobility	2021 GDP Growth Forecast	Universal Healthcare Coverage	Human Development Index
U.S.	76	50.3	47	-20.1	334	122	2.6	1824	2.4	-15.3	6.6	82	0.93
New Zealand	73.7	10.3	22	-31.3	140.5	1	0	5	0	7.6	4.3	83	0.93
Switzerland	72.9	41	48	-69.9	365.5	120	0.8	1257	0.8	-10.5	3.4	93	0.96
Israel	72.9	59.1	22	-63.7	134.5	16	1.6	743	0.3	-6.8	4.9	81	0.92
France	72.8	40.3	48	-59.3	346.5	204	1.3	1702	0.9	-10.3	5.7	91	0.9
Spain	72	41.7	54	-54.7	365	255	0.7	1728	3.9	-14.1	5.9	90	0.9
Australia	70.1	14.2	50	-35.3	136.5	2	0	36	0	-9.2	5.1	89	0.94
Mainland China	69.9	40.8	78	1.7	121.5	0	0	3	0.1	-5.8	8.5	70	0.76
U.K.	68.7	57.1	51	-77.8	216.5	360	0.1	1891	1.1	-19.6	6.7	88	0.93
South Korea	68.6	19.2	50	-46.4	137	32	0.4	39	2	4.8	3.9	89	0.92
Norway	67.9	36.5	59	-59.9	133	118	0.1	146	1.2	-5.7	3.5	94	0.96
Denmark	67.5	43.2	50	-73.2	173.5	267	0.1	437	0.3	1.6	3	84	0.94
Singapore	67	44.1	58	-83	137	10	0.7	6	0	-32.2	6.4	92	0.94
Turkey	66.9	28.2	63	-39.2	354.5	218	1.4	587	2.5	-13.4	5.3	69	0.82
Saudi Arabia	66.9	25.2	54	-44.2	349	104	1.3	223	1.5	0.1	2	64	0.85
Belgium	66.4	45.3	51	-62.6	170.5	232	1	2171	1.2	-4.9	4.4	87	0.93
Finland	66.1	38.1	48	-83.2	142.5	53	0.8	175	0.7	-6.2	2.6	91	0.94
U.A.E.	65.8	70	61	-59.9	253	623	0.2	181	0.8	-6.6	2.6	63	0.89
Greece	65.8	36.9	45	-42.9	187.5	227	2.9	1212	1.2	-6.8	3.5	80	0.89
Romania	65	23.2	43	-33.2	371	19	12.7	1725	0.4	-7	5.4	70	0.83
Sweden	64.8	35	55	-71.7	167.5	202	0.8	1448	0.8	-6.8	3.6	90	0.95
Netherlands	64.5	43.2	68	-59.7	176	267	0.3	1052	3.1	-8.2	2.9	90	0.94
Japan	64.1	14.7	49	-59.7	175	47	3.2	116	2.7	-12.5	2.6	96	0.92
Canada	63.6	46.2	74	-77.7	121.5	109	1.9	694	1.2	-19.5	6.2	90	0.93
Austria	63.6	41.5	60	-70.2	176.5	78	1.8	1188	0	-14	3	86	0.92
Italy	63	40.7	70	-56	179.5	85	3.2	2108	0.5	-11	4.6	89	0.89
Ireland	62.7	37.2	69	-80.9	247	325	0.3	1010	5.4	-22.3	4	90	0.96
Germany	62.4	43	68	-70.8	172.5	72	4.3	1083	1.4	-10.8	3.4	86	0.95
Portugal	62.2	38.2	70	-49.3	168.5	255	0.2	1675	2.1	-9.6	4	84	0.86
Hong Kong	62	23.3	71	-89	129	1	1.3	28	0	-6	6.2		0.95
Czech Republic	61.5	36.6	47	-76	174	64	3.5	2829	0.1	-3.3	3.5	82	0.9
Russia	61.5	12.3	49	-0.3	164	267	3.2	894	4.1	-10.1	3.4	69	0.82
Egypt	58.9	2.1	33	-45.5	356.5	21	5.4	157		1	2.9	55	0.71
Mexico	57.8	16.8	44	-16	356.5	76	10.1	1803	24.5	-7.4	5.5	61	0.78
Poland	57	37.1	54	-57.9	169.5	26	15.5	1981	0.3	1.4	4.5	73	0.88
Nigeria	55.8	0.8	47	-1.2	233	1	3.8	10	0.6	6.7	2	38	0.54
Iraq	54.6	1	77	-41.1	333.5	335	0.6	424	11.7	26	1.1	58	0.67
Chile	54.4	58.1	85	-46.5	105.5	993	1.8	1682	8.5	-23.9	6.8	74	0.85
Thailand	54.1	6.4	54	-86.3	157.5	139	1	27	2.7	-11.7	2.4	72	0.78
Vietnam	53.8	1.6	77	-48.3	115.5	9	0.3	1	0.5	-25.3	6.7	60	0.7
Brazil	53.2	22.7	61	-45	322.5	962	2.7	2412		-8.6	4.9	65	0.77
Iran	53.1	3	76	-1.2	108	336	1.5	997	8		2.5	70	0.78
South Africa	52.1	2.7	59	-45.9	328.5	452	1.4	1008	23.6	-6.9	4.3	60	0.71
Taiwan	52.1	4	69	-91.5	122	33	7.2	26	0.4	-37.1	5.5	79	0.91
Peru	51.4	10.5	76	-50.7	345.5	322	9.2	5806	7.8	-23.8	9.5	76	0.78
Bangladesh	51.3	3	86	-43	218.5	54	1.8	85	19.2	19.2	5	54	0.63
Pakistan	50.7	3.5	56	-66.3	204	20	3.8	101	2.2	14.9	3.8	39	0.56
Colombia	48.6	16.2	70	-22.7	346.5	1586	2.1	2044	33.1	-12.7	5.6	74	0.77
Indonesia	48.2	7.4	69	-35.5	113	108	2.3	207	19.3	-10.8	4.5	49	0.72
India	47.7	11.7	82	-51.7	76.5	204	2.8	286	3	-40.8	9.6	47	0.65
Malaysia	46.6	10.8	65	-90.7	112.5	579	1.3	151	7.3	-49.4	5.5	67	0.81
Philippines	45.3	3.2	72	-77.2	112.5	175	2	221	12.6	-24.5	5.5	55	0.72
Argentina	37	21.7	78	-82.1	102	1615	2.2	2043	23.3	-25.4	6	61	0.85
