screen_name	date	fav	retweet	text	url	hashtags
CagnoliTandil	Thu Jul 20 17:07:37 +0000 2017	10	0	Te invitamos del 19 al 30 de Julio a conocer lo mejor de nuestros productos en una nueva @exposicionrural #ExpoRural17  @SociedadRural https://t.co/FqPUq6NyNc	https://twitter.com/CagnoliTandil/status/888082984586407937	[{'text': 'ExpoRural17', 'indices': [106, 118]}]
CagnoliTandil	Tue Jun 27 17:19:49 +0000 2017	6	1	"NUEVO SORTEO! 🙌
Podés ganar un BAÚL CON PRODUCTOS Cagnoli!
Ingresá a nuestro Facebook y participá! https://t.co/RsHqNwvdUi https://t.co/mjqT7CSGLr"	https://twitter.com/CagnoliTandil/status/879751133505474561	[]
CagnoliTandil	Sat Mar 25 17:08:48 +0000 2017	11	1	#SalameMasLargoDelMundo este fin de semana te esperamos para degustarlo en  #Jumbo de Pilar, Nordelta, Palermo y Unicenter https://t.co/imaLBZvqr8	https://twitter.com/CagnoliTandil/status/845683901813211137	[{'text': 'SalameMasLargoDelMundo', 'indices': [0, 23]}, {'text': 'Jumbo', 'indices': [76, 82]}]
CagnoliTandil	Mon Mar 13 14:43:04 +0000 2017	1	0	@caporedigton1 por disposiciones sanitarias no tenemos posibilidad de ingresar visitantes a la Planta. Saludos cordiales.	https://twitter.com/CagnoliTandil/status/841298568837230592	[]
CagnoliTandil	Sun Mar 12 16:30:24 +0000 2017	8	4	#SalameMasLargoDelMundo #JumboPalermo #SalameDOT @JumboArg https://t.co/knt8LWPFDb	https://twitter.com/CagnoliTandil/status/840963195892310017	[{'text': 'SalameMasLargoDelMundo', 'indices': [0, 23]}, {'text': 'JumboPalermo', 'indices': [24, 37]}, {'text': 'SalameDOT', 'indices': [38, 48]}]
CagnoliTandil	Sat Mar 11 17:21:33 +0000 2017	3	0	#SalameMasLargoDelMundo #JumboUnicenter https://t.co/YzFkyziLPP	https://twitter.com/CagnoliTandil/status/840613679657811968	[{'text': 'SalameMasLargoDelMundo', 'indices': [0, 23]}, {'text': 'JumboUnicenter', 'indices': [24, 39]}]
CagnoliTandil	Tue Mar 07 14:12:14 +0000 2017	7	2	Te esperamos en #Expoagro2017 con los mejores productos tandileros @FuegosSG https://t.co/qwILR6W4kZ	https://twitter.com/CagnoliTandil/status/839116485872259072	[{'text': 'Expoagro2017', 'indices': [16, 29]}]
CagnoliTandil	Thu Mar 02 19:31:58 +0000 2017	16	5	"El Salame Más Largo del Mundo 🌍📏🙌
Midió 41,9 metros de largo y pesó 120 kilos! 
#Tandil #SalameMasLargoDelMundo https://t.co/4BCrhj9G02"	https://twitter.com/CagnoliTandil/status/837385010235772928	[{'text': 'Tandil', 'indices': [80, 87]}, {'text': 'SalameMasLargoDelMundo', 'indices': [88, 111]}]
CagnoliTandil	Sat Feb 11 19:18:49 +0000 2017	28	9	Hoy! Los esperamos. #FestivaldelaSierra  #SalameDeTandil #ElSalameMasLargoDelMundo https://t.co/q4T1vUqeqf	https://twitter.com/CagnoliTandil/status/830496329461800960	[{'text': 'FestivaldelaSierra', 'indices': [20, 39]}, {'text': 'SalameDeTandil', 'indices': [41, 56]}, {'text': 'ElSalameMasLargoDelMundo', 'indices': [57, 82]}]
CagnoliTandil	Fri Feb 10 23:58:05 +0000 2017	4	2	#FestivalDeLaSierra visitá nuestro stand y disfrutá de nuestros productos. https://t.co/Zvd79gV6Yo	https://twitter.com/CagnoliTandil/status/830204220380946435	[{'text': 'FestivalDeLaSierra', 'indices': [0, 19]}]
CagnoliTandil	Tue Jan 17 13:52:12 +0000 2017	4	2	Ingresá a https://t.co/1JIDFruZKB participá de los sorteos y disfrutá el mejor #SaborGenuino #TemporadaDelTandilero https://t.co/zW3RTv7YUt	https://twitter.com/CagnoliTandil/status/821354438908592130	[{'text': 'SaborGenuino', 'indices': [79, 92]}, {'text': 'TemporadaDelTandilero', 'indices': [93, 115]}]
CagnoliTandil	Fri Nov 25 01:41:47 +0000 2016	3	1	Buscanos en #JumboDeliAndWine para degustar el salame de 6 metros y deleitarte con lo mejor de nuestros productos https://t.co/Qf6Vkqw2r7	https://twitter.com/CagnoliTandil/status/801964065652412416	[{'text': 'JumboDeliAndWine', 'indices': [12, 29]}]
CagnoliTandil	Tue Oct 25 15:09:23 +0000 2016	3	1	Del 24 al 30, participá de la Semana de Sabores de #Tandil y colaborá con @BancoAlimentos #PlatoSolidario https://t.co/1JIDFruZKB https://t.co/vOdV41HKDF	https://twitter.com/CagnoliTandil/status/790933282175193089	[{'text': 'Tandil', 'indices': [51, 58]}, {'text': 'PlatoSolidario', 'indices': [90, 105]}]
CagnoliTandil	Wed Oct 05 14:48:31 +0000 2016	0	0	@Andresmateu son el Jamón Genuino, Fuet de Tandil, Fuet Serrano y Sopresatta. Podés ver más en nuestra web (https://t.co/j85wqcJK37)	https://twitter.com/CagnoliTandil/status/783680273120694272	[]
CagnoliTandil	Tue Oct 04 14:03:38 +0000 2016	4	0	"Contanos ""donde"" y con quien vas a festejar este #OktoberFuet y ganá https://t.co/1JIDFruZKB #MesDelFuet #Cerveza https://t.co/GPACi9TEiV"	https://twitter.com/CagnoliTandil/status/783306589587603456	[{'text': 'OktoberFuet', 'indices': [49, 61]}, {'text': 'MesDelFuet', 'indices': [93, 104]}, {'text': 'Cerveza', 'indices': [105, 113]}]
CagnoliTandil	Sat Sep 17 22:54:07 +0000 2016	4	0	"Te esperamos este fin de semana en #ElDorrego
Buenos Aires Celebra Las Regiones https://t.co/8I1toSduNN @bacultural https://t.co/DJTITct2a7"	https://twitter.com/CagnoliTandil/status/777279495241740289	[{'text': 'ElDorrego', 'indices': [35, 45]}]
CagnoliTandil	Fri Sep 16 15:06:26 +0000 2016	7	3	"Genuino Salamín Tandilero.
#Cagnoli #Arte https://t.co/zoV0ZtLxsZ"	https://twitter.com/CagnoliTandil/status/776799410894344192	[{'text': 'Cagnoli', 'indices': [27, 35]}, {'text': 'Arte', 'indices': [36, 41]}]
CagnoliTandil	Fri Sep 02 21:10:22 +0000 2016	30	10	"Comienza un nuevo fin de semana, que no falte tu #PicadaCagnoli
Disfrutá de un momento genuino. https://t.co/PVWoKkOjAE"	https://twitter.com/CagnoliTandil/status/771817568159969282	[{'text': 'PicadaCagnoli', 'indices': [49, 63]}]
CagnoliTandil	Fri Aug 05 20:38:05 +0000 2016	4	1	"¿Que sabor especial no puede faltar en una picada olímpica?
Entrá en nuestra Fan Page y votá https://t.co/1JIDFruZKB https://t.co/5M69zhm39K"	https://twitter.com/CagnoliTandil/status/761662582923075585	[]
CagnoliTandil	Tue Aug 02 17:13:03 +0000 2016	9	2	"Una picada es rica, pero mas si se hace con amor y se sirve con una sonrisa.
Feliz día del Trabajador Gastronómico https://t.co/XwWPh8hrBC"	https://twitter.com/CagnoliTandil/status/760523820738445312	[]
