date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Thu Oct 21 15:51:32 +0000 2021	moniromboli	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/moniromboli/status/1451214576683528196	False	12474	12386
Thu Oct 21 15:50:53 +0000 2021	glaperez07	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/glaperez07/status/1451214414523346947	False	3730	3523
Thu Oct 21 15:50:02 +0000 2021	gatejo	"@diegocabot @HijoAlbanil Los Simpson's anticiparon las respuestas automáticas de @vtolosapaz 😂
#DebateBsAs https://t.co/dke4QP7rM9"	0	0	https://twitter.com/gatejo/status/1451214200471232518	False	878	2469
Thu Oct 21 15:48:47 +0000 2021	REINA_MENCIA	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/REINA_MENCIA/status/1451213886443696135	False	2912	1743
Thu Oct 21 15:48:09 +0000 2021	Raullinomelleri	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/Raullinomelleri/status/1451213725919109121	False	165	246
Thu Oct 21 15:47:54 +0000 2021	Clau_claudius8	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/Clau_claudius8/status/1451213662752948231	False	14625	14567
Thu Oct 21 15:47:40 +0000 2021	RICKHARD63	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/RICKHARD63/status/1451213607329488900	False	630	682
Thu Oct 21 15:44:56 +0000 2021	ravallejo01	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/ravallejo01/status/1451212919677534212	False	99	491
Thu Oct 21 15:43:46 +0000 2021	VickyVi69541371	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/VickyVi69541371/status/1451212624235008002	False	92	337
Thu Oct 21 15:43:26 +0000 2021	Loka99150667	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/Loka99150667/status/1451212541909164044	False	81	49
Thu Oct 21 15:41:48 +0000 2021	fsuke16	"RT @SpaccesiAgustin: En el #DebateBsAs lo de #Espert fue impecable! 

Les mostró a todos como la casta como le roba el futuro a todos!!

En…"	0	14	https://twitter.com/fsuke16/status/1451212128283762689	False	26	108
Thu Oct 21 15:37:39 +0000 2021	DeliaVerdu	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/DeliaVerdu/status/1451211086754160640	False	242	99
Thu Oct 21 15:37:26 +0000 2021	aleq45	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/aleq45/status/1451211031431233541	False	3872	5004
Thu Oct 21 15:35:31 +0000 2021	gtuxenbang	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/gtuxenbang/status/1451210550063636485	False	4928	5316
Thu Oct 21 15:34:28 +0000 2021	AnarkoMenemismo	"Randy es tan peronista... Que no solo es un camaleonico como tal.
Sino que se choreo el icono de cuenta verificada de twitter para el logo de su frente.
#DebateBuenosAires #debate  #DebateBsAs https://t.co/48KpKPpyx3"	0	0	https://twitter.com/AnarkoMenemismo/status/1451210283997859843	False	24	123
Thu Oct 21 15:32:56 +0000 2021	BobPeronia	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/BobPeronia/status/1451209897807269893	False	1	62
Thu Oct 21 15:32:55 +0000 2021	CanarioVerde1	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/CanarioVerde1/status/1451209893931855883	False	364	760
Thu Oct 21 15:32:50 +0000 2021	biyuya_2017	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/biyuya_2017/status/1451209874671427593	False	470	271
Thu Oct 21 15:32:24 +0000 2021	pblcabj	"RT @Anonymou5____: Quien está ganando el debate?
Sean sinceros más allá del favoritismo
Se agradece el RT y la compartida
#DebateBsAs #Deba…"	0	14	https://twitter.com/pblcabj/status/1451209763262398472	False	40581	43343
Thu Oct 21 15:32:13 +0000 2021	PabloMoledo1	RT @SusurrosBaires: #Argentina #ArgentinaUnida #EleccionesArgentina  #Politica  #FrenteDeTodos #PapaFrancesco #SanMiguel #peroncumple   Lo…	0	10	https://twitter.com/PabloMoledo1/status/1451209719545090052	False	1256	1299
Thu Oct 21 15:31:38 +0000 2021	Ricapitalismo	"RT @Anonymou5____: Quien está ganando el debate?
Sean sinceros más allá del favoritismo
Se agradece el RT y la compartida
#DebateBsAs #Deba…"	0	14	https://twitter.com/Ricapitalismo/status/1451209571817689093	False	99	180
Thu Oct 21 15:30:41 +0000 2021	Apuntes_	RT @ezebisso: Momento épico en el que @diegosantilli le deja en claro a @vtolosapaz, que @mariuvidal fue la ÚNICA GOBERNADORA, que peleó en…	0	17	https://twitter.com/Apuntes_/status/1451209332150849541	False	60923	1576
Thu Oct 21 15:30:14 +0000 2021	martinez56bis	"RT @MechiCOk: Es muy de kirchnerista decir q estas haciendo algo q todos sabemos q no haces ni vas a hacer 
#DebateBsAs https://t.co/obFXjv…"	0	3	https://twitter.com/martinez56bis/status/1451209217348571136	False	1006	502
Thu Oct 21 15:28:56 +0000 2021	amurialdo	"RT @JorRausch: 🔴 #Memoria 

Para VICTORIA TOLOSA PAZ (el kirchnerismo✌🏽🚩), hablar de nuestros familiares muertos por #Covid19, es hablar de…"	0	41	https://twitter.com/amurialdo/status/1451208890582974472	False	3050	2232
Thu Oct 21 15:28:44 +0000 2021	Noal304	RT @elhombregris14: #DerrotaTolosaPaz en el #DebateBsAs por #TN ayer...#AhPeroMacri, #Macri, #Macri, #Macri..... https://t.co/IC1ZaTPg7k	0	18	https://twitter.com/Noal304/status/1451208839714332683	False	490	956
Thu Oct 21 15:25:36 +0000 2021	pedro21755934	RT @elhombregris14: #DerrotaTolosaPaz en el #DebateBsAs por #TN ayer...#AhPeroMacri, #Macri, #Macri, #Macri..... https://t.co/IC1ZaTPg7k	0	18	https://twitter.com/pedro21755934/status/1451208052510756875	False	493	778
Thu Oct 21 15:25:36 +0000 2021	feliperobert032	RT @SusurrosBaires: #Argentina #ArgentinaUnida #EleccionesArgentina  #Politica  #FrenteDeTodos #PapaFrancesco #SanMiguel #peroncumple   Lo…	0	10	https://twitter.com/feliperobert032/status/1451208051273441280	False	186	115
Thu Oct 21 15:23:26 +0000 2021	CristianVj86	"RT @Sami25280250: #DebateBsAs
Junto a nuestra candidata Victoria T.Paz https://t.co/sE9vfYKRuA"	0	13	https://twitter.com/CristianVj86/status/1451207506194227206	False	1000	937
Thu Oct 21 15:23:06 +0000 2021	IngJulioMartin	RT @elhombregris14: #DerrotaTolosaPaz en el #DebateBsAs por #TN ayer...#AhPeroMacri, #Macri, #Macri, #Macri..... https://t.co/IC1ZaTPg7k	0	18	https://twitter.com/IngJulioMartin/status/1451207421406420997	False	263	624
Thu Oct 21 15:22:31 +0000 2021	ParlanteSorda	"RT @pormifuturo1: Derrota paz hablando de no hacer oportunismo político con la pandemia????? 

Danos una explicación NO política de por qué…"	0	46	https://twitter.com/ParlanteSorda/status/1451207277055250443	False	22	72
Thu Oct 21 15:22:24 +0000 2021	elisamas1	RT @elhombregris14: #DerrotaTolosaPaz en el #DebateBsAs por #TN ayer...#AhPeroMacri, #Macri, #Macri, #Macri..... https://t.co/IC1ZaTPg7k	0	18	https://twitter.com/elisamas1/status/1451207246923321348	False	29588	31107
Thu Oct 21 15:21:16 +0000 2021	Norte332	"RT @DANYD8: #DebateBsAs 
#Santilli tibio pero fue el único que expuso propuestas 
#TolosaPaz ""ah pero Macri"" desubicada y con una sonrisa f…"	0	15	https://twitter.com/Norte332/status/1451206963770056706	False	72	275
