date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Thu Oct 21 15:38:36 +0000 2021	SimonciniPocho	"RT @FrenteDeTodos: Tenemos que ir hacia adelante. 

@vtolosapaz • #DebateBuenosAires https://t.co/ycd0mlxGj4"	0	75	https://twitter.com/SimonciniPocho/status/1451211324852113412	False	361	956
Thu Oct 21 15:38:36 +0000 2021	EmiliaD33480667	RT @atlanticsurff: Mi ciela Tolosa Paz, pide justicia y basta de impunidad en el #DebateBuenosAires , la misma Tolosa Paz que tiene 15 off…	0	1973	https://twitter.com/EmiliaD33480667/status/1451211322691969024	False	39	83
Thu Oct 21 15:38:34 +0000 2021	jorinso	"RT @NataliaBSalvo: Que bien Santilli proponiendo las mismas recetas para generar trabajo que nos llevaron a 21,5% de desempleo en 2001.
#De…"	0	123	https://twitter.com/jorinso/status/1451211314764808193	False	911	1277
Thu Oct 21 15:38:33 +0000 2021	PERZP	"RT @todonoticias: 💬 ""¿VOS CONOCÉS PAÍSES EN DONDE DEFIENDAN LAS IDEAS TUYAS?"" | La pregunta de Espert para Del Caño en el #DebateBuenosAire…"	0	284	https://twitter.com/PERZP/status/1451211310683787266	False	346	517
Thu Oct 21 15:38:32 +0000 2021	sandydanadri	RT @ContadorMacri: La candidata del frente de todos para Diputada Nacional por la Provincia de Buenos Aires, Victoria Tolosa Paz @vtolosapa…	0	639	https://twitter.com/sandydanadri/status/1451211306690703366	False	651	1185
Thu Oct 21 15:38:25 +0000 2021	ElDanteluna	RT @vtolosapaz: Hechos, no palabras. Macri y Santilli destrozaron la calidad institucional, tanto que se animaron a espiar a las familias d…	0	495	https://twitter.com/ElDanteluna/status/1451211278249173006	False	184	977
Thu Oct 21 15:38:25 +0000 2021	EscritorVersero	RT @Nikgaturro: La táctica de Tolosa Paz: “Nunca respondas lo que te preguntan, decí cualquier otra cosa”. Parecido a lo que le hacen a la…	0	1506	https://twitter.com/EscritorVersero/status/1451211276663734276	False	3964	5002
Thu Oct 21 15:38:25 +0000 2021	paula9040	RT @Nikgaturro: #DebateBuenosAires Tolosa Paz y el discurso pseudo peronista atrasa unos 70 años. Por suerte lo tiene a Del Caño que con la…	0	2108	https://twitter.com/paula9040/status/1451211276625928197	False	2345	2640
Thu Oct 21 15:38:23 +0000 2021	SimonciniPocho	"RT @FrenteDeTodos: Vidal se escapó. 

🗣 @vtolosapaz • #DebateBuenosAires https://t.co/I7q4YqOnbq"	0	430	https://twitter.com/SimonciniPocho/status/1451211271391494144	False	361	956
Thu Oct 21 15:38:23 +0000 2021	lolacalavera	RT @ContadorMacri: La candidata del frente de todos para Diputada Nacional por la Provincia de Buenos Aires, Victoria Tolosa Paz @vtolosapa…	0	639	https://twitter.com/lolacalavera/status/1451211269185236992	False	2744	1972
Thu Oct 21 15:38:19 +0000 2021	Lety74905275	RT @clarincom: ¿Qué te parece lo que dijo Hotton en el #DebateBuenosAires? ⚠️ Más: https://t.co/uWSTMBzNG4 https://t.co/N78oVXAkp3	0	104	https://twitter.com/Lety74905275/status/1451211253431496706	False	619	755
Thu Oct 21 15:38:15 +0000 2021	tatiana_zai	RT @vtolosapaz: Cuando el presidente decidió devolverle a la provincia el excedente en coparticipación que Macri le había otorgado en forma…	0	255	https://twitter.com/tatiana_zai/status/1451211235014418439	False	9	41
Thu Oct 21 15:38:11 +0000 2021	tatiana_zai	"RT @cyngarciaradio: ÚLTIMO MOMENTO‼️

@RobertoFeletti habló con @Martin_M_Guzman 
El ministro comprometió el respaldo al congelamiento de p…"	0	33	https://twitter.com/tatiana_zai/status/1451211217402580999	False	9	41
Thu Oct 21 15:38:02 +0000 2021	horaciomanzato	RT @vtolosapaz: ¿Ustedes saben que Larreta y Santilli se presentaron ante la justicia para impedir la llegada de fondos para la seguridad d…	0	883	https://twitter.com/horaciomanzato/status/1451211181398523908	False	483	1902
Thu Oct 21 15:37:55 +0000 2021	dayitoroldi	"RT @todonoticias: 💬 ""MATAR TIENE QUE DEJAR DE SER GRATIS"" | El minuto de José Luis Espert (Avanza Libertad) en el bloque de ""Calidad Instit…"	0	454	https://twitter.com/dayitoroldi/status/1451211152852230149	False	7997	889
Thu Oct 21 15:37:53 +0000 2021	RojasAldana_R	"RT @jlespert: ""Matar tiene que dejar de ser gratis en Argentina.""

#DebateBuenosAires
#EsConEspert https://t.co/4fDEJBdKTK"	0	257	https://twitter.com/RojasAldana_R/status/1451211143242944515	False	301	106
Thu Oct 21 15:37:48 +0000 2021	lucas_savo	"RT @izquierdadiario: ""¡ATRASA ESPERT! ¡Queremos educación sexual integral, laica y científica en todas las escuelas!""  #DebateBuenosAires |…"	0	14	https://twitter.com/lucas_savo/status/1451211122602741762	False	635	1682
Thu Oct 21 15:37:46 +0000 2021	PATOVACCARINI	RT @vtolosapaz: Quiero agradecer a los y las bonaerenses que nos escucharon esta noche. Sepan que vamos al Congreso a trabajar leyes que in…	0	279	https://twitter.com/PATOVACCARINI/status/1451211113232797699	False	1275	1221
Thu Oct 21 15:37:46 +0000 2021	Elba93684871	RT @Nikgaturro: #DebateBuenosAires Tolosa Paz y el discurso pseudo peronista atrasa unos 70 años. Por suerte lo tiene a Del Caño que con la…	0	2108	https://twitter.com/Elba93684871/status/1451211112339234817	False	15	199
Thu Oct 21 15:37:46 +0000 2021	marcelaespi42	RT @Nikgaturro: Espert, tiró todos los petardos. Santilli, no quiso hacer olas. Tolosa Paz, ni ella cree lo que dice. Randazzo y Hotton, me…	0	651	https://twitter.com/marcelaespi42/status/1451211112276324357	False	3850	4244
Thu Oct 21 15:37:39 +0000 2021	NicoCerminati	RT @todonoticias: 💬 “ESTAMOS CONSTRUYENDO UNA ALTERNATIVA POLÍTICA ANTICAPITALISTA Y SOCIALISTA” | El discurso de cierre de Nicolás Del Cañ…	0	42	https://twitter.com/NicoCerminati/status/1451211082974961664	False	406	824
Thu Oct 21 15:37:38 +0000 2021	MarianoT90	RT @Nikgaturro: #DebateBuenosAires Tolosa Paz y el discurso pseudo peronista atrasa unos 70 años. Por suerte lo tiene a Del Caño que con la…	0	2108	https://twitter.com/MarianoT90/status/1451211079745343491	False	232	532
Thu Oct 21 15:37:37 +0000 2021	kuro_no_law	RT @todonoticias: El #DebateBuenosAires, según Espert ⬇️ https://t.co/etZPp1QGXF	0	280	https://twitter.com/kuro_no_law/status/1451211077069459458	False	120	559
Thu Oct 21 15:37:37 +0000 2021	JotitaJota1	RT @vtolosapaz: ¿Ustedes saben que Larreta y Santilli se presentaron ante la justicia para impedir la llegada de fondos para la seguridad d…	0	883	https://twitter.com/JotitaJota1/status/1451211075689623558	False	3184	3345
Thu Oct 21 15:37:37 +0000 2021	ElQuemeroDeOnce	RT @Nikgaturro: #DebateBuenosAires Tolosa Paz y el discurso pseudo peronista atrasa unos 70 años. Por suerte lo tiene a Del Caño que con la…	0	2108	https://twitter.com/ElQuemeroDeOnce/status/1451211075244888075	False	989	2297
Thu Oct 21 15:37:33 +0000 2021	PiscianaIntensa	"RT @telenoche: EL #DEBATEBUENOSAIRES Y SUS MEMES 📲

👉 Las mejores perlitas que dejó el encuentro entre candidatos se trasladó a Twitter, do…"	0	3	https://twitter.com/PiscianaIntensa/status/1451211060594155526	False	2470	2942
Thu Oct 21 15:37:31 +0000 2021	ElDanteluna	"RT @vtolosapaz: Ya estamos en @todonoticias esperando el comienzo del debate de candidatos y candidatas.
#DebateBuenosAires https://t.co/59…"	0	151	https://twitter.com/ElDanteluna/status/1451211051232493571	False	184	977
Thu Oct 21 15:37:23 +0000 2021	Laurita8a1	RT @diegosantilli: Mientras el Gobierno nacional y provincial improvisaba, nosotros gestionamos la pandemia con planificación, datos y evid…	0	169	https://twitter.com/Laurita8a1/status/1451211019712442369	False	102	112
Thu Oct 21 15:37:21 +0000 2021	galgo25582	RT @atlanticsurff: Mi ciela Tolosa Paz, pide justicia y basta de impunidad en el #DebateBuenosAires , la misma Tolosa Paz que tiene 15 off…	0	1973	https://twitter.com/galgo25582/status/1451211007435497476	False	1040	280
Thu Oct 21 15:37:20 +0000 2021	nahuabrile	"RT @todonoticias: 💬 ""MATAR TIENE QUE DEJAR DE SER GRATIS"" | El minuto de José Luis Espert (Avanza Libertad) en el bloque de ""Calidad Instit…"	0	454	https://twitter.com/nahuabrile/status/1451211005254533120	False	14	62
