date	screen_name	text	fav	retweet	url
Thu Oct 14 15:02:40 +0000 2021	pablolit	RT @martintetaz: Esta es mi tapa preferida de @mariuvidal a @SantoroLeandro en el #DebateCapital https://t.co/z0Rt522qfi	0	986	https://twitter.com/pablolit/status/1448665565292281856
Thu Oct 14 15:02:40 +0000 2021	oscarmarceloas	Che .....que paliza le pegó la rubia a Javier Falacia Milei ayer en el #DebateCapital .....vistase señora Miriam	0	0	https://twitter.com/oscarmarceloas/status/1448665564956676103
Thu Oct 14 15:02:38 +0000 2021	SergioFe12	RT @mariuvidal: Es la oportunidad de que dejemos de sentir que no hay una salida porque sé que Argentina la tiene. Lo vimos en la pelea que…	0	82	https://twitter.com/SergioFe12/status/1448665559260823553
Thu Oct 14 15:02:36 +0000 2021	SergioFe12	RT @mariuvidal: Nos dimos cuenta de que no estamos solos. Somos la mayoría los que queremos un futuro distinto. Y hoy tenemos una gran opor…	0	54	https://twitter.com/SergioFe12/status/1448665547613167620
Thu Oct 14 15:02:31 +0000 2021	SergioFe12	RT @mariuvidal: El 12 de septiembre fuimos a votar angustiados y con mucha incertidumbre. Pero al día siguiente, nos sentimos más aliviados…	0	35	https://twitter.com/SergioFe12/status/1448665528281694222
Thu Oct 14 15:02:27 +0000 2021	SergioFe12	RT @mariuvidal: La peor improvisación fue después de que votaste el 12 de septiembre y les dijiste que todo estaba mal, se la pasaron una s…	0	63	https://twitter.com/SergioFe12/status/1448665512578191364
Thu Oct 14 15:02:24 +0000 2021	Kattybcn	"RT @laderechadiario: 🇦🇷 | Milei en #DebateCapital: ""Si tengo cosas en común con Trump y con Bolsonaro, ¿Qué problema hay?"" https://t.co/HnX…"	0	855	https://twitter.com/Kattybcn/status/1448665497856196611
Thu Oct 14 15:02:22 +0000 2021	andrealib21	RT @SantoroLeandro: Yo sé que este año y medio fueron tiempos muy duros. Todos lo tenemos claro. Pero también sé que estamos empezando a sa…	0	442	https://twitter.com/andrealib21/status/1448665490608513028
Thu Oct 14 15:02:21 +0000 2021	LaulettaMiguel	"RT @FrenteDeTodos: » EDUCACIÓN

""Desde que el macrismo gobierna la Ciudad, el presupuesto educativo se reduce sistemáticamente"".

@SantoroL…"	0	170	https://twitter.com/LaulettaMiguel/status/1448665488041541635
Thu Oct 14 15:02:17 +0000 2021	SergioFe12	RT @mariuvidal: El Gobierno Nacional improvisó cuando te dijeron que para febrero 10 millones de argentinos iban a estar vacunados. #Debate…	0	60	https://twitter.com/SergioFe12/status/1448665469192327173
Thu Oct 14 15:02:16 +0000 2021	anitamiraglia	"RT @Kouk1424: #DebateCapital 
Dice Myriam Bregman que la pandemia se la debemos al capitalismo.
Avísenle que salió de China ... dónde reina…"	0	518	https://twitter.com/anitamiraglia/status/1448665466944188416
Thu Oct 14 15:02:16 +0000 2021	ValentinTubaro	"RT @Mati_C04: #DebateCapital 

Javier Milei: h

Myriam Bregman en cada momento: https://t.co/e0IbMnRb1n"	0	281	https://twitter.com/ValentinTubaro/status/1448665466285830144
Thu Oct 14 15:02:15 +0000 2021	soniafnqn	"RT @ToroCabron_: -Santoro: ""Ah pero Macri""
-Milei: ""La casta""
-Bregman: ""Ñam fri frufi fali fru""
-Vidal: ""Datos y hechos""

#DebateCapital"	0	385	https://twitter.com/soniafnqn/status/1448665461378502656
