date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Sat Oct 16 01:05:36 +0000 2021	Nacho_Maure	RT @Chequeado: [NUEVO] Milei, sobre el cambio climático: “Si uno mirara lo que son los estudios de 10 mil años atrás hasta hoy, 5 mil años…	0	287	https://twitter.com/Nacho_Maure/status/1449179688081903616	False	357	1550
Sat Oct 16 01:05:16 +0000 2021	arg_goku	RT @laderechadiario: 🇦🇷 | Lo mejor de Javier Milei en #DebateCapital, quien logró llevar las ideas liberales, de derecha y anticomunistas a…	0	330	https://twitter.com/arg_goku/status/1449179604397199367	False	214	834
Sat Oct 16 01:04:20 +0000 2021	nataliafidel	RT @Chequeado: Vidal: “La Ciudad de Buenos Aires es la que tiene el nivel de cobertura, en el nivel inicial, más alto de la Argentina”. Es…	0	4	https://twitter.com/nataliafidel/status/1449179366701690888	False	3864	1350
Sat Oct 16 01:03:26 +0000 2021	nattycs501	"RT @DanteForesi: Vidal reclama por la coparticipación que ella dice que le robaron a CABA, y que cuando era ""orgullosamente bonaerense"" dec…"	0	282	https://twitter.com/nattycs501/status/1449179142105169926	False	882	210
Sat Oct 16 01:02:47 +0000 2021	nattycs501	RT @DanteForesi: Cuando termine el #DebateCapital, María Eugenia Vidal volverá a su casa, una mansión que pagó más de medio millón de dólar…	0	298	https://twitter.com/nattycs501/status/1449178980280455171	False	882	210
Sat Oct 16 01:02:16 +0000 2021	maritaigle54	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1793	https://twitter.com/maritaigle54/status/1449178848734572546	False	556	361
Sat Oct 16 01:01:21 +0000 2021	perni1980	RT @Chequeado: [NUEVO] Milei, sobre el cambio climático: “Si uno mirara lo que son los estudios de 10 mil años atrás hasta hoy, 5 mil años…	0	287	https://twitter.com/perni1980/status/1449178617016045570	False	1067	413
Sat Oct 16 01:01:06 +0000 2021	LowdenGustavo	"RT @todonoticias: #DebateCapital: ¿Quién es tu candidato favorito?

https://t.co/csD7wQDGfS"	0	1140	https://twitter.com/LowdenGustavo/status/1449178555900903424	False	840	5004
Sat Oct 16 01:00:15 +0000 2021	betogimenez	"RT @Letra_P: #DebateCapital | Opinión
Las ventajas de no haber gobernado ni tener chances de hacerlo alguna vez.
&gt;&gt;&gt; https://t.co/tZww3jbYl…"	0	1	https://twitter.com/betogimenez/status/1449178341957849092	False	96	87
Sat Oct 16 01:00:12 +0000 2021	MIGUEL070853	"RT @Chequeado: Santoro, sobre el presupuesto educativo en la Ciudad: “Hace 10 años el presupuesto cae un punto por año”. Es #VERDADERO.

👉M…"	0	20	https://twitter.com/MIGUEL070853/status/1449178328418725893	False	55	216
Sat Oct 16 01:00:00 +0000 2021	Letra_P	"#DebateCapital | Opinión
Las ventajas de no haber gobernado ni tener chances de hacerlo alguna vez.
&gt;&gt;&gt; https://t.co/tZww3jbYlJ
✍️ Juan Rezzano https://t.co/RYHQieWVSI"	3	1	https://twitter.com/Letra_P/status/1449178276581183494	False	54248	1494
Sat Oct 16 00:59:31 +0000 2021	jlaffargue	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1793	https://twitter.com/jlaffargue/status/1449178156380798977	False	3778	731
