screen_name	date	fav	retweet	text	url	hashtags
SantiOlsze	Tue May 18 21:00:40 +0000 2021	3	0	@_Agatalaz 3 de cada 10 en el interior, 1 de cada 4 en AMBA.	https://twitter.com/SantiOlsze/status/1394759865999007751	[]
SantiOlsze	Tue May 18 20:41:36 +0000 2021	301	190	5813 camas de terapia intensiva ocupadas por pacientes con coronavirus en Argentina. Quinto día consecutivo de récord. https://t.co/fHkNHnXMYc	https://twitter.com/SantiOlsze/status/1394755069049032706	[]
SantiOlsze	Mon May 17 20:39:37 +0000 2021	165	81	8 de los 10 días con más fallecimientos por coronavirus en Argentina son de 2021. En menores de 60 años, los 10 días con más fallecimientos fueron este año. En mayores de 60 años, solo 3 de los 10 días con más fallecimientos son de 2021. https://t.co/anyXujXgrb	https://twitter.com/SantiOlsze/status/1394392181914456071	[]
SantiOlsze	Mon May 17 20:23:28 +0000 2021	1	0	@Giovanna_HR No. Con esos 5600 llega a aprox 14.000, O sea, hoy cargó el 40% de los casos totales que tiene.	https://twitter.com/SantiOlsze/status/1394388117206020098	[]
SantiOlsze	Mon May 17 20:11:10 +0000 2021	28	10	5630 casos corresponden a Formosa, que cargó casos atrasados (40% los casos acumulados totales de esa provincia hasta hoy).	https://twitter.com/SantiOlsze/status/1394385023265030147	[]
SantiOlsze	Mon May 17 20:09:29 +0000 2021	128	84	28.680 casos, 505 nuevos fallecidos y nuevo récord en la ocupación de camas de terapia intensiva de coronavirus. Arrancó con toda la semana. https://t.co/dXWlipKGZy	https://twitter.com/SantiOlsze/status/1394384598663110660	[]
SantiOlsze	Mon May 17 13:27:11 +0000 2021	182	66	Argentina superó las 10 millones de dosis aplicadas de vacunas contra el coronavirus, cubriendo así al 17.7% de su población con al menos una dosis y al 4.3% con dos dosis. https://t.co/UYu8PpYPtt	https://twitter.com/SantiOlsze/status/1394283356385329153	[]
SantiOlsze	Mon May 17 12:17:16 +0000 2021	248	100	70.522 fallecidos en Argentina con diagnóstico confirmado de coronavirus. Los cuatro días con más fallecimientos desde que empezó la pandemia fueron en 2021. En este gráfico, cada punto es uno de esas 70.522 personas según su edad y fecha de fallecimiento. https://t.co/cwGcS7sTuK	https://twitter.com/SantiOlsze/status/1394265760764153863	[]
SantiOlsze	Mon May 17 11:01:00 +0000 2021	56	32	Otra vez récord: 5538 camas de terapia intensiva ocupadas por pacientes con coronavirus en Argentina. https://t.co/Hq0GCUew1r	https://twitter.com/SantiOlsze/status/1394246567922700300	[]
SantiOlsze	Sun May 16 22:17:46 +0000 2021	2	0	@Epi_Net Un desastre. De hacerlo, había que hacerlo en horario de toque de queda y listo, no?	https://twitter.com/SantiOlsze/status/1394054493277507588	[]
SantiOlsze	Sun May 16 22:16:45 +0000 2021	20	0	@Ing_Torta Exactamente. Pasó en muchos muchos lugares.	https://twitter.com/SantiOlsze/status/1394054240201580544	[]
SantiOlsze	Sun May 16 22:11:11 +0000 2021	59	7	De fondo, en gris, las curvas de más de 150 países desde que empezó la pandemia.	https://twitter.com/SantiOlsze/status/1394052840121831429	[]
SantiOlsze	Sun May 16 22:07:51 +0000 2021	5	0	@mschuliaquer Excelente aporte. No tenía la información. Hace 3 días que no tenemos base de datos así que no podemos desglosar a nivel sub-provincial la info.	https://twitter.com/SantiOlsze/status/1394052000887758852	[]
SantiOlsze	Sun May 16 22:04:36 +0000 2021	616	302	Argentina es actualmente el segundo país del mundo que más muertes por millón de habitantes reporta a diario. El primero es Uruguay. Paraguay es el tercero, Colombia el cuarto y Brasil el séptimo. https://t.co/x88RqjHtgg	https://twitter.com/SantiOlsze/status/1394051181387845635	[]
SantiOlsze	Sun May 16 20:35:48 +0000 2021	460	165	Cierra la semana con casi 4% de aumento de casos en CABA y PBA respecto a la semana anterior. En el resto del país, el aumento fue del 22%.	https://twitter.com/SantiOlsze/status/1394028833922240513	[]
SantiOlsze	Sat May 15 14:58:18 +0000 2021	308	180	5457 camas de terapia intensiva ocupadas por pacientes con coronavirus. Nuevo récord. https://t.co/uNiwaRfdsu	https://twitter.com/SantiOlsze/status/1393581512046649351	[]
SantiOlsze	Fri May 14 15:47:34 +0000 2021	2	1	"@silvinacas1 @mareubu Por edad, los ""riesgo"" de ayer en todo el país. Claramente hay errores de carga de mayores cargados como riesgo. https://t.co/TT9wzOg8vL"	https://twitter.com/SantiOlsze/status/1393231522270941189	[]
SantiOlsze	Fri May 14 15:37:41 +0000 2021	1	0	@otrovega Lo bueno es que en mayores de 60 ya sabés que aprox el 80% de la población se vacunó, o sea, como máximo el 20% no quiso (puede no haber podido u otras causas). Me suena que en personal de salud fue más alto el rechazo. 1 &lt; n &lt; n_significativo.	https://twitter.com/SantiOlsze/status/1393229034184749062	[]
SantiOlsze	Fri May 14 15:34:44 +0000 2021	3	0	@mareubu Ayer. https://t.co/D4y3Ram245	https://twitter.com/SantiOlsze/status/1393228292552019973	[]
SantiOlsze	Fri May 14 15:31:31 +0000 2021	3	0	@otrovega No leí nada al respecto, pero intuiría que es inversamente proporcional al riesgo individual de morirse.	https://twitter.com/SantiOlsze/status/1393227484141871112	[]
SantiOlsze	Fri May 14 15:22:40 +0000 2021	15	1	@jorgeluisaliaga Sí, muchas. Entiendo que hasta que se libere ese millón de Sputnik que recién llegó tenemos, mayoritariamente, segundas dosis.	https://twitter.com/SantiOlsze/status/1393225254923816960	[]
SantiOlsze	Fri May 14 14:56:36 +0000 2021	569	158	Ayer, por primera vez desde que empezó la campaña de vacunación en Argentina, la mayor parte de las dosis se aplicaron en personas de 18-59 con factores de riesgo. En mayores de 60 años la cobertura alcanza ya al 77% de la población. https://t.co/xc8ZsfcYLR	https://twitter.com/SantiOlsze/status/1393218694554259456	[]
SantiOlsze	Thu May 13 18:19:50 +0000 2021	7	0	@cabe1816 Un detalle solo para molestar a los pfizeristas	https://twitter.com/SantiOlsze/status/1392907455324200963	[]
SantiOlsze	Thu May 13 15:12:44 +0000 2021	1	0	@Laurabonofiglio Docentes, FFSS, funcionarios...	https://twitter.com/SantiOlsze/status/1392860369857691650	[]
SantiOlsze	Thu May 13 13:55:30 +0000 2021	11	0	"@dzavallo Python! Código inspirrobado de
https://t.co/KdjtMpkkyB"	https://twitter.com/SantiOlsze/status/1392840932936982535	[]
SantiOlsze	Thu May 13 12:55:00 +0000 2021	243	65	¿Para qué se usó cada vacuna? En mayores de 60 y personal de salud, Sputnik V seguido de AstraZeneca/Covishield. En personal estratégico y grupo de riesgo destaca el uso de Sinopharm. https://t.co/kYTMK1xXTa	https://twitter.com/SantiOlsze/status/1392825705935867908	[]
SantiOlsze	Thu May 13 02:04:09 +0000 2021	1	0	@DoctorOmarSued 😔	https://twitter.com/SantiOlsze/status/1392661915864870912	[]
SantiOlsze	Thu May 13 00:49:46 +0000 2021	60	45	Argentina escala posiciones en el Top10 y ya es el 6to país del mundo que más muertes por coronavirus reporta por día. Está detrás de Uruguay (1°), Paraguay (2°) y por delante de Brasil (8°) y Colombia (9°). https://t.co/O2KG3xXY4V	https://twitter.com/SantiOlsze/status/1392643196300234754	[]
SantiOlsze	Wed May 12 22:25:55 +0000 2021	60	25	El valor máximo de ocupación de camas de terapia intensiva lo alcanzamos el 3 de mayo con 5426. Después de eso bajó 4 días seguidos y luego subió por 5 días. Hoy son 5394 camas de terapia intensiva ocupadas por pacientes con coronavirus, el segundo valor más alto. https://t.co/QoRfVr5Zc0	https://twitter.com/SantiOlsze/status/1392606995207888907	[]
SantiOlsze	Wed May 12 22:13:08 +0000 2021	0	0	@CavallaroLuciaV ❤️	https://twitter.com/SantiOlsze/status/1392603776830353415	[]
SantiOlsze	Wed May 12 21:17:15 +0000 2021	329	193	El día que más gente falleció con coronavirus es, por ahora, el 26 de abril de 2021. Sin embargo, mientras que 8 de los 10 días con más muertes en mayores de 60 años fueron en 2020, 9 de los 10 días con más muertes en menores de 60 años fueron en 2021. https://t.co/GpglkxQwCO	https://twitter.com/SantiOlsze/status/1392589715082186754	[]
SantiOlsze	Wed May 12 14:56:27 +0000 2021	128	30	Con una excelente cobertura con primera dosis en los mayores de 60 años (77%), la vacunación empieza de a poco a moverse hacia la siguiente etapa: 18-59 años con factores de riesgo. Ayer, casi el 40% de las vacunas aplicadas fueron para este grupo. https://t.co/yFOJVGChtQ	https://twitter.com/SantiOlsze/status/1392493884006150150	[]
SantiOlsze	Wed May 12 12:29:29 +0000 2021	136	42	Entre las 490 muertes reportados ayer, 16 tienen fecha real de fallecimiento el 26 de abril de 2021. Ese día ahora totaliza 421, superando al máximo anterior del 9 de octubre de 2020 para convertirse en el día con más fallecimientos por coronavirus en Argentina al momento.	https://twitter.com/SantiOlsze/status/1392456895382888448	[]
SantiOlsze	Tue May 11 18:34:27 +0000 2021	335	76	Al momento se aplicaron 1.660.151 dosis de AstraZeneca entre las producidas en India y las recibidas por el acuerdo COVAX. Las dosis a recibir de AstraZeneca en mayo alcanzarían para cubrir las segundas dosis de todos ellos y vacunar con primera dosis a 3 millones más.	https://twitter.com/SantiOlsze/status/1392186356705734656	[]
SantiOlsze	Tue May 11 14:18:13 +0000 2021	377	150	El 17% de la población de Argentina está vacunado con al menos una dosis de vacunas contra el coronavirus. Del total de dosis que se aplicaron al momento, el 56% son Sputnik V (🇷🇺), el 26% de Sinopharm (🇨🇳) y el 18% de AstraZeneca (🇬🇧). https://t.co/AKzbVN7e6d	https://twitter.com/SantiOlsze/status/1392121872674852868	[]
SantiOlsze	Mon May 10 20:08:02 +0000 2021	1	0	@DraAlegra @_kamikazeeeee Un abrazo inmenso.	https://twitter.com/SantiOlsze/status/1391847519567634435	[]
SantiOlsze	Mon May 10 19:24:38 +0000 2021	3	0	@emizeppelin @f_reiven Es correcto.	https://twitter.com/SantiOlsze/status/1391836595930664961	[]
SantiOlsze	Mon May 10 13:33:10 +0000 2021	3	0	@dxsviado @JECaraballo @leavovchuk Me meto para aportar info. A la izquierda pueden ver perfecto el ranking de dosis distribuidas de acuerdo a la población total de cada provincia. https://t.co/RAcYRApcru	https://twitter.com/SantiOlsze/status/1391748148775821314	[]
SantiOlsze	Mon May 10 13:19:59 +0000 2021	35	2	@UnaOruga Python (seaborn y matplotlib)	https://twitter.com/SantiOlsze/status/1391744831815356423	[]
SantiOlsze	Mon May 10 11:57:49 +0000 2021	9366	1923	67.325 personas fallecidas por coronavirus en Argentina desde el comienzo de la pandemia. Decidí mostrar a todas y cada una de ellas, según su edad y su fecha de fallecimiento. Cada fallecido es un punto en este gráfico. https://t.co/Q0XElEc2Fw	https://twitter.com/SantiOlsze/status/1391724151606546432	[]
SantiOlsze	Sun May 09 23:06:31 +0000 2021	108	43	10 días de estabilidad e incluso una pequeña baja en la cantidad de camas de terapia intensiva ocupadas por pacientes con coronavirus en Argentina, todavía en valores más altos que en el pico del año pasado. https://t.co/V31CVD8gMm	https://twitter.com/SantiOlsze/status/1391530046347784199	[]
