Provincia	Region
Buenos Aires	Pampeana
Catamarca	Noroeste
Chaco	Noreste
Chubut	Patagonia
Ciudad de Buenos Aires	Pampeana
Córdoba	Pampeana
Corrientes	Noreste
Entre Ríos	Pampeana
Formosa	Noreste
Jujuy	Noroeste
La Pampa	Pampeana
La Rioja	Noroeste
Mendoza	Cuyo
Misiones	Noreste
Neuquén	Patagonia
Río Negro	Patagonia
Salta	Noroeste
San Juan	Cuyo
San Luis	Cuyo
Santa Cruz	Patagonia
Santa Fe	Pampeana
Santiago del Estero	Noroeste
Tucumán	Noroeste
Tierra del Fuego, Antártida e Islas del Atlántico Sur	Patagonia
