Name	Speed	Spin	Tackiness	Overall	Price	Ratings
Butterfly Addoy	5.1	5.3	1.2	6.4	5	16
Butterfly Aibiss	7.3	8.9	5	8.4	40	3
Butterfly Bryce	9	7.5	2	7.8	57	31
Butterfly Bryce FX	8.6	8.2	1.5	8.4	55	24
Butterfly Bryce Hard	9	8	2	8.5	35	2
Butterfly Bryce High Speed	9.4	8.4	2.2	9.3	63	22
Butterfly Bryce High Tune	9.1	8.8	1	9.1	35	4
Butterfly Bryce Speed	9.4	8.3	1.4	9	79	43
Butterfly Bryce Speed FX	9.4	8.4	2.5	9.1	65	44
Butterfly Catapult	9	8.7	2.3	8.4	52	9
Butterfly Cermet	8.6	8.2	0.9	8.9	43	10
Butterfly Dignics 05	8.9	9.4	1.9	9.1	87	40
Butterfly Dignics 09C	8.5	9.6	5.6	9.2	87	20
Butterfly Dignics 64	9.5	9.2	2.3	9.5	87	7
Butterfly Dignics 80	9.4	9.3	2	9.5	87	11
Butterfly Ekrips	6.9	5.8	2	5.5	37	4
Butterfly Ekrips Soft	7.9	7.3	1	7.7	35	4
Butterfly Flextra	7	7.5	2.6	7.8	20	54
Butterfly Pan Asia	6.5	6.8	2.1	6.8	10	17
Butterfly Roundell	8.8	8.6	2.5	8.7	48	27
Butterfly Roundell Hard	8.8	9	1.5	8.9	45	4
Butterfly Roundell Soft	8.7	8.8	2.5	9	45	15
Butterfly Rozena	8.8	8.5	1.9	8.9	38	56
Butterfly Sapphira	8.2	8.5	2.7	8.4	32	11
Butterfly SOFT D13	8.2	8.3	4.6	8.3	8	5
Butterfly Solcion	7.9	8.2	1.6	8.8	53	23
Butterfly Spin Art	8.5	9.3	6	9.2	68	49
Butterfly Sriver	8	8	2.5	8.5	40	95
Butterfly Sriver EL	7.8	7.8	2.7	8.5	40	64
Butterfly Sriver FX	7.9	8.1	2.8	8.5	40	69
Butterfly Sriver G2	8.4	8.2	2.5	8.7	56	19
Butterfly Sriver G2 FX	7.9	8.2	1.9	8.4	56	27
Butterfly Sriver G2 High Tune	8.5	8	5	8.5	67	2
Butterfly Sriver G3	8.4	8.2	3	8.4	57	39
Butterfly Sriver G3 FX	8.6	8.4	2.7	8.9	59	50
Butterfly Sriver High Tune	8.3	8.3	4	8.7	55	7
Butterfly Sriver L	8.2	8.2	2.7	8.7	28	24
Butterfly Sriver S	7.3	6.5	2.3	8.3	28	4
Butterfly Super Anti (Anti-spin)	4.4	2.6	0	8.4	36	18
Butterfly Super Anti Special (Anti-spin)	6	5.3	1.7	9.3	34	4
Butterfly Tackifire C	6.8	8.8	7.3	7.5	52	15
Butterfly Tackifire C Soft	7.4	9.1	7.1	9	52	14
Butterfly Tackifire Drive	7.7	8.8	5.6	8.4	41	13
Butterfly Tackifire Special	7.4	8	3.5	8	29	3
Butterfly Tackifire Special-Soft	7.9	9.1	3.4	8.9	51	20
Butterfly Tackiness Chop	5.5	9.1	5.5	8.6	35	30
Butterfly Tackiness Chop 2	6.8	8.9	5.2	8.9	45	20
Butterfly Tackiness Drive	6.9	8.5	5.6	8.5	35	40
Butterfly Tempest	8	7.8	2	8.3	30	2
Butterfly Tenergy 05	9.3	9.4	2.4	9.3	79	334
Butterfly Tenergy 05 FX	9.1	9.3	3.1	9.3	75	137
Butterfly Tenergy 05 Hard	9.3	9.3	2.3	9.1	90	20
Butterfly Tenergy 25	9.2	9.1	2.4	9.3	78	71
Butterfly Tenergy 25 FX	9.1	9.2	3	9.4	78	34
Butterfly Tenergy 64	9.3	8.8	2.6	9.3	70	164
Butterfly Tenergy 64 FX	9	8.9	1.7	9	78	41
Butterfly Tenergy 80	9.3	9.4	2.2	9.4	68	111
Butterfly Tenergy 80-FX	9	9	2.1	8.9	80	21
Butterfly Yuki	6.6	6.8	7.1	7.1	30	14
