Blade Name	Speed	Control	Overall	Price	Ratings
Butterfly Adolescen	8.4	8.8	8.1	62	2
Butterfly Aeolus S	9.2	8.0	9.2	90	6
Butterfly All  Supa	8.0	9.0	9.0	45	1
Butterfly All Hinoki 5	8.0	8.5	8.2	50	5
Butterfly All Hinoki 7	8.8	8.2	8.9	60	5
Butterfly Allround+				30	0
Butterfly AMC 3000	5.0	6.0	6.0	28.99	1
Butterfly Amultart ZL Carbon	9.5	8.7	9.5	230	54
Butterfly Andrzej Grubba (Classic Design)	7.1	8.9	8.8	53	23
Butterfly Andrzej Grubba 15	7.3	8.0	9.0	53	2
Butterfly Andrzej Grubba Carbon	8.1	9.1	9.1	60	12
Butterfly Apolonia ZLC	9.3	8.6	8.7	269	6
Butterfly Arylate				0	0
Butterfly Balsa Carbo X3	8.0	8.4	7.8	65	5
Butterfly Balsa Carbo X5	8.3	8.5	8.8	85	57
Butterfly Balsa OFF	8.4	8.6	8.6	69	5
Butterfly Bastian Steger	7.4	8.9	8.0	52	4
Butterfly Bazelart	7.9	8.9	8.0	99	3
Butterfly Biside	8.0	9.0	9.5	100	1
Butterfly Blade				100	0
Butterfly Bolgard				90	0
Butterfly Boll Allround	7.6	8.9	8.5	60	4
Butterfly Boll Allround XXS				64	0
Butterfly Boll Control				55	0
Butterfly Boll Offensive	8.4	7.8	8.2	65	4
Butterfly Boll TriCarbon	9.7	7.1	9.1	115	38
Butterfly Brisker Light				55	0
Butterfly Chiang Peng Lung	9.5	8.5	9.5	750	1
Butterfly Chinese AL	9.0	8.3	10.0	95	3
Butterfly Chinese EX	9.1	8.6	9.1	64	1
Butterfly Chinese Real	7.7	8.1	7.7	50	3
Butterfly Chinese Tamca ULC	9.0	8.4	9.2	135	8
Butterfly Chuan Chih Yuan	7.3	7.8	8.0	200	4
Butterfly Chuan Chih Yuan Gold Medalist Limited Edition	9.0	9.0	9.0	250	2
Butterfly Clarty				0	0
Butterfly Clearfield	8.6	7.2	7.7	48	2
Butterfly Cofferlait Arylate Carbon	8.0	8.7	8.7	300	8
Butterfly Coleus				0	1
Butterfly Cresail	8.6	9.1	8.5	700	2
Butterfly Cryptate	8.2	8.5		65	2
Butterfly Cutlass	6.3	8.3	8.5	50	3
Butterfly Cypress Alpha				99.99	0
Butterfly Cypress AlphaR	8.0	9.0	8.0	110	1
Butterfly Cypress GMax	10.0	9.0	10.0	359	1
Butterfly Cypress JP IS				226	0
Butterfly Cypress JP IIS				189	0
Butterfly Cypress JP IIIS				135	0
Butterfly Cypress Max	9.5	8.8	8.9	850	4
Butterfly Cypress TMax S				149	0
Butterfly Cypress VMax	9.0	7.0	9.0	236	1
Butterfly CypressR	8.0	9.0	9.0	350	1
Butterfly CypressS	9.3	8.5	9.3	350	7
Butterfly Defence				0	0
Butterfly Defence 2 (II)	7.4	9.2	9.2	50	15
Butterfly Defence 4 (IV)	7.0	10.0	10.0	77	1
Butterfly Defence Alpha	4.2	8.8	8.1	55	12
Butterfly Defence Pro	7.5	7.8	8.3	100	4
Butterfly Defence X	6.5	7.7	7.6	96	3
Butterfly Defense 3 (III)				70	0
Butterfly Dillfer				100	0
Butterfly Dimitrij Ovtcharov Innerforce ALC	9.1	9.0	9.3	0	1
Butterfly Diode	6.0	9.0	7.5	100	2
Butterfly Diode V	7.5	9.1	9.0	106	5
Butterfly Effort 70th Anniversary	8.3	8.0	7.6	125	6
Butterfly Ekstaule				150	0
Butterfly Ester	8.8	9.0	9.5	42	2
Butterfly Extra Wing	6.3	9.0	8.5	78	3
Butterfly Feth	6.6	8.4	8.0	39.99	4
Butterfly Finewood OFF	8.0	10.0		79	1
Butterfly Finewood Off	7.0	7.0	7.0	44	1
Butterfly Firehand	9.3	6.9	7.8	65	11
Butterfly Franziska Innerforce ZLC				283	0
Butterfly FREITAS ALC	8.8	9.4	9.5	199	33
Butterfly Fukuhara Ai Pro ZLF	8.8	9.5	9.4	239	17
Butterfly Fukuhara Ai Special	9.2	8.3	9.0	120	3
Butterfly Garaydia ALC	8.8	8.7	8.9	145	12
Butterfly Garaydia RevolverR				150	0
Butterfly Garaydia T5000	9.5	8.7	9.4	162	12
Butterfly Garaydia ZLC	9.4	8.7	9.3	140	27
Butterfly Gergely 21	9.4	8.3	9.2	250	12
Butterfly Gergely Alpha	9.4	8.3	8.9	121	18
Butterfly Gergely Carbon	9.1	8.0	9.0	250	31
Butterfly Gionis Carbon All+	8.2	9.2	8.3	60	7
Butterfly Gionis Carbon Def	6.7	9.3	7.2	65	4
Butterfly Gionis Carbon Off	8.4	7.9	7.9	74	9
Butterfly Gray X				0	0
Butterfly Grubba Carbon	7.2	7.1	7.0	79.99	3
Butterfly Grubba Pro	6.4	9.0	8.3	50	10
Butterfly Grubba Variant	7.1	8.9	9.0	45	4
Butterfly Guo Yue	5.5	6.8	6.0	80	4
Butterfly H.P. Courpierce R	10.0	10.0	10.0	60	1
Butterfly H.P.Neutrino				60	0
Butterfly H.S. Cryzer	8.6	8.3	9.4	100	5
Butterfly Hadraw JPVR				108	0
Butterfly Hadraw JPVS				108	0
Butterfly Hadraw RevolverR	7.0	6.0	6.0	135	1
Butterfly Hadraw Shield	6.6	8.9	9.0	135	2
Butterfly Hadraw SK	7.4	8.3	8.2	108	7
Butterfly Hadraw SR	7.9	7.2	8.8	110	2
Butterfly Hadraw VK	8.4	8.8	9.3	100	5
Butterfly Hadraw VR	9.2	8.2	8.4	121	4
Butterfly Harimoto Innerforce Super ZLC	9.1	9.5	9.5	399	11
Butterfly Harimoto Innerforce ZLC	8.6	10.0	10.0	270	1
Butterfly Harimoto Tomokazu Innerforce ALC	8.3	8.6	8.6	215	18
Butterfly Haruvatart				125	0
Butterfly Haruvatart JP Round	9.0	6.5	9.8	185	3
Butterfly Haruvatart ZL Carbon	9.8	7.9	9.5	600	3
Butterfly HERMOSO	9.0	9.0	9.0	120	1
Butterfly Hinoki Pen Winner II				80	0
Butterfly Hinoki Shake 5	5.8	9.4	9.4	85	4
Butterfly Hinoki Shake Speedy	9.3	8.5		100	1
Butterfly Hinoki Shake Swift	8.0	9.0		80	1
Butterfly Holycrown	9.0	8.5	9.5	135	5
Butterfly HP Winner	8.0	7.8		60	1
Butterfly Innerforce				0	0
Butterfly Innerforce AL	8.4	9.2	9.5	150	40
Butterfly Innerforce ALC	8.7	9.1	9.3	235	33
Butterfly Innerforce Layer AL	8.3	8.8	9.3	115	3
Butterfly Innerforce Layer ALC	9.1	9.4	9.5	170	40
Butterfly Innerforce Layer ALC.S	8.5	9.3	8.9	150	12
Butterfly Innerforce Layer ZLC	8.4	8.8	8.7	260	32
Butterfly Innerforce Layer ZLF	7.7	9.1	9.0	189	15
Butterfly Innerforce T5000	9.3	8.2	8.8	150	28
Butterfly Innerforce ULC	9.0	8.9	9.2	120	10
Butterfly Innerforce ZLC	9.2	8.9	9.4	251	65
Butterfly Innerforce ZLF	9.0	9.2	9.4	220	26
Butterfly Innershield Layer ZLF	6.3	9.3	9.2	189	3
Butterfly Innershield ZLF	6.6	9.3	8.6	184	8
Butterfly Iolite	9.1	8.4	9.1	240	9
Butterfly Iolite Neo	9.5	8.5	9.4	155	15
Butterfly Ishlion	9.0	8.2	8.8	150	16
Butterfly Jonyer Hinoki	7.4	8.6	8.3	35	22
Butterfly Jonyer Hinoki Special	7.6	8.4	8.7	134	7
Butterfly Joo Se Hyuk	7.3	8.6	9.0	175	33
Butterfly Jun Mizutani	9.5	8.9	9.4	249	43
Butterfly Jun Mizutani Super ZLC	9.5	9.0	9.5	374	32
Butterfly Jun Mizutani ZLC	9.3	8.9	9.4	249	20
Butterfly Kazan	7.0	8.0	7.5	0	2
Butterfly Kenny Pro	6.8	8.2	7.1	100	1
Butterfly Kenta Matsudaira ALC	8.7	9.5	9.4	200	13
Butterfly Keyshot	8.3	8.8	9.3	189	11
Butterfly Keyshot Alpha	8.7	8.6	9.5	0	4
Butterfly Keyshot Light	8.6	8.9	9.0	95	19
Butterfly Kim Taek Soo	9.6	7.3	8.0	999.99	4
Butterfly Kiso Hinoki V	8.0	8.9	9.1	50	8
Butterfly Kiso Hinoki VII	8.7	8.2	9.0	85	3
Butterfly Kitoh Pro				0	0
Butterfly Klampar				0	0
Butterfly Klampar Tamca Carbon 5000	8.8	9.4	9.6	500	1
Butterfly Kong Linghui	7.9	8.4	8.6	150	7
Butterfly Kong Linghui Euro	8.0	8.0	8.0	200	16
Butterfly Kong Linghui Special	8.5	8.7	9.1	100	12
Butterfly Korbel MagicHand	8.9	7.8	8.3	80	3
Butterfly Korbel SK7	8.4	8.5	9.1	79.99	28
Butterfly Korbel Speed	7.7	8.2	7.8	90.99	10
Butterfly Kreanga Aeros Off+	9.0	8.2	9.2	121	10
Butterfly Kreanga Carbon	9.3	7.5	9.3	600	25
Butterfly Kreanga PowerKev Carbon	9.7	9.6	9.5	110	2
Butterfly Kreanga Powerspin	8.4	7.8	8.2	65	8
Butterfly Kumpuru	8.4	9.0	9.3	100	4
Butterfly Lapuhta	10.0	9.5	9.5	68.95	2
Butterfly Lars Hielscher				80	0
Butterfly Lejumu	6.5	7.5	7.0	56	2
Butterfly Lin Gaoyuan ALC	9.4	9.5	9.6	186	20
Butterfly Lin YunJu Super ZLC	9.1	9.4	9.8	419	4
Butterfly Liu Shiwen	9.1	9.4	9.5	130	46
Butterfly Liu Shiwen ZLF	9.4	9.5	9.7	400	3
Butterfly Madash	8.0	7.2	7.9	50	2
Butterfly Marcos Freitas ALC	9.1	9.2	9.3	203	12
Butterfly Matsushita Pro	6.0	8.7	8.5	50	10
Butterfly Matsushita Pro Alpha	7.5	9.5	9.0	140	2
Butterfly Matsushita Pro Special	7.1	9.3	8.6	400	4
Butterfly Matsushita ProST Blade				0	0
Butterfly Maze Advance	5.8	9.8	9.7	47	4
Butterfly Maze Magic	9.3	8.6	8.8	45	2
Butterfly Maze Passion	8.0	8.9	8.8	65	13
Butterfly Maze Performance	8.5	8.4	8.9	77	16
Butterfly Maze TTec ALL+	7.6	8.6	8.8	60	4
Butterfly Maze TTec OFF	8.0	8.3	8.7	85	8
Butterfly Mazunov	8.8	7.7	8.6	80	16
Butterfly Michael Maze	8.7	8.8	9.2	100	92
Butterfly Millerga	8.2	8.6	8.5	125	4
Butterfly Moonbeam	9.2	6.8	8.9	100	17
Butterfly Nitchugo Super	8.9	8.3	9.0	50	8
Butterfly Oh Sang Eun	7.9	8.8	8.9	65	21
Butterfly Omar Assar	8.0	9.5		130	1
Butterfly Ovtcharov Innerforce ALC				215	0
Butterfly Paramount 7.5				235	0
Butterfly Perdir	9.0	9.5	9.5	0	1
Butterfly Petr Korbel	8.3	8.6	8.9	73	85
Butterfly Phalanx II	7.9	8.9	9.0	56	3
