Name	Speed	Spin	Tackiness	Overall	Price	Ratings
Donic Baracuda	8.7	9.5	2.3	9.3	40	198
Donic Acuda S2	8.8	9.1	2.6	9.2	37	108
Donic Bluefire M1	9.3	9.3	2.7	9.3	54	81
Donic Acuda S3	8.4	9.1	1.8	9	52	73
Donic Acuda S1	9.2	9.2	1.9	9.2	52	56
Donic Acuda Blue P2	9	9.4	2.6	9.4	54	54
Donic Bluefire M2	8.7	9.1	2.1	9	39	52
Donic Coppa X1 Turbo Platin	9.5	9.2	2	9.3	49	52
Donic Acuda S1 Turbo	9.4	9.1	3.2	9.3	52	49
Donic Bluefire JP 03	8.7	9.1	2	9.3	54	48
Donic Bluefire M3	8.4	9.1	1.9	8.9	54	45
Donic Coppa JO Platin	9.3	8.8	2	8.7	49	35
Donic Desto F3 Big Slam	7.7	8.4	0.7	8.9	45	34
Donic Sonex JP Gold	9.1	8.7	2.4	8.9	35	34
Donic Baracuda Big Slam	8.2	9.2	2.1	8.9	46	31
Donic Coppa JO Silver	8.6	8.8	2.5	8.8	45	28
Donic Bluefire JP 01	8.8	9	2.7	9	54	27
Donic Bluefire M1 Turbo	9.4	9.5	2.6	9.4	54	27
Donic Bluefire JP 01 Turbo	9.3	9.4	3.8	9.2	54	25
Donic Coppa JO Gold	9.2	8.7	3	8.9	38	25
Donic Coppa X2 Platin Soft	8.7	9.1	2.2	9.2	54	25
Donic Acuda Blue P1	9.3	9.2	2.8	9.4	44	23
Donic Bluestorm Z1	9.3	9.4	1.9	9.2	60	23
Donic Coppa X1 Gold	9.1	8.8	1.8	9.2	49	21
Donic Desto F1	9.4	8.5	1.9	8.9	25	21
Donic Bluefire JP 02	8.9	8.8	1.8	9.1	54	20
Donic Coppa X3 Silver	8.4	9.2	1.9	9.1	55	19
Donic Bluestorm Z2	9.2	9	2	8.9	48	18
Donic Liga	6.2	6.4	4	7.9	27	18
Donic Vario Big Slam	7.6	8.4	0	8.8	42	18
Donic Desto F3	7.3	8.4	1.5	8.5	39	17
Donic Akkadi Taichi	6.9	8.9	5.2	8.4	20	16
Donic Coppa JO Platin Soft	8.8	8.1	1.8	8.2	40	16
Donic Acuda Blue P1 Turbo	9.4	9.2	2.5	8.8	54	15
Donic Coppa	8.4	8.8	4	8.9	37	15
Donic Coppa Speed	9.3	9	2.5	9.1	54	15
Donic Bluestorm Z3	8.7	8.4	2.8	8.1	40	14
Donic Bluestorm Z1 Turbo	9.5	9.5	1.6	9.6	52	13
Donic Quattro A'Conda Soft	6.7	8.7	2.8	9.3	31	13
Donic Quattro Formula	7.9	8.2	1.8	8.3	46	13
Donic BlueGrip V1	8.9	9.4	8.1	9.1	40	12
Donic Slice 40	6	8.8	1.7	8.8	44	12
Donic J.O. Waldner	8.2	8.8	3.1	9.4	37	11
Donic Coppa Tagora	8.3	8.8	2.3	8.7	37	10
Donic Desto F2	8.7	8.7	2	9.1	44	10
Donic Traction MS Pro	9.3	9.3	2.4	9.3	60	10
Donic Vario	7.7	7.3	2.2	8.5	32	10
Donic Acuda Blue P3	8.2	8.7	2.5	8.8	54	9
Donic Coppa Tenero	7.6	8.8	4	8.5	44	9
Donic Twingo	6.6	7.5	3.4	8.1	10	9
Donic Traction MS Soft	8.9	9	5	8.9	60	8
Donic Vario Soft	7.6	7.7	1.1	7.8	31	7
Donic Bluefire Big Slam	8	8.2	2.4	7.9	50	6
Donic BlueGrip R1	8.5	9.5	5.7	8.8	40	6
Donic Coppa JO	8.6	8.9	3	9	34	6
Donic Akkadi Taichi (Red)	7.4	9.1	5	9.2	38	5
Donic Desto F1 HS	9.4	8	2.5	8.2	45	5
Donic Desto F1 Plus	9.1	9.2	1	9.3	58	5
Donic Gallardo Sound	7.8	9.3	5	8.4	44	4
Donic Gallardo Speed	8	8.3	2.8	8.3	44	4
Donic Quattro	7.1	7.1	1	7.3	38	4
Donic Quattro A'Conda Medium	6.4	6.5	0.7	7.6	36	4
Donic Sonex JP	8.5	8.8	3	9.1	37	4
Donic Anti Classic	3.7	2.3	1	9.5	43	3
Donic BlueGrip C2	9.3	9.7	6	9.5	55	3
Donic Sonex JP Soft	8.2	8.1	0.7	7.8	37	3
Donic Supersonic S40	6.8	7	5	9	27	3
Donic Vario Cooper S	8.6	8.8	5.7	8.7	37	3
Donic Anti A40 (Anti-spin)	6	3.3	0	7	40	2
Donic Blues	6.5	6.5	0	9	28	2
Donic Desto F4	8.8	8.8	0	7.9	37	2
Donic Gallardo Power Sound	10	10	10	10	44	2
Donic Slice 40 CD	6.4	7.4	4	5	43	2
Donic Alligator Anti	4	3	0	9.8	40	1
Donic Anti-40	4.1	3	0	10	40	1
Donic Bluefire	10	9	10	10	50	1
Donic Bluestorm Big Slam	8.5	9.2	2	9	49	1
Donic Energy 3000	9.1	9.5	5	9.1	15	1
Donic Liga Plus	8	7	2	9	35	1
Donic Solo	7	7.5	2	7.9	12	1
Donic Traction II	8.5	9.3	5	9.2	54	1
Donic Vario Mach 1	9	8	2	7	36	1
Donic Vario Sound	9	8	2	8	59	1
Donic Vario ST (Tuned)	7.9	8.8	0	7.6	38	1
