Posición	Jugador	Club	Puntos	Categoria
1	Temperley, Diego                   	Alvear Club                   	2960	0
2	Bayona, Rodrigo                    	GTM                           	2802	0
3	Constantino, Daniel                	River Plate                   	2758	0
4	Yamamoto, Leandro                  	Alvear Club                   	2665	0
5	Mariño, Ignacio Javier             	CEDIMA                        	2586	0
6	Acciaresi, Mariano                 	UCA Marash Argentina          	2584	0
7	Pighini, Matías                    	Lourdes                       	2561	0
8	Blasco, Lisandro                   	Top Minc                      	2552	0
9	Mendez, Mariano                    	Fulgor Villa Crespo           	2508	0
10	Melluso, Salvador                  	Gimnasty                      	2480	0
11	Delgadillo, Rodrigo                	San Lorenzo                   	2457	0
12	Sotto, Tomás                       	Lourdes                       	2454	0
13	Callaba, Nicolás                   	Gimnasty                      	2441	0
14	Spinelli, Franco                   	Ferrocarril Oeste             	2424	0
15	Weiss, Alan                        	Top Minc                      	2416	0
16	Blasco, Francisco Thomas           	Lourdes                       	2380	0
17	Constantino, Gabriel               	CEDIMA                        	2372	0
18	Lopez Marquez, Ezequiel            	Fenix                         	2342	0
19	Basso, Valentin                    	Gimnasty                      	2336	0
20	Casal, Octavio                     	Estacion Ping Pong            	2328	0
21	Hurevich, Tobias                   	Ferrocarril Oeste             	2292	0
22	Heis, Nicolás                      	GTM                           	2290	0
23	Bronstein, Leandro                 	River Plate                   	2251	0
24	Tresca, Gastón                     	Fenix                         	2246	0
25	Fernandez, Leoncio                 	Ferrocarril Oeste             	2181	1
26	Jaimovich, Ignacio                 	Top Minc                      	2140	1
27	Ciancio, Nicolás                   	Top Minc                      	2123	1
28	De Simone, Mariano                 	Nichia Gakuin                 	2103	1
29	Morrazo, Agustín                   	Alvear Club                   	2094	1
30	Marini, Joaquín                    	Ferrocarril Oeste             	2085	1
31	Tchintchinian, Mariano             	UCA Marash Argentina          	2079	1
32	Neira, Darío                       	Spin TDM                      	2075	1
33	Bordenave, Galo                    	Nikkei TDM                    	2074	1
34	Gonzalez Dos Santos, Patricio      	Lourdes                       	2055	1
35	Beloqui, Ramón                     	River Plate                   	2046	1
36	Pierini, Ariel                     	Alvear Club                   	2021	1
37	Romero, Santiago                   	Ateneo de Versailles          	2001	1
38	Merkin, Alan Gabriel               	River Plate                   	2000	1
39	Lovera Arteaga, Mainor             	Top Minc                      	1991	1
40	Candela, Juan                      	Fenix                         	1969	1
41	Nakagama, Alex R.                  	Fenix                         	1965	1
42	Olmos, Agustin                     	Tigre TDM                     	1952	1
43	Krowicki, Nahuel                   	Def. Santos Lugares           	1942	1
44	Jang, Agustín                      	Ferrocarril Oeste             	1938	1
