date	amount
09/02/24	19811.50
08/01/24	18646
07/01/24	17529.50
06/03/24	16476
05/02/24	14104.34
04/03/24	-800.15
03/01/24	24168
02/01/24	19176
01/02/24	15690
12/01/23	5343
11/03/23	12340
10/04/23	10040
09/04/23	7386
08/04/23	0
07/04/23	8514
06/04/23	7599
05/04/23	4809
04/04/23	2910
03/03/23	5809
01/05/23	2730
12/05/22	3610
11/03/22	2615
10/05/22	2615
09/05/22	1667
08/03/22	1667
05/04/22	3820
03/04/22	3346
02/03/22	3346
01/03/22	3346
12/03/21	2395
11/03/21	2740
10/05/21	2395
09/05/21	2395
08/05/21	2395
07/05/21	2255
06/03/21	2255
05/04/21	1934
04/05/21	1934
03/03/21	1934
02/03/21	1934
01/05/21	1934
12/03/20	1612
11/04/20	2417
10/05/20	1814
09/03/20	2216
08/05/20	2015
07/03/20	2015
06/04/20	2015
05/06/20	2015
04/03/20	2015
03/04/20	2015
02/05/20	1832
01/06/20	1832
12/04/19	1832
06/02/19	1690
12/05/18	1260
11/04/18	1260
09/30/18	1260
07/29/18	1200
07/01/18	1200
06/03/18	1200
04/29/18	1200
04/04/18	1036
03/05/18	932
02/04/18	932
