screen_name	date	fav	retweet	text	url	hashtags
mmbarrionuevo	Wed May 19 14:50:23 +0000 2021	12	4	"El gobierno Nacional está enviando a Corrientes 26.604 Nuevas Dosis, de esta forma se totalizarán 311.000 dosis recibidas por la Provincia
En este caso serán 12.600 SputnikV (1ra dosis)
14.004 Sinopharm de la 2da

Por favor está atento a los turnos que se otorgarán en estos días"	https://twitter.com/mmbarrionuevo/status/1395029068823814155	[]
mmbarrionuevo	Wed May 19 14:31:43 +0000 2021	10	5	"11 MUNICIPIOS de CORRIENTES con RESTRICCIONES
Implican el 66% de la Población Provincial, 730.000 personas. https://t.co/qw5D7RH0fz"	https://twitter.com/mmbarrionuevo/status/1395024374303019011	[]
mmbarrionuevo	Wed May 19 14:07:41 +0000 2021	7	3	"No quedó claro si hay medidas para toda la provincia o solo para los municipios nombrados.
En todo caso tendremos que ver el decreto
Estos son los municipios que fueron referenciados en la conferencia https://t.co/BBRiGZfnNr"	https://twitter.com/mmbarrionuevo/status/1395018324975755272	[]
mmbarrionuevo	Wed May 19 13:52:50 +0000 2021	17	6	"En general buena conferencia de prensa y las medidas

Lo más flojo son los ""datos"" de la vacunación, todo en abstracto.
El único dato falso: El Gobernador dijo que reciben 40.000 dosis semanales

En marzo fueron 80.000
En abril 97.000
En lo que va de Mayo 70.000

#Transparencia https://t.co/NzZ9eimtdc"	https://twitter.com/mmbarrionuevo/status/1395014587007778819	[{'text': 'Transparencia', 'indices': [264, 278]}]
mmbarrionuevo	Wed May 19 13:49:19 +0000 2021	4	3	"Nuevo récord de casos en Corrientes 734, la media en su valor máximo 460.
248 de la Capital https://t.co/K4G1pMjWq9 https://t.co/aSWnO2ckKk"	https://twitter.com/mmbarrionuevo/status/1395013702391304198	[]
mmbarrionuevo	Wed May 19 13:34:24 +0000 2021	13	12	"#Corrientes Hasta el 31 de mayo
Suspensión de clases presenciales en la Capital y en varias ciudades del interior 👇
Restricción a la circulación nocturna de 0 a 7 hs
Asueto administrativo del sector público
Cierre de comercio 21 hs
Cierre de Casinos y Gimnasios https://t.co/ilE3RAe0Z5"	https://twitter.com/mmbarrionuevo/status/1395009949374242819	[{'text': 'Corrientes', 'indices': [0, 11]}]
mmbarrionuevo	Wed May 19 11:58:24 +0000 2021	0	0	@candeglezz Que bajo en 14 días vs 14 días anteriores, pero en general ya casi todos están subiendo en los últimos días.	https://twitter.com/mmbarrionuevo/status/1394985791089217537	[]
mmbarrionuevo	Wed May 19 11:43:03 +0000 2021	51	27	"Muertes por fecha de Fallecimiento
Hace un mes nos decían ""no son comparables ambas olas""
Valores máximos de fallecidos
PBA 276 (24-04)
CABA 65 (04-05)
Total País 430 (02-05) 

Ojalá dejemos de discutir lo indiscutible
Pongamos la Salud y la Vida por encima de todo
RECIEN ES MAYO https://t.co/DShw9r3bLA"	https://twitter.com/mmbarrionuevo/status/1394981924846940161	[]
mmbarrionuevo	Wed May 19 11:29:38 +0000 2021	9	3	Los casos de Hoy en el Interior Bonaerense https://t.co/tlMEDBKsaQ	https://twitter.com/mmbarrionuevo/status/1394978548717342723	[]
mmbarrionuevo	Wed May 19 11:29:36 +0000 2021	10	4	Los Casos de Hoy en el AMBA https://t.co/UP3QKp3POR	https://twitter.com/mmbarrionuevo/status/1394978543512211459	[]
mmbarrionuevo	Wed May 19 11:29:35 +0000 2021	6	2	"En 7 días, prácticamente todos creciendo
AMBA +8%
Resto sin AMBA +39% https://t.co/Sc95AmiMZR"	https://twitter.com/mmbarrionuevo/status/1394978538957254659	[]
mmbarrionuevo	Wed May 19 11:29:34 +0000 2021	21	9	El rebote de casos en CABA es bastante más marcado que en GBA, pero ya todo el AMBA creciendo https://t.co/AFVKynJzSt	https://twitter.com/mmbarrionuevo/status/1394978534884585474	[]
mmbarrionuevo	Wed May 19 11:29:33 +0000 2021	48	34	"El Resto del País (Sin AMBA) en una segunda escalada que debemos frenar.
El AMBA rebotando en Valores demasiado altos. https://t.co/oMzNeUoM42"	https://twitter.com/mmbarrionuevo/status/1394978529712955394	[]
