Rank	Country	Avg Price of 1GB (USD)	Continent (group)	Continent	Population	GDP Per Capita	% of Per Capita spent on 100GB data	GDP	GDP_Per_Capita/1GB ratio
1	India	0.09	Asia	Asia	1366417754	1911	0.004709981	2611000000000	21231.51
2	Israel	0.11	Asia	Asia	9053300	43641	0.000252054	395098666122	396739.98
3	Kyrgyzstan	0.21	Asia	Asia	6456900	1309	0.016037966	8454619608	6235.2
4	Italy	0.43	Europe	Europe	60297396	33190	0.001295588	2001244392042	77185.04
5	Ukraine	0.46	Europe	Europe	44385155	3465	0.013276778	153781069118	7531.95
6	Kazakhstan	0.46	Asia	Asia	18513930	9731	0.00472709	180161741180	21154.66
7	Somalia	0.5	Africa	Africa	15442905	306	0.163564893	4720727278	611.38
8	Sri Lanka	0.51	Asia	Asia	21803000	3853	0.013236152	84008783756	7555.07
9	Russian Federation	0.52	Europe	Europe	144373535	11774	0.004416452	1699876578871	22642.61
10	Vietnam	0.57	Asia	Asia	96462106	2715	0.020992341	261921244843	4763.64
11	China	0.61	Asia	Asia	1397715000	10262	0.005944446	14342902842916	16822.42
12	Sudan	0.63	Africa	Africa	42813238	442	0.142693546	18902284476	700.8
13	Indonesia	0.64	Asia	Asia	270203917	4142	0.015451388	1119190780753	6471.91
14	Algeria	0.65	Africa	Africa	43053054	3948	0.016462601	169988236398	6074.37
15	Australia	0.68	Oceania	Oceania	25364307	54907	0.001238455	1392680589329	80745.74
16	Pakistan	0.69	Asia	Asia	216565318	1406	0.049090036	304400000000	2037.07
17	Poland	0.7	Europe	Europe	37970874	15595	0.004488553	592164400688	22278.9
18	Bangladesh	0.7	Asia	Asia	163046161	1856	0.037720805	302571254131	2651.06
19	Chile	0.71	Americas	South America	18952038	14896	0.004766235	282318159745	20980.92
20	Turkey	0.72	Asia	Asia	83429615	9042	0.007962406	754411708203	12559.02
21	Tanzania	0.73	Africa	Africa	58005463	1089	0.0670243	63177068175	1492
22	Dominican Republic	0.74	Americas	North America	10738958	8282	0.008934914	88941298258	11192.05
23	Mongolia	0.74	Asia	Asia	3225167	4295	0.017228394	13852850259	5804.37
24	Iran	0.75	Asia	Asia	82913906	5371	0.013963419	445345282123	7161.57
25	Kuwait	0.77	Asia	Asia	4207083	32032	0.002403848	134761198946	41599.97
26	Myanmar	0.78	Asia	Asia	54045420	1408	0.05540508	76085852617	1804.89
27	Denmark	0.8	Europe	Europe	5818553	59822	0.001337299	348078018464	74777.62
28	France	0.81	Europe	Europe	67059887	40494	0.0020003	2715518274227	49992.5
29	Nepal	0.86	Asia	Asia	28608710	1071	0.080294981	30641380604	1245.41
30	Belarus	0.89	Europe	Europe	9466856	6663	0.013356755	63080457023	7486.85
31	Georgia	0.93	Asia	Asia	3720382	4769	0.019500181	17743195770	5128.16
32	Ghana	0.94	Africa	Africa	30417856	2202	0.042686225	66983634224	2342.68
33	Monaco	0.98	Europe	Europe	38964	184397	0.000531462	7184844193	188160.19
34	Western Sahara	0.99	Africa	Africa		0		9089000000	0
35	Morocco	0.99	Africa	Africa	36471769	3255	0.030412269	118725279596	3288.15
36	Brazil	1.01	Americas	South America	212559417	8655	0.011669198	1839758040766	8569.57
37	Romania	1.03	Europe	Europe	19356544	12920	0.007972426	250077444017	12543.23
38	Jordan	1.03	Asia	Asia	10101694	4330	0.02378572	43743661972	4204.2
39	Kenya	1.05	Africa	Africa	52573973	1817	0.057801975	95503088538	1730.04
40	Armenia	1.05	Asia	Asia	2957731	4623	0.022713834	13672802158	4402.6
41	Austria	1.08	Europe	Europe	8877067	50277	0.002148088	446314739528	46553.03
42	Egypt	1.09	Africa	Africa	100388073	3020	0.036092341	303175127598	2770.67
43	Moldova	1.12	Europe	Europe	2657637	4499	0.024897073	11955435457	4016.54
44	Malaysia	1.12	Asia	Asia	31949777	11415	0.009811791	364701517788	10191.82
45	Thailand	1.23	Asia	Asia	69625582	7808	0.015752685	543649976166	6348.12
46	Estonia	1.27	Europe	Europe	1326590	23660	0.005367738	31386949981	18629.82
47	Uzbekistan	1.34	Asia	Asia	33580650	1725	0.077688314	57921286440	1287.19
48	Ireland	1.36	Europe	Europe	4941444	78661	0.001728939	388698711348	57838.94
49	Zambia	1.36	Africa	Africa	17861030	1291	0.105316684	23064722446	949.52
50	Tunisia	1.37	Africa	Africa	11694719	3318	0.041295646	38797709924	2421.56
51	Nigeria	1.39	Africa	Africa	200963599	2230	0.062335788	448120428859	1604.21
52	United Kingdom	1.39	Europe	Europe	66834405	42300	0.003286031	2827113184696	30431.85
53	Philippines	1.42	Asia	Asia	108116615	3485	0.04074507	376795508680	2454.28
54	El Salvador	1.45	Americas	North America	6453553	4187	0.034628933	27022640000	2887.76
55	Argentina	1.45	Americas	South America	44938712	10006	0.014491089	449663446954	6900.79
56	Rwanda	1.48	Africa	Africa	12626950	802	0.184617798	10122472590	541.66
57	Slovenia	1.48	Europe	Europe	2087946	25739	0.005749974	53742159517	17391.38
58	Cambodia	1.5	Asia	Asia	16486542	1643	0.091289664	27089389787	1095.41
59	Afghanistan	1.55	Asia	Asia	38041754	502	0.308693924	19101353833	323.95
60	Uruguay	1.58	Americas	South America	3461734	16190	0.009759034	56045912952	10246.92
61	Serbia	1.6	Europe	Europe	6944975	7402	0.021614744	51409167351	4626.47
62	Uganda	1.62	Africa	Africa	44269594	777	0.208556326	34387229486	479.49
63	Nicaragua	1.71	Americas	North America	6545502	1913	0.089392893	12520915291	1118.66
64	Macedonia	1.75	Europe	Europe	2107158	4851	0.036078715	10220781069	2771.72
65	Spain	1.81	Europe	Europe	47076781	29614	0.006112042	1394116310769	16361.14
66	Lithuania	1.85	Europe	Europe	2786844	19455	0.009508902	54219315600	10516.46
67	Azerbaijan	1.86	Asia	Asia	10023318	3912	0.04755113	39207000000	2103
68	Congo	1.94	Africa	Africa	5380508	2011	0.096465945	10820591131	1036.64
69	Sweden	2.07	Europe	Europe	10285453	51610	0.004010845	530832908738	24932.4
70	Guinea	2.08	Africa	Africa	12771246	1064	0.195464613	13590281809	511.6
71	Timor-Leste	2.08	Asia	Asia	3500000	478	0.435005957	1673540300	229.88
72	Saudi Arabia	2.12	Asia	Asia	34268528	23140	0.009161705	792966838162	10915
73	Burundi	2.12	Africa	Africa	11530580	261	0.811491104	3012334882	123.23
74	Peru	2.13	Americas	South America	32510453	6978	0.030525836	226848050820	3275.91
75	Lesotho	2.13	Africa	Africa	2125268	1158	0.184011688	2460072444	543.44
76	Finland	2.14	Europe	Europe	5520314	48686	0.004395527	268761201365	22750.4
77	Guatemala	2.17	Americas	North America	16604026	4620	0.046969828	76710385880	2129.03
78	Bulgaria	2.22	Europe	Europe	6975761	9738	0.022798222	67927179737	4386.31
79	Bahrain	2.27	Asia	Asia	1501635	25688	0.008836795	38574069149	11316.32
80	Paraguay	2.3	Americas	South America	7044636	5415	0.042476183	38145288940	2354.26
81	Ethiopia	2.44	Africa	Africa	112078730	858	0.284547657	96107662398	351.43
82	Singapore	2.47	Asia	Asia	5703569	65233	0.003786411	372062527489	26410.24
83	Burkina Faso	2.47	Africa	Africa	20321378	775	0.318775617	15745810235	313.7
84	Croatia	2.48	Europe	Europe	4067500	14853	0.016696694	60415553039	5989.21
85	Mauritius	2.48	Africa	Africa	1265711	11204	0.022135859	14180444557	4517.56
86	Hong Kong	2.55	Asia	Asia	7507400	48756	0.005230143	366029556273	19119.94
87	Haiti	2.74	Americas	North America	11263077	755	0.363112095	8498981821	275.4
88	Costa Rica	2.74	Americas	North America	5047561	12238	0.022388593	61773944174	4466.56
89	Cameroon	2.75	Africa	Africa	25876380	1498	0.183589235	38760467033	544.69
90	Albania	2.83	Europe	Europe	2854191	5353	0.052868959	15278077447	1891.47
91	Netherlands	2.98	Europe	Europe	17332850	52448	0.005681836	909070395161	17599.94
92	Bosnia and Herzegovina	3.04	Europe	Europe	3301000	6073	0.050055446	20047848435	1997.78
93	Honduras	3.12	Americas	North America	9746117	2575	0.12116918	25095395475	825.29
94	Côte d'Ivoire	3.2	Africa	Africa	25716544	2286	0.139972535	58792205642	714.43
95	Ecuador	3.24	Americas	South America	17373662	6184	0.052394766	107435665000	1908.59
96	Liberia	3.25	Africa	Africa	4937374	622	0.522597978	3070518100	191.35
97	Palestine	3.26	Asia	Asia		0		4015865744	0
98	Niger	3.3	Africa	Africa	23310715	555	0.595022401	12928145120	168.06
99	Senegal	3.3	Africa	Africa	16296364	1447	0.228084695	23578084052	438.43
100	Mozambique	3.33	Africa	Africa	30366036	492	0.677098011	14934159926	147.69
101	Colombia	3.46	Americas	South America	50339443	6432	0.053790291	323802808108	1859.07
102	Sierra Leone	3.69	Africa	Africa	7813215	504	0.731471553	3941474311	136.71
103	United Arab Emirates	3.78	Asia	Asia	9770529	43103	0.008769625	421142267938	11403
104	Latvia	3.79	Europe	Europe	1912789	17836	0.021248724	34117202555	4706.16
105	Lebanon	3.82	Asia	Asia	6855713	7784	0.049073028	53367042272	2037.78
106	Slovakia	3.84	Europe	Europe	5454073	19329	0.019866422	105422304976	5033.62
107	Jamaica	3.88	Americas	North America	2948279	5582	0.069505852	16458071068	1438.73
108	Japan	3.91	Asia	Asia	126264931	40247	0.009715039	5081769542380	10293.32
109	Germany	4.06	Europe	Europe	83132799	46259	0.008776694	3845630030824	11393.81
110	Qatar	4.12	Asia	Asia	2832067	64782	0.006359817	183466208791	15723.72
111	Guinea-Bissau	4.12	Africa	Africa	1920922	698	0.590440254	1340389411	169.37
112	Mali	4.12	Africa	Africa	19658031	891	0.462538177	17510141171	216.2
113	Lao PDR	4.16	Asia	Asia	7169455	2535	0.164109149	18173839128	609.35
114	Iraq	4.2	Asia	Asia	39309783	5955	0.070527676	234094042939	1417.88
115	South Africa	4.3	Africa	Africa	58558270	6001	0.071649939	351431649241	1395.67
116	Togo	4.5	Africa	Africa	8082366	676	0.666131577	5459979417	150.12
117	Oman	4.58	Asia	Asia	4974986	15474	0.029597973	76983094928	3378.61
118	Mauritania	4.63	Africa	Africa	4525696	1678	0.275936997	7593752450	362.4
119	Tajikistan	4.65	Asia	Asia	9321018	871	0.533999342	8116626794	187.27
120	Libya	4.73	Africa	Africa	6777452	7684	0.061558479	52076250948	1624.47
121	Mexico	4.77	Americas	North America	126014024	9985	0.047770265	1258286717125	2093.35
122	Namibia	4.78	Africa	Africa	2494530	4957	0.096420383	12366527719	1037.13
123	Belgium	4.88	Europe	Europe	11484055	46117	0.01058185	529606710418	9450.14
124	Gabon	4.89	Africa	Africa	2172579	7667	0.063776784	16657960228	1567.97
125	Portugal	4.97	Europe	Europe	10269417	23145	0.021473283	237686075635	4656.95
126	Bolivia	5.09	Americas	South America	11513100	3552	0.143296776	40895322865	697.85
