Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
RT @Chatran: Construyeron su modelo de negocios diversificado entendiendo las necesidades e intereses de los lectores y ofreciendo contenid…,2022-08-25 15:07:34,es,,0.0,3.0,,Food For Afrika,"African farmers and agripreneurs, rise up. https://t.co/xYNEoKKtvy is a continent-wide agriculture publication celebrating sustainable agriculture.",882.0,10.0,27.0,245.0,0.0,False,,,@FoodForAfrika
Comienza la charla de @ezraeeman en #MediaParty. Hilo sobre puntos destacados https://t.co/nIYACbDBX4,2022-08-25 15:07:11,es,,0.0,0.0,,Hernando,Consultor en Comunicación #Fsoc MKT Digital+ Innovación + Transmedia. Dirigí #Netlabels https://t.co/sCI7R1l302. Profe @ubasociales. 👉 @racingclub,12199.0,14088.0,4002.0,1476.0,63.0,False,,,@hernandogs
RT @xhgMattia: Love this slide from @clockwerks at #MediaParty. “Let’s keep the internet weird!” 👏👏👏 https://t.co/sZBC6YABcW,2022-08-25 15:06:52,en,,0.0,5.0,,Natalia Louzau,"👩🏻‍💻 periodismo, datos e innovación en @lndata @LANACION",5963.0,2501.0,1163.0,569.0,6.0,False,,,@natilouz
RT @xhgMattia: From the #MediaParty backstage: @ezraeeman sharing how Mediahuis uses @dmitryshishkin user needs model (👋) to identify an ar…,2022-08-25 15:06:50,en,,0.0,1.0,,HacksHackersBA,La conferencia que revoluciona el futuro de los medios #HHBA #MediaParty · Rebooting journalism · Journalism and technology / Periodismo y tecnología,8933.0,3516.0,3357.0,10016.0,312.0,False,,,@HacksHackersBA
From the #MediaParty backstage: @ezraeeman sharing how Mediahuis uses @dmitryshishkin user needs model (👋) to identify an article’s DNA. https://t.co/hX0qsXp6uv,2022-08-25 15:06:04,en,,0.0,1.0,,Mattia Peretti,"Managing #JournalismAI at @PolisLSE. Systems thinker. Interested in design, leadership and social change. Lucky guy.",10854.0,16514.0,3353.0,3507.0,166.0,False,,,@xhgMattia
RT @xhgMattia: Love this slide from @clockwerks at #MediaParty. “Let’s keep the internet weird!” 👏👏👏 https://t.co/sZBC6YABcW,2022-08-25 15:05:54,en,,0.0,5.0,,Florencia Rodríguez Altube,"Periodismo de datos e innovación en @LNData @LANACION 🗞📊|  Docente en @UCAPeriodismo y @EscuelaETER 📚
✉ fraltube@lanacion.com.ar",2790.0,5020.0,1399.0,1604.0,10.0,True,,,@FlorRAltube
"RT @HacksHackersBA: Pasamos a “Comida para Mzansi, Historia Sudafricana” por @ivorprice, editor y cofundador de @foodformzansi, @healthform…",2022-08-25 15:04:56,es,,0.0,4.0,,Andre van Niekerk,"South African 🇿🇦 |
Living in Korea🇰🇷 |
CEO of LIP ZA (Pty) Ltd - @HUMMINGBIRD_ZA distributor |
IG: @andre_vanniek",754.0,242.0,380.0,238.0,1.0,False,,,@AndreVanNiek
RT @diemelamed: Sensacional la experiencia de @ivorprice contando su publicación sobre el mundo del campo en Sudáfrica #MediaParty En Argen…,2022-08-25 15:04:53,es,,0.0,2.0,,Andre van Niekerk,"South African 🇿🇦 |
Living in Korea🇰🇷 |
CEO of LIP ZA (Pty) Ltd - @HUMMINGBIRD_ZA distributor |
IG: @andre_vanniek",754.0,242.0,380.0,238.0,1.0,False,,,@AndreVanNiek
@HacksHackersBA @ivorprice @foodformzansi @healthformzansi @FoodForAfrika 📽️ #MediaParty https://t.co/frUK3a2HUF,2022-08-25 15:04:52,und,,3.0,0.0,@HacksHackersBA,Edison BUrbano 🇨🇴🇦🇷🌎🌍🌏,"*Soy Comunicador, Community Manager, Digital Activist, Redes Sociales, DDHH, Radialista apasionado.  
Humanista, mamerto, izquierda*  [OPINIONES PERSONALES]",127835.0,187316.0,3827.0,4420.0,59.0,False,,,@edisonburbanoOK
FORROS GRATISSS EN LA #MediaParty!!! https://t.co/YHvELYYCnr,2022-08-25 15:04:51,es,,2.0,0.0,,Imanol Subiela Salvo,Brindo servicios para la clase media.,10643.0,17443.0,879.0,2843.0,10.0,True,,,@malasenial
"RT @HacksHackersBA: Vamos llegando al final con “5 lentes para la transformación en los medios”, por @ezraeeman, Change Director en @Mediah…",2022-08-25 15:04:37,es,,0.0,2.0,,Edison BUrbano 🇨🇴🇦🇷🌎🌍🌏,"*Soy Comunicador, Community Manager, Digital Activist, Redes Sociales, DDHH, Radialista apasionado.  
Humanista, mamerto, izquierda*  [OPINIONES PERSONALES]",127835.0,187316.0,3827.0,4420.0,59.0,False,,,@edisonburbanoOK
"RT @HacksHackersBA: Pasamos a “Comida para Mzansi, Historia Sudafricana” por @ivorprice, editor y cofundador de @foodformzansi, @healthform…",2022-08-25 15:04:17,es,,0.0,4.0,,Food For Afrika,"African farmers and agripreneurs, rise up. https://t.co/xYNEoKKtvy is a continent-wide agriculture publication celebrating sustainable agriculture.",882.0,10.0,27.0,245.0,0.0,False,,,@FoodForAfrika
"RT @HacksHackersBA: Vamos llegando al final con “5 lentes para la transformación en los medios”, por @ezraeeman, Change Director en @Mediah…",2022-08-25 15:03:44,es,,0.0,2.0,,Román Evangelista,"Basketball isn't a game; It's an art form.

Comunicación Social - UBA",4092.0,18011.0,179.0,182.0,0.0,False,,,@RomanEvangelist
"Vamos llegando al final con “5 lentes para la transformación en los medios”, por @ezraeeman, Change Director en @MediahuisIRL.

#Keynote🚀 #MediaParty🎉 https://t.co/0iGG1KbSEW",2022-08-25 15:03:11,es,,6.0,2.0,,HacksHackersBA,La conferencia que revoluciona el futuro de los medios #HHBA #MediaParty · Rebooting journalism · Journalism and technology / Periodismo y tecnología,8933.0,3516.0,3357.0,10016.0,312.0,False,,,@HacksHackersBA
RT @diemelamed: Sensacional la experiencia de @ivorprice contando su publicación sobre el mundo del campo en Sudáfrica #MediaParty En Argen…,2022-08-25 15:01:09,es,,0.0,2.0,,Ivor Price,"🗣 Editor-in-chief & co-founder: @foodformzansi, @healthformzansi and @foodforafrika 📚 Author 🍼 Single dad 🌎 Traveler 🪴 ivor@foodformzansi.co.za",29893.0,17270.0,3078.0,11361.0,103.0,True,,,@ivorprice
"#MediaParty X  @ezraeeman plantea cinco lentes para la transformación de los medios. La primera es moverse a través de distintas escalas, zoom in zoom out https://t.co/awAbQJZZoZ",2022-08-25 15:00:59,es,,0.0,0.0,@marbasch,marcela basch,Soy de la generación que creció sin internet y un día se la regalaron. Hago el newsletter experimental #diezpalabras. May you live interesting times #casipoesía,85928.0,92050.0,2266.0,4657.0,82.0,False,,,@marbasch
"RT @HacksHackersBA: Pasamos a “Comida para Mzansi, Historia Sudafricana” por @ivorprice, editor y cofundador de @foodformzansi, @healthform…",2022-08-25 15:00:47,es,,0.0,4.0,,Ivor Price,"🗣 Editor-in-chief & co-founder: @foodformzansi, @healthformzansi and @foodforafrika 📚 Author 🍼 Single dad 🌎 Traveler 🪴 ivor@foodformzansi.co.za",29893.0,17270.0,3078.0,11361.0,103.0,True,,,@ivorprice
Ya en la #MediaParty https://t.co/0irKOIS0tD,2022-08-25 15:00:45,es,,3.0,0.0,,copelmayer.eth,Salvo el mundo en @broliuy. Consultor digital/compol en @hablaciudadana. Comercial de @lemonde_uy. Escribo de crypto/econ en @ladiaria. Coordino @futuriadao.,9937.0,6709.0,2786.0,1704.0,9.0,False,,,@PCopelmayer
"RT @edisonburbanoOK: Ahora en  #Keynote🚀 #MediaParty🎉 
La charla de  @ivorprice, editor y cofundador de @foodformzansi, @healthformzansi y…",2022-08-25 15:00:09,es,,0.0,2.0,,Bilal Randeree,"Media Development Investment Fund (@mdiforg) and South Africa Media Innovation Program (@SAMIP_MDIF), @CreativeCommons Board",38066.0,12098.0,2141.0,13007.0,553.0,True,,,@bilalr
RT @carlanudel: Genial @Zielina sobre como la cultura de producto ayuda a generar cambios en medios (y lo difícil que es cuando choca con l…,2022-08-25 15:00:06,es,,0.0,3.0,,Genosha,"We provide creativity to open minded clients in a friendly environment, inspiring them to feel creative and strategic.",431.0,320.0,167.0,558.0,1.0,False,,,@genoshans
RT @pilhofer: Blown away by @ivorprice and his team’s work. He’s talking at #MediaParty about their multichannel strategy for Food for Mzan…,2022-08-25 14:59:58,en,,0.0,3.0,,Ivor Price,"🗣 Editor-in-chief & co-founder: @foodformzansi, @healthformzansi and @foodforafrika 📚 Author 🍼 Single dad 🌎 Traveler 🪴 ivor@foodformzansi.co.za",29893.0,17270.0,3078.0,11361.0,103.0,True,,,@ivorprice
RT @pilhofer: Blown away by @ivorprice and his team’s work. He’s talking at #MediaParty about their multichannel strategy for Food for Mzan…,2022-08-25 14:59:31,en,,0.0,3.0,,Bilal Randeree,"Media Development Investment Fund (@mdiforg) and South Africa Media Innovation Program (@SAMIP_MDIF), @CreativeCommons Board",38066.0,12098.0,2141.0,13007.0,553.0,True,,,@bilalr
"RT @edisonburbanoOK: Ahora en  #Keynote🚀 #MediaParty🎉 
La charla de  @ivorprice, editor y cofundador de @foodformzansi, @healthformzansi y…",2022-08-25 14:59:15,es,,0.0,2.0,,Ivor Price,"🗣 Editor-in-chief & co-founder: @foodformzansi, @healthformzansi and @foodforafrika 📚 Author 🍼 Single dad 🌎 Traveler 🪴 ivor@foodformzansi.co.za",29893.0,17270.0,3078.0,11361.0,103.0,True,,,@ivorprice
RT @Chatran: Construyeron su modelo de negocios diversificado entendiendo las necesidades e intereses de los lectores y ofreciendo contenid…,2022-08-25 14:59:12,es,,0.0,3.0,,Bilal Randeree,"Media Development Investment Fund (@mdiforg) and South Africa Media Innovation Program (@SAMIP_MDIF), @CreativeCommons Board",38066.0,12098.0,2141.0,13007.0,553.0,True,,,@bilalr
RT @Chatran: Construyeron su modelo de negocios diversificado entendiendo las necesidades e intereses de los lectores y ofreciendo contenid…,2022-08-25 14:58:30,es,,0.0,3.0,,Ivor Price,"🗣 Editor-in-chief & co-founder: @foodformzansi, @healthformzansi and @foodforafrika 📚 Author 🍼 Single dad 🌎 Traveler 🪴 ivor@foodformzansi.co.za",29893.0,17270.0,3078.0,11361.0,103.0,True,,,@ivorprice
"El equipo de SembraMedia presente en la #MediaParty aquí en el @CCKonex junto a India Molina, directora de la carrera de periodismo de @EscuelaETER. 🎉

¿Te unís a nosotros esta tarde? Arrancamos nuestro espacio a las 16:30 hs. ✨️ https://t.co/70uiqRXbxh",2022-08-25 14:57:20,es,,6.0,0.0,,SembraMedia,Somos una organización sin fines de lucro que ayuda a medios independientes digitales de Iberoamérica a encontrar y desarrollar modelos de negocio sustentables,15585.0,7166.0,1224.0,12092.0,293.0,False,,,@sembramedia
"Vengan al @CCKonex 🇦🇷 en la #MediaParty #PeriodismoDigital
#Tecnologia #MediaNews  @HacksHackersBA hasta el sábado.
¡No te lo puedes perder!! https://t.co/XjNmqdxImr",2022-08-25 14:57:09,es,,0.0,0.0,,Edison BUrbano 🇨🇴🇦🇷🌎🌍🌏,"*Soy Comunicador, Community Manager, Digital Activist, Redes Sociales, DDHH, Radialista apasionado.  
Humanista, mamerto, izquierda*  [OPINIONES PERSONALES]",127835.0,187316.0,3827.0,4420.0,59.0,False,,,@edisonburbanoOK
"#MediaParty X @ezraeeman de @MediahuisIRL dice que al mirar de cerca se baja la velocidad, o bien que hay que bajar la velocidad para mirar mejor https://t.co/TnRhoFgdY2",2022-08-25 14:57:00,es,,0.0,0.0,@marbasch,marcela basch,Soy de la generación que creció sin internet y un día se la regalaron. Hago el newsletter experimental #diezpalabras. May you live interesting times #casipoesía,85928.0,92050.0,2266.0,4657.0,82.0,False,,,@marbasch
Construyeron su modelo de negocios diversificado entendiendo las necesidades e intereses de los lectores y ofreciendo contenido de valor. La tiene clarísima y lo contó paso a paso @ivorprice 🙌🏽 #MediaParty https://t.co/3pP9TZH1ta,2022-08-25 14:55:22,es,,3.0,3.0,,Cecilia Bazán,🦄 Periodista y capacitadora | PM #FOPEALAB @FOPEA | '22 Spring cohort #EJCP @NewmarkJPlus | Antes en @lavozcomar,18069.0,11026.0,2312.0,3563.0,123.0,True,,,@Chatran
Visita los #mejores #TikTok https://t.co/Z8dbXZwYlU ##MediaParty ##AntesQueNadie #Lothar ##MaratonComPol,2022-08-25 14:54:19,es,,0.0,0.0,,liveTrends_,,26144.0,0.0,0.0,7.0,0.0,False,,,@liveTrends_
Recién llegando a la #Mediaparty en ⁦@CCKonex⁩ en Buenos Aires ⁦⁦@poplabmx⁩ presente. https://t.co/eXlDcmvLVy,2022-08-25 14:54:02,es,,5.0,0.0,,Arnoldo Cuéllar,"Periodista, analista político. 
https://t.co/Eqq0q9uWK9",52212.0,3891.0,5368.0,19472.0,204.0,True,,,@arnoldocuellaro
"Presentamos en la #MediaParty el reproductor avanzado de La Izquierda Diario para poder escuchar las notas. Lo último de la tecnología para las mayorías trabajadoras. Probalo ! 
https://t.co/aiNrKIb84d https://t.co/NlqLgEcEjC",2022-08-25 14:51:25,es,,1.0,0.0,,Leonardo Vazquez,"Informático y militante, parte del equipo de desarrollo de La Izquierda Diario (y cuando puedo escribo algo sobre tecnología).",3252.0,3001.0,704.0,599.0,9.0,False,,,@Leo_Vazquez2000
