size	quote
64	Design cannot rescue failed content.
26	Above all else show the data.
25	What about confusing clutter? Information overload? Doesn't data have to be `boiled down` and `simplified`? These common questions miss the point, for the quantity of detail is an issue completely separate from the difficulty of reading. Clutter and confusion are failures of design, not attributes of information.
24	If the statistics are boring, then you've got the wrong numbers.
17	Clutter and confusion are failures of design, not attributes of information.
15	Graphical excellence is that which gives to the viewer the greatest number of ideas in the shortest time with the least ink in the smallest space.
12	It is not how much empty space there is, but rather how it is used. It is not how much information there is, but rather how effectively it is arranged.
11	PowerPoint is like being trapped in the style of early Egyptian flatland cartoons rather than using the more effective tools of Renaissance visual representation.
9	I have stared long enough at the glowing flat rectangles of computer screens. Let us give more time for doing things in the real world ... plant a plant, walk the dogs, read a real book, go to the opera.
7	Allowing artist-illustrators to control the design and content of statistical graphics is almost like allowing typographers to control the content, style, and editing of prose.
7	To clarify, *add* data.
6	Comparisons must be enforced within the scope of the eyespan, a fundamental point occasionally forgotten in practice.
6	Cosmetic decoration, which frequently distorts the data, will never salvage an underlying lack of content.
5	Only two industries refer to their customers as `users`: computer design and drug dealing.
3	Small, noncomparative, highly labeled data sets usually belong in tables.
