country_iso3,country_name,year,GDP,GINI
ARG,Argentina,1980,76961923741.0701,40.8
ARG,Argentina,1986,105872372613.857,42.8
ARG,Argentina,1987,108810885301.253,45.3
ARG,Argentina,1991,189719984268.485,46.8
ARG,Argentina,1992,228778917308.17,45.5
ARG,Argentina,1993,236741715015.015,44.8
ARG,Argentina,1994,257440000000.0,45.9
ARG,Argentina,1995,258031750000.0,48.9
ARG,Argentina,1996,272149750000.0,49.5
ARG,Argentina,1997,292859000000.0,49.1
ARG,Argentina,1998,298948250000.0,50.7
ARG,Argentina,1999,283523000000.0,49.8
ARG,Argentina,2000,284203750000.0,51.0
ARG,Argentina,2001,268696750000.0,53.3
ARG,Argentina,2002,97724004251.8602,53.8
ARG,Argentina,2003,127586973492.177,51.0
ARG,Argentina,2004,164657930452.787,48.5
ARG,Argentina,2005,198737095012.282,47.8
ARG,Argentina,2006,232557260817.308,46.4
ARG,Argentina,2007,287530508430.568,46.3
ARG,Argentina,2008,361558037110.419,45.0
ARG,Argentina,2009,332976484577.619,43.8
ARG,Argentina,2010,423627422092.49,43.7
ARG,Argentina,2011,530158122010.442,42.7
ARG,Argentina,2012,545982375701.128,41.4
ARG,Argentina,2013,552025140252.246,41.1
ARG,Argentina,2014,526319673731.638,41.8
ARG,Argentina,2016,557532320662.955,42.3
ARG,Argentina,2017,643628393281.364,41.4
ARG,Argentina,2018,524819892360.176,41.7
ARG,Argentina,2019,447754683615.225,43.3
ARG,Argentina,2020,385740508436.965,42.7
ARG,Argentina,2021,486564085480.036,42.4
ARG,Argentina,2022,633993756301.08,40.7
ARG,Argentina,2023,649461687959.174,42.4
ARG,Argentina,2024,638365455340.04,42.4
BOL,Bolivia,1990,4867582597.51312,42.0
BOL,Bolivia,1992,5643868748.68126,49.1
BOL,Bolivia,1997,7925736821.45034,58.1
BOL,Bolivia,1999,8285064434.56826,58.0
BOL,Bolivia,2000,8397855484.76908,61.6
BOL,Bolivia,2001,8141516928.39489,57.4
BOL,Bolivia,2002,7905485146.44351,59.3
BOL,Bolivia,2004,8773451751.5121,55.0
BOL,Bolivia,2005,9549122905.32852,58.5
BOL,Bolivia,2006,11451844902.2214,56.7
BOL,Bolivia,2007,13120108008.3477,54.5
BOL,Bolivia,2008,16674276285.8956,50.8
BOL,Bolivia,2009,17339992193.7322,49.2
BOL,Bolivia,2011,23963164696.592,46.1
BOL,Bolivia,2012,27084497481.9103,46.6
BOL,Bolivia,2013,30659338885.6729,47.6
BOL,Bolivia,2014,32996188017.3661,47.8
BOL,Bolivia,2015,33000198248.9146,46.7
BOL,Bolivia,2016,33941126193.9219,45.2
BOL,Bolivia,2017,45927439594.7902,44.6
BOL,Bolivia,2018,48414038842.2576,42.6
BOL,Bolivia,2019,49056643589.0014,41.6
BOL,Bolivia,2020,42313784081.042,43.6
BOL,Bolivia,2021,47877892402.3155,40.9
BOL,Bolivia,2022,50959081953.6903,41.2
BOL,Bolivia,2023,52340206946.4544,42.1
BRA,Brasil,1981,258015174748.648,57.9
BRA,Brasil,1982,271314113768.417,58.4
BRA,Brasil,1983,189656506321.431,58.9
BRA,Brasil,1984,188339974086.58,58.3
BRA,Brasil,1985,210879844638.877,55.5
BRA,Brasil,1986,256480852471.129,58.4
BRA,Brasil,1987,283056836893.838,59.6
BRA,Brasil,1988,307881930752.268,61.4
BRA,Brasil,1989,412990820287.42,63.2
BRA,Brasil,1990,390725626002.866,60.5
BRA,Brasil,1992,328187960871.951,53.1
BRA,Brasil,1993,368295778245.09,60.1
BRA,Brasil,1995,769333330411.575,59.5
BRA,Brasil,1996,850426433004.077,59.8
BRA,Brasil,1997,883206452795.124,59.8
BRA,Brasil,1998,863711007325.493,59.6
